rn1qkbnr/pp3ppp/2p1p3/3pP3/3PbPP1/2N2N2/PPP4P/R1BQKB1R b KQkq -,c6c5 d4c5 e4f3 d1f3 f8c5 c1d2 d8h4 f3g3 h4g3 h2g3,132
R4k2/8/4K3/4P3/8/8/8/1r6 b - -,f8g7 a8d8 b1e1 d8d3 g7f8 d3f3 f8g7,Mate
r1bqk2r/pppp1ppp/2n2n2/2b5/N1BpP3/5N2/PPP2PPP/R1BQK2R b KQkq -,d7d6 e1h1 c8g4 h2h3 g4f3 d1f3 c6e5 f3e2 e8h8 c4b3,-110
7R/P4k2/5P2/8/2K5/r7/8/8 b - -,c5d6 e1h1 e8h8 c2c3 d4c3 a4c3 c6e5 c4b3 f8e8 f1e1,Mate
rn1qkb1r/pb1ppppp/1p3n2/6B1/2PN4/2N5/PP2PPPP/R2QKB1R b KQkq -,e7e6 d4b5 d7d6 g5f4 e6e5 f4g5 a7a6 g5f6 g7f6 b5a3,73
rk5r/ppp1b2p/2n5/2N3B1/3p2Q1/8/PPP2PPP/R5K1 b - -,e7c5 g5f6 h8f8 f6g7 f8d8 h2h4 d4d3 c2d3 a7a5 a1e1,639
8/4k1pp/8/4KP2/6PP/8/8/8 b - -,e7c5 g5f6 h8f8 f6g7 f8d8 h2h4 d4d3 c2d3 a7a5 a1e1,Mate
r2qkbnr/ppp2ppp/2n5/3pp3/3P2b1/4PN2/PPPNBPPP/R1BQK2R b KQkq -,f7f6 f3e5 g4e2 e5c6 e2d1 c6d8 d1c2 d8b7 f8b4 a2a3,115
r1bqkb1r/pppp1ppp/2n1pn2/1B2P3/8/5N2/PPPP1PPP/RNBQK2R b KQkq -,f6h5 d2d4 g7g6 g2g4 h5g7 c1h6 d7d5 b5c6 b7c6 b1c3,285
8/4k1pp/8/4KPPP/8/8/8/8 b - -,f6h5 d2d4 g7g6 g2g4 h5g7 c1h6 d7d5 b5c6 b7c6 b1c3,Mate
r2qkbnr/ppp2ppp/2n5/3pp3/3P2b1/4PN1P/PPPN1PP1/R1BQKB1R b KQkq -,g4d7 f3e5 c6e5 d4e5 g8e7 d2f3 c7c6 c1d2 e7g6 f1d3,198
r1bqkb1r/pp2pppp/2n2n2/3p4/3P1B2/2N5/PPPQ1PPP/R3KBNR b KQkq -,c8f5 g1f3 e7e6 f1d3 f5d3 d2d3 f8e7 e1h1 e8h8 c3e2,-53
