8/8/8/8/4R3/2k2K2/8/8 b - -,f8c5 g1f3 d7d6 f1b5 g8e7 f4f5 a7a6 b5a4 b7b5 a4b3,Mate
rnbqkb1r/ppp2ppp/1n2p3/4P3/2P5/3B1N2/PP3PPP/RNBQK2R b KQkq -,h7h6 d1e2 b8c6 e1h1 b6d7 f1d1 g7g5 d3e4 d8e7 b2b3,178
rnbqk2r/ppp1ppbp/3p1np1/8/8/1PN2NP1/PBPPPP1P/R2QKB1R b KQkq -,e7e5 f1g2 e8h8 e2e4 c7c5 e1h1 a7a6 a2a4 b8c6 d2d3,-36
rnbqkb1r/ppp1npp1/3pp2p/8/3PPB2/2N2N2/PPP2PPP/R2QKB1R b KQkq -,g7g5 f4e3 f8g7 h2h4 g5g4 f3g1 h6h5 d1d2 a7a6 g1e2,136
8/8/8/8/2k5/1p6/bK6/8 b - -,c4d4 b2a1 d4d3 a1b2 d3c4 b2a1 c4d4 a1b2 d4e5 b2c3,-8
rnbqkbnr/2pp1ppp/p7/1p2p3/3PP3/1B6/PPP2PPP/RNBQK1NR b KQkq -,d7d6 d4e5 c8b7 e5e6 f7e6 g1f3 b8d7 b3e6 d8e7 e6h3,145
r2qk2r/pppb1ppp/5n2/2bPp3/2B5/2PP1Q2/PP3PPP/RNB1K2R b KQkq -,h7h6 a2a4 e8h8 b1d2 c5d6 e1h1 f6h7 d2e4 f7f5 e4d6,108
4rrk1/R5bp/3qp1p1/3p3Q/2pB1P2/6PP/1P3PB1/4R1K1 b - -,f8f6 d4f6 g6h5 a7g7 g8f8 e1a1 d6d8 f6d8 f8g7 d8h4,1100
8/8/4Q3/8/1k5R/4K3/8/8 b - -,f8f6 d4f6 g6h5 a7g7 g8f8 e1a1 d6d8 f6d8 f8g7 d8h4,Mate
8/8/8/3k4/8/5K2/3Q4/8 b - -,f8f6 d4f6 g6h5 a7g7 g8f8 e1a1 d6d8 f6d8 f8g7 d8h4,Mate
8/3B2k1/8/4Q3/8/4K3/8/8 b - -,f8f6 d4f6 g6h5 a7g7 g8f8 e1a1 d6d8 f6d8 f8g7 d8h4,Mate
8/3Q4/8/6k1/4K1N1/8/8/8 b - -,f8f6 d4f6 g6h5 a7g7 g8f8 e1a1 d6d8 f6d8 f8g7 d8h4,Mate
8/8/5k2/2RK4/8/8/8/8 b - -,f8f6 d4f6 g6h5 a7g7 g8f8 e1a1 d6d8 f6d8 f8g7 d8h4,Mate
8/8/3k4/Q7/8/4K3/8/3R4 b - -,f8f6 d4f6 g6h5 a7g7 g8f8 e1a1 d6d8 f6d8 f8g7 d8h4,Mate
2R5/8/8/8/2K5/8/2k5/8 b - -,f8f6 d4f6 g6h5 a7g7 g8f8 e1a1 d6d8 f6d8 f8g7 d8h4,Mate
R3k3/8/5K2/8/8/8/8/8 b - -,f8f6 d4f6 g6h5 a7g7 g8f8 e1a1 d6d8 f6d8 f8g7 d8h4,Mate
rnbqk2r/pp3ppp/2p2n2/3pp3/1bP5/2NP1NP1/PP2PPBP/R1BQK2R b KQkq -,d8e7 c4d5 c6d5 c1g5 d5d4 a2a3 d4c3 a3b4 c3b2 a1b1,57
8/8/5k2/6Q1/8/4K3/8/8 b - -,f6g5 e3e4 g5g4 e4e5 g4f3 e5d4 f3f4 d4d3 f4e5 d3e3,Mate
8/8/k7/8/R7/3K4/8/8 b - -,f6g5 e3e4 g5g4 e4e5 g4f3 e5d4 f3f4 d4d3 f4e5 d3e3,Mate
