6k1/8/6K1/6pp/8/1R3P2/7P/6r1 b - -,g8f8 g6h5 f8f7 b3b7 f7f6 b7b6 f6f7 h5h6 g1g2 b6b8,Mate
r7/8/2K1k3/8/P7/8/8/4R3 b - -,e6f7 e1a1 a8a6 c6b5 a6h6 a4a5 f7g8 a5a6 h6h5 b5b6,564
8/1p5R/p7/3p2k1/7p/8/PP4P1/6K1 b - -,b7b5 g1f2 b5b4 f2e3 g5g4 h7h8 d5d4 e3d4 g4g3 d4e3,745
4N2k/5pp1/p6p/8/bp2P3/5P2/1P4PP/3Q3K b - -,a4b5 d1d4 b5e8 d4d8 g7g5 d8e8 h8g7 h2h4 g5h4 h1h2,931
2r1r1k1/1p1bppbp/p2p1np1/q1P1n3/4P3/1PN1BP2/P1NQB1PP/2R2RK1 b - -,d7e6 b3b4 a5d8 c2d4 e6c4 c3a4 d6c5 a4c5 c4e2 d2e2,29
4rr1k/2q3bp/1p1p2p1/pPpPpP1n/1nP5/2B3PP/1P1Q1PBN/R3R1K1 b - -,g6f5 d2g5 c7f7 g2f3 h5f6 g5f5 e5e4 f3d1 f7g8 f5g5,10
2k5/1p1R1pp1/1pp1bn1p/4B3/2P5/1P4NP/P1P3P1/6K1 b - -,c8d7 e5f6 g7f6 g1f2 d7d6 f2e3 d6e5 g3e2 e6f5 e2d4,9
8/8/3KP1k1/8/6p1/8/8/8 b - -,c8d7 e5f6 g7f6 g1f2 d7d6 f2e3 d6e5 g3e2 e6f5 e2d4,Mate
3rr3/3n2kp/p1q1p1p1/1pp5/2P1N3/1P4P1/P1Q2P1P/3RR1K1 b - -,d8a8 d1d6 c6b7 c2c3 e6e5 e4c5 d7c5 e1e5 g7g8 e5c5,347
3kbQ2/ppr2p2/q3pP2/3pN3/3P2P1/8/P1r2R1P/1R4K1 b - -,c2f2 g1f2 a6a2 f2g3 a2b1 e5f3 a7a5 f8d6 d8c8 d6f8,-723
8/1R6/6kp/P5p1/1p6/5PKP/r5P1/8 b - -,a2a5 b7b6 g6h5 b6b4 a5a6 b4g4 a6a1 g3h2 a1c1 g4b4,7
rq2kb1r/pp1b1ppp/3ppn2/1N6/3QP3/4B3/PPP1BPPP/2KR3R b kq -,d7c6 b5d6 f8d6 d4d6 b8d6 d1d6 f6e4 d6d1 e4f6 c2c4,81
r1bk3r/pp4pp/3q4/1B1p4/8/5Q1P/PP3PP1/R4RK1 b - -,g7g6 f3f7 a7a6 b5a4 b7b5 a4b3 c8e6 f7g7 h8e8 g7h7,335
r1bqkb1r/1p2pppp/p1n5/2pN4/8/5N2/PPPPBPPP/R1BQ1RK1 b kq -,g7g6 d5e3 f8g7 a2a4 e8h8 e2c4 b7b6 d2d3 c8b7 c2c3,413
6k1/p4pb1/2p1r1pp/q7/Nr2P3/1P5P/P1Q2PP1/2R1R1K1 b - -,e6d6 a4c5 a5d8 e4e5 d6d2 c2c3 b4f4 c5e4 d2d5 g2g3,102
r4rk1/pp3Npp/2p2q2/n1P2b2/4n3/P1P2Q1P/BBP2PP1/R3R1K1 b - -,f8f7 e1e4 f5e4 f3e4 f6f2 g1h2 g8h8 a2f7 f2f7 a1e1,87
r2qk1nr/ppp1bppp/2n5/3p4/3P2b1/5N2/PPP1BPPP/RNBQ1RK1 b kq -,d8d7 f1e1 g8f6 f3e5 c6e5 d4e5 g4e2 e1e2 f6e4 c2c4,28
r3r3/7p/p2k1pp1/1ppP4/2P5/4B1P1/P2N1K2/1R6 b - -,e8e7 a2a4 g6g5 a4b5 a8e8 d2f1 e7e4 b5a6 e4c4 b1a1,97
r3kb1r/ppq2ppp/2n1p3/2p5/2BPN1n1/1QP5/PP3PPP/R1B1K2R b KQkq -,g4f6 e4f6 g7f6 d4d5 e6d5 c4d5 e8a8 e1h1 f8d6 f2f4,125
r2qkb1r/ppp1pppp/5n2/8/2PB2b1/1P3N2/P2P1PPP/RN1QKB1R b KQkq -,,0
1rbq1rk1/5ppp/p1nbp3/1p6/3pPP2/N2P4/PP1BB1PP/R2Q1RK1 b - -,d8b6 a3c2 a6a5 c2e1 b8a8 a1c1 c8b7 f1f2 a5a4 e2g4,-50
r4rk1/1pqNbpp1/2p1pn1p/p1Pp1b2/3P4/PP4P1/1B1NPPBP/2RQR1K1 b - -,c7d7 a3a4 f8d8 d2f3 b7b6 f3e5 d7b7 b2a3 d8c8 e2e3,-24
r2q2k1/p1nb2rp/1ppPp3/3pN2n/3P4/P2B2P1/1PQ3PP/4RR1K b - -,h5g3 h2g3 c7e8 c2d2 e8d6 d2h6 d6f5 d3f5 e6f5 g3g4,201
B4rk1/4qppp/p3pn2/1p4B1/8/6Q1/PPb2PPP/R3R1K1 b - -,f8a8 g3f3 a8d8 a1c1 c2g6 e1d1 d8b8 h2h3 h7h6 g5f6,298
1kq5/2p5/1p6/8/2N5/R7/8/6K1 b - -,c8g8 g1f2 g8c4 a3e3 b8b7 f2f3 b6b5 e3e4 c4d3 f3f4,-1275
8/8/1R4kp/r5p1/1p6/5PKP/6P1/8 b - -,g6h5 b6b4 a5a6 b4g4 a6a1 g3h2 a1c1 g4b4 c1a1 b4b6,7
5q1k/8/1R5p/p1p5/2Pr3p/PP3Q2/6PK/8 b - -,,0
r7/8/2K1k3/8/P7/8/8/R7 b - -,a8a5 c6b6 a5a8 a4a5 e6d6 a1d1 d6e6 a5a6 a8b8 b6c7,564
8/q1p1b2k/1p2p2p/4Bp2/3P4/P1PQP3/4KP1P/6r1 b - -,a7a3 e5f4 a3a2 e2f3 a2a8 e3e4 a8g8 f3e3 e7g5 h2h4,-638
1q4rn/3nNpk1/p2Bp2p/3pP1pP/P7/3Q4/5PP1/2R3K1 b - -,b8b2 d6a3 b2a2 e7g8 g7g8 d3c3 a2e2 c3c8 g8h7 c8d7,474
r2k1bnr/p1p2ppp/2p5/4p3/1P2P3/5P2/P1P2P1P/RNB1K2R b KQ -,f8b4 b1d2 d8d7 e1e2 d7e6 a1b1 b4d6 d2b3 g8e7 h1g1,-56
8/4P3/6k1/3K4/6p1/8/8/8 b - -,g6f7 e7e8q f7e8 d5e4 e8d7 e4f4 d7d6 f4g4 d6e6 g4h5,Mate
8/1p1k1pp1/1pp1bB1p/8/2P5/1P4NP/P1P3P1/6K1 b - -,g7f6 g1f2 d7d6 f2e3 d6e5 g3e2 e6f5 e2d4 f5e4 d4f3,6
r1b1kb1r/1p2pppp/p1n5/2pq4/8/3P1N2/PPP1BPPP/R1BQ1RK1 b kq -,d5d8 c1e3 e7e5 f3d2 f8d6 c2c3 e8h8 d2e4 b7b6 e4d6,37
r2qnRk1/p2b3r/1ppPp3/3pN2n/3P4/P5P1/1PQ3PP/4R2K b - -,d5d8 c1e3 e7e5 f3d2 f8d6 c2c3 e8h8 d2e4 b7b6 e4d6,Mate
1rb2rk1/5ppp/pqnbp3/1p6/3pPP2/3P4/PPNBB1PP/R2Q1RK1 b - -,a6a5 c2e1 b8a8 e2f3 c8b7 e4e5 d6b4 f3e4 a8c8 a2a3,-46
1r1q1rk1/1p3pp1/p2pP3/3Np1Pp/4P2P/5B2/PPPQ4/2K2R2 b - -,g7g6 e6e7 d8c8 e7f8r c8f8 f3d1 b8c8 c2c3 a6a5 d2d3,713
1R2r1k1/p1p2ppp/2p2q2/3p4/6b1/2b2N2/P1P1BPPP/3Q1RK1 b - -,e8d8 b8d8 f6d8 h2h3 g4f3 e2f3 d8d7 d1d3 c3a5 d3e2,439
8/8/6pk/b7/8/4R3/6pK/8 b - -,g2g1q h2g1 a5b6 g1f2 b6e3 f2e3 h6h5 e3f3 h5h4 f3f4,-3504
r2qkbnr/p1pp1ppp/b1n1p3/8/Np2PP2/3P2P1/PPP4P/R1BQKBNR b KQkq -,d7d5 g1f3 f8e7 c1e3 a6b5 e4d5 b5a4 d5c6 a4c6 f1g2,-13
r2q1rk1/4ppb1/2p1b1pp/ppp1P3/P7/1P1P1N1P/2P1QPP1/R1B1R1K1 b - -,c5c4 b3c4 b5c4 d3c4 d8b6 c1a3 b6a7 f3d2 f8e8 a3b2,84
r2q1rk1/pp2npn1/3Q2p1/5b1P/7P/2P1BN2/P1P2P2/2KR1B1R b - -,g7h5 d6e5 d8e8 h1g1 f7f6 e5a5 g8h8 f3d4 e8f7 d4f5,248
8/1p1k1p2/1pp1bp1p/8/2P1N3/1P5P/P1P3P1/6K1 b - -,,0
r1bq1rk1/pp4pp/3B1b2/3p1p2/3N4/5PP1/PPQ1P1BP/R4RK1 b - -,f6d4 g1h1 d8d6 e2e4 c8e6 e4d5 e6d7 f3f4 a8c8 c2b3,-430
6kb/7p/B2p3P/2pP2P1/5P2/8/P2K4/8 b - -,g8f8 a6d3 f8g8 a2a4 c5c4 d3c4 g8f7 c4d3 h8g7 a4a5,1013
8/4Pk2/3K4/8/6p1/8/8/8 b - -,g8f8 a6d3 f8g8 a2a4 c5c4 d3c4 g8f7 c4d3 h8g7 a4a5,Mate
r1b1k2r/p2pqppp/2p2n2/1pb1p3/3PPn1B/1BN2N2/PPP2PPP/R2Q1RK1 b kq -,e5d4 c3b5 c6b5 e4e5 c8b7 e5f6 g7f6 f1e1 f4e6 d1d3,195
r1bq1rk1/ppppbppp/8/4R3/B1nP4/3Q4/PPP2PPP/RNB3K1 b - -,c4e5 d4e5 d7d6 e5d6 d8d6 d3d6 e7d6 c1e3 f8d8 b1d2,-304
r3r1k1/pp3ppp/5n2/3P4/2PQ4/3P1qPP/P4P2/R1B2KR1 b - -,a7a5 c1e3 b7b5 d4f4 f3h5 f1g2 b5c4 d3c4 e8e4 f4f3,152
r3r1k1/pppq1pp1/2nb1n1p/5b2/2BP4/P1N1BN1P/1P3PP1/R2QR1K1 b - -,a7a6 b2b4 a8d8 a1c1 f5g6 f3h4 g6h7 h4f3 h7f5 c4f1,-14
1rb2rk1/5ppp/1qnbp3/pp6/3pPP2/3P4/PP1BB1PP/R2QNRK1 b - -,a5a4 e1f3 c6b4 a2a3 b4c6 b2b4 a4b3 d1b3 c8d7 b3b2,-42
8/2r2r1k/5np1/4p3/1Q2P2P/7K/6P1/8 b - -,c7b7 b4a4 b7d7 a4c4 f6h5 c4a2 f7f4 a2e2 h5f6 g2g3,-510
r3r3/7p/p2k1p2/1ppP2p1/2P5/4BKP1/P2N4/1R6 b - -,h7h6 b1h1 a8d8 d2e4 d6e5 e3c5 b5c4 e4c3 h6h5 h1h5,105
r2q1rk1/4ppb1/2p1b1pp/pp2P3/P1P5/1P3N1P/2P1QPP1/R1B1R1K1 b - -,b5c4 b3c4 d8b6 c1a3 b6a7 f3d2 f8e8 a3b2 h6h5 b2c3,82
8/4qk2/7p/5R2/6P1/7P/1p4P1/7K b - -,b5c4 b3c4 d8b6 c1a3 b6a7 f3d2 f8e8 a3b2 h6h5 b2c3,Mate
8/8/6pk/b7/8/4R3/8/6K1 b - -,a5b6 g1f2 b6e3 f2e3 h6g5 e3f3 g5h4 f3g2 h4g4 g2h2,-20000
8/1p1k1p2/1pp2N1p/5b2/2P5/1P5P/P1P3P1/6K1 b - -,,0
1r1q1rk1/1p4p1/p2pp3/4p1Pp/4P2P/4NB2/PPPQ4/2K2R2 b - -,d8c7 f3h5 f8f1 e3f1 b8f8 f1e3 f8f4 h5g4 g8f7 h4h5,217
rnbqkbnr/1p3ppp/p3p3/2ppP3/P7/2N3P1/1PPP1P1P/R1BQKBNR b KQkq -,b8c6 f2f4 h7h5 d2d3 f8e7 g1f3 g8h6 f1h3 g7g6 e1h1,-70
1r4k1/p1p2ppp/2p2q2/3p4/6b1/2b2N1P/P1P1BPP1/3Q1RK1 b - -,g4f3 e2f3 g7g6 a2a3 b8b2 g2g3 b2a2 h3h4 h7h5 d1d3,-383
r2bq1k1/nb1n1ppp/1p1Pp3/pPp1P3/P1P2B2/R2B1N2/5PPP/3QR1K1 b - -,d7f8 d3c2 f7f6 e5f6 d8f6 f3e5 a8d8 a3d3 f6e5 f4e5,551
r3k2r/p2b1ppp/2p1p3/3pP3/4BP2/4B3/PPP3PP/R1K4R b kq -,a7a5 e4d3 h7h5 a2a4 h5h4 b2b3 d7c8 c1b2 c8a6 d3a6,516
8/4B3/4p1p1/1k1pP2p/p1pP3P/6b1/1K6/8 b - -,g3f2 b2c3 a4a3 e7a3 f2h4 a3c1 h4e1 c3c2 h5h4 c2d1,-1196
3r1r2/p5k1/6p1/4pp1p/1QBb3q/1P3P2/P5PP/3R1R1K b - -,h4f6 b4d2 d8d6 d2c1 f8d8 d1d3 h5h4 h2h3 f6e7 a2a4,-68
r1b1kb1r/1p3ppp/p1n1p3/2pq4/8/1P1P1N2/P1P1BPPP/R1BQ1RK1 b kq -,d5d6 c1b2 c8d7 f1e1 d6c7 c2c3 f8d6 d3d4 e8h8 d4c5,23
r2q1rk1/4ppb1/2p1b1pp/p3P3/P1P5/5N1P/2P1QPP1/R1B1R1K1 b - -,d8b6 c1a3 b6a7 f3d2 f8e8 a3b2 a7a6 b2c3 e8b8 a1b1,98
8/4Pk2/8/8/4K1p1/8/8/8 b - -,,0
r1bq1r2/p2nppkp/2pp1np1/1p5P/3PP3/2N2N2/PPPQ1PP1/R3KB1R b KQ -,g7g8 e4e5 f6g4 h5g6 f7g6 d2g5 d7b6 f1d3 f8f5 d3f5,233
rq2kb1r/pp3ppp/2bNpn2/8/3QP3/4B3/PPP1BPPP/2KR3R b kq -,f8d6 d4d6 b8d6 d1d6 f6e4 d6d4 e4f6 h1e1 f6d5 e3d2,89
2kr3r/ppq1bppp/2pp1nb1/8/4PB2/2NP1N1P/PP3PP1/R2Q1RK1 b - -,c7b6 f4e3 b6b2 a1c1 c6c5 f3d4 b2a3 c3a4 c8b8 d4b5,165
r5k1/pp1R2p1/4QbNp/1Pp5/P7/6P1/4PPKP/4q3 b - -,c7b6 f4e3 b6b2 a1c1 c6c5 f3d4 b2a3 c3a4 c8b8 d4b5,Mate
8/8/1b4pk/8/8/4R3/5K2/8 b - -,b6e3 f2e3 h6g5 e3f2 g5h4 f2g2 h4g4 g2f2 g4h3 f2e3,-20000
r5k1/pp3ppp/5n2/3P4/2PQ1B2/3P1qPP/P3rP2/R4KR1 b - -,a8e8 d5d6 h7h6 g1g2 e2a2 f1g1 a2a1 d4a1 f3d3 c4c5,-31
6k1/p4pb1/2p1r1pp/qr6/N1Q1P3/1P5P/P4PP1/2R1R1K1 b - -,e6d6 e1e2 h6h5 c4c2 b5b8 a4c5 g7e5 c5d3 b8d8 d3e5,87
r2qk2r/2p2ppp/p1pbp3/3p1b2/1PPP4/P3P2P/3N1PP1/R1BQ1RK1 b kq -,f5d3 d1a4 d8d7 f1e1 d5c4 c1b2 d6e7 a4d1 a6a5 b4a5,-48
r1bqk2r/ppppbppp/2n2n2/8/4P3/3B2Q1/PPP2PPP/RNB1K1NR b KQkq -,d7d5 e4d5 f6d5 g1e2 e8h8 b1c3 d5c3 b2c3 e7h4 g3f4,-67
6k1/1b1n1ppp/1pq1pn2/8/2PP1B2/r2BQN1P/5PP1/4R1K1 b - -,a3a8 d3f1 c6e4 e3c1 e4c6 f3e5 d7e5 f4e5 f6d7 e5g3,85
r5k1/4qppp/p3pn2/1p4B1/8/5Q2/PPb2PPP/R3R1K1 b - -,a8b8 f3c6 c2f5 c6a6 h7h6 g5h4 e7b4 h4f6 g7f6 b2b3,296
8/6k1/1p3p2/3r2pp/8/3N1P1P/2Q2KP1/q7 b - -,a1d4 f2e2 h5h4 d3f2 d5c5 c2b1 d4c3 f2e4 c3c2 b1c2,-599
4rr1k/pppq2pp/2nb4/4p1Nb/Q4p2/2PP2PP/P1PB1PB1/1R3RK1 b - -,h7h6 g5e4 f4f3 g2h1 b7b6 f1e1 d6e7 d2c1 f8f7 g1h2,-70
r5k1/4rpb1/3p3p/1BpPn3/1p4p1/1P2P1PP/qNQ2RP1/5RK1 b - -,g4h3 g2h3 a8a3 c2f5 a2b3 f5c8 g7f8 b2c4 a3a7 c8f5,-89
r4rk1/pp2npn1/3R2p1/7P/4b2P/2P1BN2/P1P1BP2/2K4R b - -,g7h5 d6d4 e4c6 h1g1 e7f5 f3e5 f5d4 c3d4 g8h7 c2c4,117
r7/pp1R2pk/5QNp/1Pp5/P7/6P1/4PPKP/4q3 b - -,g7h5 d6d4 e4c6 h1g1 e7f5 f3e5 f5d4 c3d4 g8h7 c2c4,Mate
3r1rk1/2pq1ppp/p1pb4/4p3/R2P3P/1P2P1P1/1B2QP2/2R3K1 b - -,f7f6 e2c4 g8h8 a4a6 d7f5 a6a5 d8b8 b2a3 d6a3 a5a3,29
r4rk1/1p3p2/p1n1b1pp/8/1q6/1NQ1P2P/PPB2PP1/2R2RK1 b - -,e6c4 c2d3 c4b3 c3b3 b4b3 a2b3 a8c8 d3e4 f8e8 e4f3,109
r2qk2r/2pnbppp/pp2p3/3P4/2B5/5Q2/PP3PPP/R1B1R1K1 b kq -,d7c5 d5e6 e8h8 e6f7 g8h8 c1f4 e7d6 a1d1 b6b5 b2b4,432
rnbqkb1r/pp1pp1pp/7n/2p1Pp2/5P2/5N2/PPPP2PP/RNBQKB1R b KQkq -,d7d6 c2c3 b8c6 d2d4 e7e6 f1e2 d6e5 d4e5 d8d1 e2d1,64
rn1qkbnr/1p3ppp/p1b1p3/2pp4/P2P4/2PBPN2/1P1N1PPP/R1BQK2R b KQkq -,b8d7 e1h1 g8f6 b2b3 f8e7 c1b2 e8h8 d1c2 b7b5 c3c4,13
5R2/r1r2p1k/4pPpp/3bN3/2p3P1/2P2PK1/6P1/4R3 b - -,a7a5 e1b1 a5a8 f8a8 d5a8 b1b8 a8c6 g4g5 c6a4 b8f8,669
rq2k2r/pp3ppp/2bQpn2/8/4P3/4B3/PPP1BPPP/2KR3R b kq -,b8d6 d1d6 f6e4 d6d4 e4f6 h1e1 f6d5 e3d2 e8h8 g2g3,88
r5k1/3P1pp1/5b2/2N4p/4P2P/5PP1/2Q2BK1/q7 b - -,a1b2 c2b2 f6b2 c5d3 b2a1 f2b6 a1f6 d3c5 f6e7 f3f4,29
r5r1/ppp2R1k/8/4p2p/1PP1P1n1/P2P4/6B1/1R4NK b - -,g8g7 f7f3 a7a5 b4b5 a8d8 g2f1 h7g6 f1e2 c7c6 b5c6,380
1rb2rk1/4bppp/1qn1p3/1p6/p2pPP2/3P1B2/PP1B1RPP/R2QN1K1 b - -,c6a5 b2b4 a4b3 d2a5 b6a5 a2b3 a5b6 e4e5 e7b4 h2h4,-40
1q4rn/4Npk1/Q2Bp2p/3pn1pP/P7/8/5PP1/2R3K1 b - -,b8b2 d6e5 b2e5 e7g8 g5g4 a6c8 e5e4 g8e7 g4g3 c8g8,637
8/6k1/1p3p2/3r2pp/3q4/3N1P1P/2Q1K1P1/8 b - -,h5h4 d3f2 d5c5 c2a2 c5c3 a2d2 d4d2 e2d2 c3a3 f2e4,-635
r1b3k1/pp3pp1/2q2N2/2p2PN1/1p1p3Q/4rR2/PP4PP/R5K1 b - -,c6f6 h4h7 g8f8 h7h8 f8e7 f3e3 d4e3 a1d1 c8d7 h8a8,140
1R6/8/8/8/5K2/pp6/8/5k2 b - -,f1e1 b8b3 a3a2 b3a3 e1d2 a3a2 d2d3 a2a4 d3e2 a4a3,5457
3r1r2/p7/6pk/4pp1p/1QBb1P1q/1P6/P5PP/3R1R1K b - -,f8h8 c4f7 h8f8 f7c4 d4f2 f4e5 f2g3 h2h3 g3e5 b4e1,-57
r2qr1k1/pp3pb1/P1p3p1/1P1p2np/2PP4/2N1PBPb/2N4P/R2Q1RK1 b - -,b7a6 b5c6 d5c4 f3d5 a8b8 e3e4 h3f1 d1f1 b8b2 a1c1,-97
8/8/7p/r5pk/1R6/5PKP/6P1/8 b - -,a5a6 b4b3 a6c6 g3h2 c6a6 b3b5 a6a1 b5b6 a1a2 b6e6,7
r1bqk1nr/ppp2ppp/2n5/3pP3/3p4/3B1N2/PPPN1PPP/R2QK2R b KQkq -,a7a5 e1h1 g8e7 a2a4 e7g6 d2b3 c8g4 d3g6 h7g6 h2h3,-22
r2qk1nr/ppp1bppp/2n5/3p4/3P2b1/2N2N2/PPP1BPPP/R1BQK2R b KQkq -,g4h5 e1h1 g8f6 f1e1 e8h8 f3e5 h5e2 e1e2 h7h6 h2h3,27
3r2k1/4qppp/p1Q1pn2/1p4B1/8/8/PPb2PPP/R3R1K1 b - -,c2d3 c6a6 h7h6 g5f6 e7f6 a1d1 d8d5 a6a7 f6d8 h2h3,256
r1bqkbnr/ppp2pp1/2np4/4p2p/2P5/2NP1NP1/PP2PP1P/R1BQKB1R b KQkq -,f8e7 c3d5 c8g4 h2h4 g4f3 e2f3 g8h6 f1h3 c6d4 e1h1,33
1rb2rk1/4bppp/1q2p3/np2P3/p2p1P2/3P1B2/PP1B1RPP/R2QN1K1 b - -,a5b7 a1b1 c8d7 b2b3 a4b3 d1b3 b7a5 b3d1 f8c8 f3e4,-46
r5k1/4rpb1/3p3p/1BpPn3/1p6/1P2P1PP/qNQ2R2/5RK1 b - -,a2a5 b5d3 a5a2 d3b5 a8a3 c2f5 a2b3 f5c8 g7f8 b2c4,-82
r1b1kb1r/1p3ppp/p3p3/2pq4/3n4/1P1P1N2/PBP1BPPP/R2Q1RK1 b kq -,d5d7 f3d4 c5d4 c2c3 f8c5 a1c1 e8h8 e2f3 a8b8 d1c2,43
8/8/5k1p/8/6P1/7P/1p4PK/8 b - -,d5d7 f3d4 c5d4 c2c3 f8c5 a1c1 e8h8 e2f3 a8b8 d1c2,Mate
3R1r2/p7/6pk/4pp1p/1QB2P1q/1P6/P4bPP/5R1K b - -,f8d8 f4e5 f2g3 h2h3 g3e5 b4e1 h4e1 f1e1 e5g3 e1f1,-96
1kq5/8/2p5/8/8/1p6/2N5/4R1K1 b - -,b3c2 g1f2 c8f5 f2g3 c2c1q e1c1 f5g5 g3f3 g5c1 f3e2,-1776
8/1p1k1p2/1pp1bN1p/5p2/2P5/1P5P/P1P3P1/6K1 b - -,d7d8 f6h5 d8e7 g1f2 b6b5 c4b5 c6b5 h5f4 e7f6 c2c3,132
r3k2r/pp3ppp/2bRpn2/8/4P3/4B3/PPP1BPPP/2K4R b kq -,f6e4 d6d4 e4f6 f2f3 a7a6 c2c4 b7b5 c1b1 b5c4 e2c4,89
r2r4/1p2npkp/p1qN2p1/Q3p1b1/P3P3/2P5/1P2BPPP/R2R2K1 b - -,g5f6 d6c4 d8d1 a1d1 c6e4 e2f1 e7f5 a5c7 b7b5 c4b6,108
r1b1kb1r/1p3ppp/p3p3/2pq4/8/1P1P1N2/PBP1QPPP/R4RK1 b kq -,b7b5 c2c4 d5f5 f3h4 f5f4 g2g3 f4c7 h4f5 f7f6 a1d1,63
3r4/6kp/4pnp1/1pN5/8/1P4P1/P4P1P/4R1K1 b - -,d8d5 c5e6 g7f7 b3b4 d5d2 e6g5 f7g7 e1e7 g7g8 a2a3,274
8/8/4P1k1/3K2p1/8/8/8/8 b - -,d8d5 c5e6 g7f7 b3b4 d5d2 e6g5 f7g7 e1e7 g7g8 a2a3,Mate
rnbqk1nr/pp3ppp/2p1p3/8/1b1Pp3/2N1B1P1/PPP1NP1P/R2QKB1R b KQkq -,f7f5 a2a3 b4a5 e2f4 g8f6 f1c4 d8e7 d1e2 a5c3 b2c3,-95
1rb2rk1/1n2bppp/1q2p3/1p2P3/p2p1P2/3P1B2/PP1B1RPP/1R1QN1K1 b - -,c8d7 b2b4 a4b3 d1b3 b7c5 b3b4 b6a7 b4a5 c5a6 d2b4,-32
r1bqkbnr/5ppp/p1p1p3/2ppN3/4PP2/3P4/PPP3PP/RNBQK2R b KQkq -,g8e7 e1h1 e7g6 d1f3 f8d6 e5g6 h7g6 b2b3 d8h4 h2h3,73
8/1Pk5/2P3p1/5p1p/4pP1P/4K1P1/8/8 b - -,g8e7 e1h1 e7g6 d1f3 f8d6 e5g6 h7g6 b2b3 d8h4 h2h3,Mate
5R2/r1r2p1k/4pP1p/3bN1p1/2p3P1/2P2PK1/6P1/7R b - -,c7c8 f8c8 a7a8 c8c7 a8f8 e5f7 f8f7 c7f7 h7g6 f7a7,Mate
r3r1k1/pppq1pp1/3b1n1p/n4b2/3P4/P1N1BN1P/1P2BPP1/R2QR1K1 b - -,,0
r2q1rk1/1p2npbp/3p2p1/p2Pp3/3pPP2/P2P2P1/1P4BP/1RBQ1RK1 b - -,g7h6 g2h3 b7b5 f4e5 h6c1 b1c1 d6e5 d1g4 f7f5 e4f5,140
8/8/r6p/6pk/4R3/5PKP/6P1/8 b - -,a6a1 e4e6 a1a2 e6c6 a2b2 g3h2 b2d2 c6b6 d2a2 b6b5,7
1kq5/8/2p5/8/8/8/2p1R3/6K1 b - -,a6a1 e4e6 a1a2 e6c6 a2b2 g3h2 b2d2 c6b6 d2a2 b6b5,Mate
r2qk2r/2p2ppp/2pbp3/p1Pp1b2/1P1P4/P3P2P/3N1PP1/R1BQ1RK1 b kq -,d6e7 b4a5 a8a5 c1b2 a5a7 a3a4 e8h8 b2c3 d8c8 a4a5,51
r2qkbnr/pp1n1pp1/2p1p1bp/3pP3/3P2P1/2N1B2P/PPP1NP2/R2QKB1R b KQkq -,,0
3r4/1p5p/5kp1/p3rp2/P1B5/1PN3PP/2R2P2/6K1 b - -,f6g7 g1g2 d8d7 c3b1 g7f6 b1d2 e5c5 d2f1 d7d4 f1e3,352
8/6kp/4Nnp1/1p1r4/8/1P4P1/P4P1P/4R1K1 b - -,g7h8 e6f4 d5c5 h2h4 c5c3 g1f1 b5b4 e1e2 h8g8 e2d2,323
rn3rk1/pqp2p1p/1p4p1/4P1N1/8/3Q2P1/PP3P1P/R4RK1 b - -,c7c6 e5e6 f7f6 g5f7 b7e7 f1e1 a7a5 d3f3 b8a6 f3c6,300
6N1/1p2kp2/1pp1b2p/5p2/2P5/1P5P/P1P3P1/6K1 b - -,e7d7 g8h6 d7d6 g1f2 d6e5 f2f3 b6b5 c4b5 c6b5 c2c3,123
1r4k1/p1p2ppp/2p2q2/3p4/4b1P1/2b4P/P1PNBP2/3Q1RK1 b - -,e4g6 e2d3 g6d3 c2d3 f6h6 d2b1 c3e5 d3d4 e5d6 d1f3,-388
r1bq1rk1/pp4pp/3B4/3p1p2/3b4/5PP1/PPQ1P1BP/R4R1K b - -,d8d6 e2e4 f5f4 f1d1 d4e5 d1d5 d6f6 g3g4 c8e6 d5c5,-449
r4rk1/2q1npb1/pp2p1pp/4P3/1nPp1B1P/1N1P1BP1/3Q1P2/R3R1K1 b - -,a6a5 f3a8 f8a8 b3d4 c7d7 d4c2 b4c2 d2c2 e7f5 c2e2,114
rn2kbnr/pp3ppp/2p1p3/q4b2/B6N/2N5/PPPP1PPP/R1BQK2R b KQkq -,f5g6 h4g6 h7g6 h2h3 g8f6 a4b3 b8d7 d2d4 f6e4 d1d3,-25
8/6k1/1p3p2/3r2pp/8/3Q1P1P/4K1P1/8 b - -,d5d3 e2d3 h5h4 f3f4 g7g6 f4g5 g6g5 d3e4 b6b5 e4e3,-696
r1bqr1k1/pp3pb1/2p1n1p1/PP1p3p/2PPp3/2N1P1P1/2N2PBP/R2Q1RK1 b - -,c6b5 c3b5 d5c4 h2h4 a7a6 b5a3 d8a5 a3c4 a5c7 c4d2,-61
r4rk1/pp3pn1/6p1/5n1P/4b2P/2P1BN2/P1PRBP2/2K4R b - -,g7h5 h1g1 a8c8 f3g5 h5f6 e3a7 c8a8 a7c5 f8c8 c5b4,100
1r3rk1/1n1bbppp/1q2p3/1p2P3/3p1P2/1Q1P1B2/P2B1RPP/1R2N1K1 b - -,b7a5 b3b2 b6a7 a2a3 f8c8 d2b4 a5c6 f3c6 e7b4 a3b4,-17
8/8/7p/6k1/6P1/7P/7K/1q6 b - -,b7a5 b3b2 b6a7 a2a3 f8c8 d2b4 a5c6 f3c6 e7b4 a3b4,Mate
