6k1/8/6K1/6pp/8/1R3P2/7P/6r1 b - -,g8f8 g6h5 f8f7 b3b7 f7f6 b7b6 f6f7 h5h6 g1g2 b6b8,Mate
2rq1bk1/ppr4p/3pPnn1/P3p3/1P2Ppp1/1Q3P2/4BBPP/2R1NRK1 b - -,f8e7 c1c7 d8c7 f2a7 g4g3 a7b6 c7c1 b3a2 d6d5 e4d5,78
8/2P5/8/8/1k1K2b1/3B4/8/8 b - -,b4a5 d4c5 g4d7 d3e2 d7c8 c5c6 a5b4 e2b5 c8g4 c6b6,20000
3r2k1/4q3/1pp1p2p/p3R1p1/2PnQ3/PPN4P/5PP1/6K1 b - -,e7f6 b3b4 a5b4 a3b4 g8f7 b4b5 c6b5 c4b5 d8d7 c3a4,5
8/8/1pn1p1k1/1p1pP1pp/3P4/4K1P1/5N2/8 b - -,b5b4 f2d1 g6f5 e3e2 f5g4 e2f2 c6d4 d1b2 d4c6 f2g2,-900
r1bq1rk1/4bppp/p3pN2/1p6/1n1P4/3BBN2/PPQ2PPP/R4RK1 b - -,g7f6 d3h7 g8g7 c2e4 b4d5 e4g4 g7h7 g4h3 h7g7 e3h6,95
2r3k1/p4pbp/2q1p1p1/3p4/3P4/2P2P2/PQR1R1PP/6K1 b - -,h7h5 g2g3 g7f6 g1g2 g8g7 b2c1 c6b7 e2e3 c8c4 c1b2,88
r1bq1rk1/ppppppbp/n4np1/8/2PP1B2/2NBP3/PP3PPP/R2QK1NR b KQ -,c7c5 d4d5 d7d6 g1f3 a6b4 d3e2 f6h5 f4g3 h5g3 h2g3,21
5Q2/3N4/8/4k3/R7/8/5K2/8 b - -,c7c5 d4d5 d7d6 g1f3 a6b4 d3e2 f6h5 f4g3 h5g3 h2g3,Mate
rnb1kb1r/pp3ppp/4p1n1/2P1P3/2B5/6B1/PP3PPP/RN1K2NR b kq -,b8c6 g1f3 f8c5 b1c3 e8h8 h2h4 h7h5 d1e1 b7b6 c3e4,-45
8/p2k4/Np6/8/1P3K2/3P4/P7/8 b - -,b8c6 g1f3 f8c5 b1c3 e8h8 h2h4 h7h5 d1e1 b7b6 c3e4,Mate
r3k1nr/p1p2ppp/2pb1q2/3p3b/3P1PP1/5N1P/PPP5/RNBQ1RK1 b - -,g7g6 b1c3 g8e7 g4h5 f6f5 g1h2 f5h5 f3e5 f7f6 d1h5,294
r1b2rk1/2qp1ppp/ppn1p3/2bnP1Q1/4N3/5N2/PPP1BPPP/R1BR2K1 b - -,f7f6 e5f6 d5f6 e4c5 b6c5 g5c5 f6e4 c5e3 d7d5 b2b3,188
5rk1/1pp1rpnp/1p1Q2p1/8/2BP4/2P2R1P/PP4P1/5RK1 b - -,c7d6 g1f2 f8e8 a2a4 g7f5 c4b5 e8a8 g2g4 f5g7 f1e1,Mate
r2qk2r/1b2ppb1/pn1p1np1/1p6/3NP3/P1N1BPRP/1PPQB3/2K4R b kq -,,0
3rr1k1/1p2ppb1/p1qp1nbp/P5p1/2NP4/1QP4P/1P3PPB/R3RBK1 b - -,f6d5 a1d1 e7e6 g2g4 c6c7 c4b6 d5f4 h2f4 g5f4 f1d3,54
rn1qkbnr/pbppp2p/1p3pp1/8/3P1B2/2NB1N2/PPP2PPP/R2QK2R b KQkq -,b8a6 a2a3 c7c5 d1e2 a6c7 f4g3 f8h6 h2h4 d7d6 h4h5,65
