rn1q1rk1/1b2bppp/p3p3/1p1nN3/3P4/1BN5/PP3PPP/R1BQR1K1 b - -,e7h4 c3e4 h4e7 d1g4 f7f5 g4h3 b8c6 e5c6 b7c6 e4c5,79
5Q2/8/1k6/1B6/2K5/8/8/8 b - -,e7h4 c3e4 h4e7 d1g4 f7f5 g4h3 b8c6 e5c6 b7c6 e4c5,Mate
r1N3kr/pp4Rp/6pB/4p3/8/5b2/PP3P1P/4K3 b - -,e7h4 c3e4 h4e7 d1g4 f7f5 g4h3 b8c6 e5c6 b7c6 e4c5,Mate
r2qkb1r/pbpppppp/1pn2n2/6B1/2PP4/2N2P2/PP2P1PP/R2QKBNR b KQkq -,e7e6 e2e4 f8e7 g5e3 e8h8 f1d3 e6e5 d4d5 c6d4 f3f4,64
8/8/2k5/4K3/1Q6/8/8/7R b - -,e7e6 e2e4 f8e7 g5e3 e8h8 f1d3 e6e5 d4d5 c6d4 f3f4,Mate
rnbq1rk1/ppp1b1pp/5n2/3p1p2/3P1B2/2N2NP1/PP2PPBP/R2QK2R b KQ -,f8e8 e2e3 c7c6 h2h4 f6e4 f3e5 b8d7 e5d3 d7f8 e1h1,36
r5k1/pp4pp/1q6/1b1p1QP1/1b6/1P6/PB3PKP/RN6 b - -,a8f8 b2f6 g7f6 g5g6 b6d4 a2a3 g8g7 g6h7 g7h8 a3b4,-543
r3k1nr/1p1n1ppp/1qp1p3/p7/1b1pP1P1/3P2QP/PPPBNP2/2KR1B1R b kq -,b4d2 d1d2 a5a4 a2a3 g8e7 h3h4 b6a7 c2c3 d4c3 e2c3,-88
r3k1nr/1p1n1ppp/1qp1p3/p7/1b1pP1P1/2PP1Q1P/PP1BNP2/2KR1B1R b kq -,c6c5 c1b1 g8e7 b1a1 e7c6 h3h4 e8h8 h4h5 f8c8 g4g5,-68
r1bq1rk1/pp4bp/2npp1p1/2p3Nn/2P1PP2/2NB4/PP4PP/R1BQ1RK1 b - -,a7a5 f4f5 d8e7 c3b5 h5f6 f5g6 h7g6 d3e2 c8d7 d1d6,54
4rrk1/2p2ppp/1b1p1n2/1N1P4/2P1Ppq1/R4N2/1PB2P2/3Q1R1K b - -,,0
2rq3k/7p/1p2Qpp1/2p5/P4BPP/1P3P2/2K5/3R4 b - -,g4h3 f3h2 h3h6 f1g1 b6f2 g1g2 f2g3 b5d4 g7g6 d1d2,Mate
r1bqr1k1/ppp2pbn/3p1np1/1P6/P1PPp2p/2N1P2P/3N1PP1/R1BQRBK1 b - -,c7c5 b5c6 b7c6 c1a3 h7g5 a1b1 g7f8 d4d5 c6c5 a3b2,35
r3k2r/pb1p2pp/1pp2p2/2b1PP2/2Q1B3/2Pp1P1q/PP1P3P/RNBR3K b kq -,d7d5 e5d6 e8a8 c4d3 c5d6 f3f4 h3h6 d3c2 h6f4 d2d3,169
1r3rk1/5pbp/p2pbnp1/qPp1n3/4P3/1PN1BP2/P1NQB1PP/R4RK1 b - -,a6b5 f1d1 b5b4 c3a4 f8d8 a2a3 e6b3 a3b4 a5c7 d1c1,-84
r3r1k1/1b2qpnp/pp2pbp1/3p2B1/3P1PN1/2PB3Q/PP4PP/4RRK1 b - -,f6d4 c3d4 h7h5 g4h6 g8h7 g5e7 h7h6 h3h4 b7c6 h4f6,805
