r1b1k2r/pp1n1ppp/2p1p3/q7/1bBP4/2N1P1P1/PP1N1PP1/R2QK2R b KQkq -,b7b5 c4e2 b4c3 b2c3 a5c3 e2f3 c8b7 a2a4 a7a6 e1e2,45
r3kb1r/ppp1qppp/2np4/5b2/4n3/1PNN4/PBPPQPPP/R3KB1R b KQkq -,e8a8 c3e4 e7e4 e2e4 f5e4 f2f3 e4f5 g2g4 f5d7 d3f4,25
r2q1rk1/ppp1b1pp/1nn1b3/4pp2/8/1PNP1NP1/PB2PPBP/2RQ1RK1 b - -,h7h6 e2e4 d8d7 c3e2 e7f6 d3d4 e5d4 f3d4 c6d4 b2d4,46
r2q1r1k/bpp3pp/p1n5/3pp3/P7/1BPP1N1b/1P2RP1N/R1BQ2K1 b - -,d8d7 f3g5 h3g4 c1e3 d5d4 c3d4 c6d4 e3d4 d7d4 g1h1,-51
8/8/8/3Q4/8/2K5/4k3/8 b - -,f8f5 g1h1 f5h5 d1g1 d8d7 g1g3 a8f8 f3h4 h3e6 f2f4,Mate
2N5/6pp/8/2k5/4nP2/3p2P1/P6P/5K2 b - -,,0
r2q1rk1/ppp1bppp/2npBn2/4p3/4PP2/2NP1N2/PPP3PP/R1BQ1RK1 b - -,e5f4 e6b3 f6h5 c3d5 c6a5 c1d2 a5b3 a2b3 c7c6 d5f4,550
rn1qkbnr/p2p1ppp/2p1p3/8/3P4/5B2/PPP2PPP/RNBQ1RK1 b kq -,f8e7 c2c4 d7d5 b1c3 e7f6 c1f4 g8e7 c4d5 c6d5 c3b5,111
rnbqkbnr/pp1p3p/2p2pp1/4p3/2BPP3/5Q2/PPP2PPP/RNB1K1NR b KQkq -,d7d6 g1e2 b8d7 b1c3 e5d4 e2d4 d7e5 f3e2 e5c4 e2c4,90
r2q1rk1/ppp1b1pp/2nppn2/4P3/4P3/2NP1N2/PPP3PP/R1BQ1RK1 b - -,f6d7 e5d6 e7d6 c1g5 d8e8 c3b5 d6c5 g1h1 c5b6 d1e2,163
r1bqkbnr/pp3ppp/2n1p3/2pp4/3PP1P1/2P5/PP3PBP/RNBQK1NR b KQkq -,d5e4 g2e4 c5d4 g1f3 g8f6 e4c6 b7c6 g4g5 f6d5 d1d4,-138
r1b1kbnr/p1qp1ppp/2p1p3/8/4P3/3B4/PPP1QPPP/RNB1K2R b KQkq -,g8e7 e1h1 g7g6 c2c4 c6c5 b1c3 f8g7 f2f4 c8a6 c1e3,44
r2q1rk1/ppp1b1pp/4pn2/4p3/4P3/2NPB3/PPP3PP/R2Q1RK1 b - -,a7a5 c3b1 d8e8 a2a4 e8g6 b1d2 f6g4 d1e2 b7b6 g1h1,53
7K/7P/8/5k2/8/8/8/8 b - -,a7a5 c3b1 d8e8 a2a4 e8g6 b1d2 f6g4 d1e2 b7b6 g1h1,Mate
r2qk2r/1p2bppp/p1n5/3pPp2/8/2P1B3/PP1N1PPP/R2Q1RK1 b kq -,d5d4 c3d4 f5f4 e3f4 d8d4 d1f3 e8h8 b2b3 a8d8 d2c4,68
r2qk2r/pp1bnppp/2n1p3/b2pP3/3P3P/2PB1N2/5PP1/RNBQK2R b KQkq -,d8c7 e1h1 b7b5 d1d2 h7h6 c1a3 a7a6 h4h5 e8h8 a3d6,17
3rr3/1pp1qpkp/pnb2np1/8/1P1NPP2/P2P1RNP/1Q4BK/2R5 b - -,g7f8 d4c6 b7c6 c1c6 d8d6 c6c2 d6d8 b2c1 d8d7 c2c6,292
r7/5pk1/8/8/P7/R5P1/6K1/8 b - -,g7g6 a4a5 a8a6 g2f3 g6f5 f3e3 f5e6 e3d3 e6d6 d3e4,261
3n1rk1/1bb2rp1/2P1pp1p/1Q1pP2q/3N3P/5NB1/5PP1/1R2R1K1 b - -,b7a8 b1a1 d8c6 d4c6 h5g4 a1a4 d5d4 a4d4 g4h5 b5c4,392
r1bqkb1r/p4ppp/1pn1pn2/3p4/3P1B2/2N2N2/PP2PPPP/R2QKB1R b KQkq -,f8d6 f4d6 d8d6 e2e3 e8h8 a1c1 c8b7 f1d3 c6b4 d3e2,28
2bn1rk1/2b2rp1/2P1pp1p/1Q1pP2q/3N3P/5NB1/5PP1/R3R1K1 b - -,g7g5 a1a8 f6f5 a8c8 f5f4 g3f4 g5f4 b5c5 h5g4 g1h1,385
r1b1k2r/pp3ppp/2p2n2/q3p3/1bBP4/1QN1P3/PP1N1PPP/R3K2R b KQkq -,h8f8 e1h1 b4d6 f1d1 a5b4 b3b4 d6b4 d4e5 f6d7 f2f4,145
r1b2rk1/pp3ppp/2p2n2/q3P3/1bB5/1QN1P3/PP1N1PPP/R3K2R b KQ -,f6d7 c4f7 g8h8 d2c4 b4c3 b2c3 a5d8 a1d1 d8e7 e5e6,140
r1bq1rk1/p3npbp/2np2p1/1Np5/4PN2/3PB1P1/PPP3BP/R2Q1RK1 b - -,h7h6 a1b1 a8b8 b5c3 c8d7 g1h1 g8h7 e3d2 a7a6 b2b3,89
r3k2r/pppq1p1p/3p1Bp1/2nN1b2/2P5/P7/1P1Q1PPP/R3R1K1 b kq -,d7e6 d5c7 e8d7 c7e6 f7e6 a1d1 c5d3 e1e3 h8c8 e3d3,692
2bn1rk1/2b2rp1/2P1p2p/1Q1pB2q/3N3P/5N2/5PP1/R3R1K1 b - -,f7f3 d4f3 c7e5 f3e5 d8f7 b5e2 h5e5 e2e5 f7e5 e1e5,402
2kr3r/pp2q1pp/2p2n2/8/2Q2B2/2P5/P4PPP/R4RK1 b - -,d8d5 f1e1 e7c5 c4b3 h8e8 e1e8 f6e8 f4e3 c5b5 b3a3,59
8/8/8/4qpP1/2Q5/1r3B1K/5k2/8 b - -,d8d5 f1e1 e7c5 c4b3 h8e8 e1e8 f6e8 f4e3 c5b5 b3a3,Mate
2bn1rk1/5rp1/2P1p2p/1Q1pR2q/3N3P/5N2/5PP1/R5K1 b - -,g7g5 a1a8 f7f3 d4f3 d8f7 a8c8 f8c8 e5e6 g5g4 c6c7,502
rnb2rk1/ppq2pbp/2pp1np1/4p3/P2PP3/2N2N1P/1PP1BPP1/R1BQR1K1 b - -,f8d8 c1g5 h7h6 g5e3 e5d4 f3d4 d8e8 d1d2 g8h7 e3f4,62
rnbqnrk1/ppppp1bp/5pp1/4P3/2PP3P/2N2N2/PP3PP1/R1BQKB1R b KQ -,f6e5 d4e5 b8c6 h4h5 d7d6 h5g6 h7g6 c4c5 c6e5 f3e5,145
r4rk1/ppqbppbp/2n3p1/8/3N4/B1P1P1P1/P4PBP/1R1Q1RK1 b - -,g7f6 c3c4 f8d8 d4c6 b7c6 d1a4 c6c5 a4a6 a8b8 b1b7,-44
3rrnk1/1pp2qRp/2n2p2/p3pb2/4N3/PP1PP3/1BQ1BP1P/6RK b - -,g8h8 g7f7 f5e4 d3e4 f8g6 c2c4 e8g8 c4e6 d8d6 e6h3,900
r2qkb1r/pp2pppp/2n2n2/2pp4/6P1/1P2PQ1P/PBPP1P2/RN2KB1R b KQkq -,a7a6 g4g5 f6e4 h3h4 e7e6 c2c4 c6b4 c4d5 d8d5 f1c4,58
r1bb3k/p2n3p/q1p2p2/6Q1/2p5/2B5/PPP2PPP/2KR3R b - -,d8e7 h1e1 a6b5 g5h6 h8g8 e1e7 b5g5 h6g5 f6g5 e7g7,Mate
