8/8/8/8/8/1pk5/8/3K4 b - -,c7c5 d5e6 f7e6 d1e2 a7a6 f3g5 d7b6 d4c5 b6d5 c1d2,Mate
rnbqkb1r/pp3ppp/2p1p3/8/3PB3/2P5/PP3PPP/R1BQK1NR b KQkq -,c6c5 g1f3 b8d7 e4c2 d8c7 e1h1 f8e7 f1e1 e8h8 d1d3,134
8/8/8/8/2K5/8/2k5/3R4 b - -,,0
r1bqk2r/pppp1pbp/2n2np1/4p3/3PP3/2N2NP1/PPP2PBP/R1BQK2R b KQkq -,d7d5 d4e5 f6e4 c3d5 e8h8 e1h1 f8e8 f1e1 c8f5 c2c4,147
rn1qk1nr/pppb1ppp/4p3/3p4/1bPP4/P1N2N2/1P2PPPP/R1BQKB1R b KQkq -,b4f8 c4d5 e6d5 c3d5 d7f5 d5c3 g8f6 g2g3 f8e7 f1g2,424
rn1qkb1r/ppp2ppp/5n2/8/3Pp3/2N1P2P/PPP4P/R1BQKB1R b KQkq -,f8b4 c1d2 c7c5 d4c5 d8e7 d1e2 e8h8 e1a1 b8d7 e2g2,-27
r1bq1rk1/p3bp2/2p2n1p/3p4/8/2NBQ3/PPP2PPP/R3R1K1 b - -,d8d6 e3e7 d6e7 e1e7 f8e8 e7e8 f6e8 f2f3 g8g7 a1e1,162
r1bqkbnr/pp3ppp/2npp3/8/2BNP3/8/PPP2PPP/RNBQK2R b KQkq -,c6d4 d1d4 g8f6 e1h1 f8e7 c4e2 d6d5 e4e5 f6d7 c2c4,18
r2qkb1r/pp2pppp/2n2n2/5b2/2P5/3PB3/PP3PPP/RN1QKBNR b KQkq -,h7h6 f1e2 e7e5 g1f3 f8b4 b1c3 e8h8 e1h1 f8e8 a1c1,74
r2qk1nr/ppp2ppp/2n1p3/5b2/1bBP4/1QN1PN2/PP3PPP/R1B1K2R b KQkq -,f5e4 c4e2 d8d5 b3d1 g8f6 e1h1 b4c3 b2c3 d5a5 c1d2,121
q6r/4kpp1/p3p3/P1Bb4/1pN1P3/3B1Pp1/1P4P1/R3QRK1 b - -,e7d8 e4d5 a8d5 e1e5 d5e5 c4e5 h8h5 e5f7 d8e8 f7d6,2340
