8/8/8/8/8/1pk5/8/3K4 b - -,c7c5 d5e6 f7e6 d1e2 a7a6 f3g5 d7b6 d4c5 b6d5 c1d2,Mate
8/8/5kPK/8/7P/8/8/8 b - -,e8h8 a2a4 b8c6 h2h3 c6a5 c4e2 c7c5 c1e3 c5d4 f3d4,Mate
rn2kbnr/pp1q1ppp/4p3/1BppPb2/Q2P4/2P2N2/PP3PPP/RNB1K2R b KQkq -,f5d3 b5d7 b8d7 h2h4 g8e7 a4d1 d3a6 h1h3 e7c6 c1e3,578
rnbqkbnr/pppppppp/8/1N6/2BPPB2/5N2/PPPQ1PPP/3RR1K1 b kq -,g8h6 b5c7 d8c7 f4c7 e7e6 d2g5 f7f6 g5g3 b8a6 c7f4,1050
r1b1kb1r/ppp1pppp/2nq1n2/8/5B2/2NP2P1/PPP2P1P/R2QKBNR b KQkq -,e7e5 f4e3 c8g4 d1d2 f6d5 h2h3 d5e3 f2e3 g4e6 e1a1,-97
r1bqkb1r/pp2pppp/2n5/3pP3/3P2n1/5N2/PP3PPP/RNBQKB1R b KQkq -,f7f6 h2h3 g4h6 b1c3 h6f7 f1d3 f6e5 d4e5 g7g6 d3b5,145
r1bqk1nr/pp3ppp/2n1p3/2bpP3/5B2/5N2/PPP2PPP/RN1QKB1R b KQkq -,d8b6 f4g3 g8e7 f1d3 e7f5 d3f5 b6b2 b1d2 e6f5 e1h1,-223
rnbqkb1r/p2ppppp/1p3n2/2p5/4P3/2NP1N2/PPP2PPP/R1BQKB1R b KQkq -,d7d5 c1f4 a7a6 c3d5 f6d5 e4d5 d8d5 g2g3 c8b7 f1g2,80
rnbqkb1r/ppp2ppp/5n2/8/5p2/5N2/PPPP1NPP/R1BQKB1R b KQkq -,f8d6 f1c4 d8e7 d1e2 e7e2 c4e2 e8h8 e1h1 f8e8 f1e1,-170
r1bqkbnr/pp1ppppp/2n5/2p5/2P1P3/8/PP1PQPPP/RNB1KBNR b KQkq -,g7g6 g2g3 d7d6 f1g2 f8g7 b1c3 a7a6 a2a4 c6d4 e2d1,-98
r1bqkb1r/ppppppp1/2n2B1p/8/3P4/5N2/PPP1PPPP/RN1QKB1R b KQkq -,a7a5 f6e5 d7d6 e5g3 g7g5 d4d5 f8g7 b1c3 c6b4 a2a3,836
r1bqkb1r/pppppp2/2n2p1p/8/3PP3/5N2/PPP2PPP/RN1QKB1R b KQkq -,a7a6 b1c3 d7d6 f1d3 h6h5 e1h1 c8d7 h2h3 e7e6 c3e2,109
rn1qkb1r/ppp1pppp/5n2/5b2/3Pp1P1/2N4P/PPP2P2/R1BQKBNR b KQkq -,f5g6 c1e3 e7e6 g1e2 b8c6 d1d2 c6b4 e2f4 b4d5 f4g6,-98
r1bqkbnr/pppn1ppp/3p4/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq -,a7a6 c2c4 c7c6 f1e2 g8f6 b1c3 f8e7 e1h1 e8h8 d1c2,81
rnbqk1nr/1pp1bppp/p3p3/3p4/2PP1B2/2N2N2/PP2PPPP/R2QKB1R b KQkq -,c7c5 c4d5 e6d5 d4c5 g8f6 c3a4 b8c6 a4b6 a8a7 b6c8,122
r1bqkbnr/5ppp/p1p5/2pp4/3P4/2N2N2/PPP2PPP/R1BQ1RK1 b kq -,g8f6 f1e1 c8e6 f3g5 c5d4 d1d4 f8d6 g5e6 f7e6 e1e6,163
2kr1b1r/1pp1pppp/p1nq1n2/8/3P1Bb1/2N2NP1/PPP2PBP/R2Q1RK1 b - -,d6e6 h2h3 g4f3 d1f3 d8d4 f1d1 d4d1 a1d1 g7g5 f4g5,197
rn1qk1nr/pbpp1ppp/1p2p3/8/1b1PPP2/2PB4/PP4PP/RNBQK1NR b KQkq -,b4f8 g1f3 d7d5 b1d2 f8e7 d1e2 g8h6 f4f5 d5e4 d3e4,125
rnbqk2r/pppp2pp/5n2/2b1pP2/2B5/3P1N2/PPP2PPP/RNBQK2R b KQkq -,b8c6 e1h1 d7d6 f1e1 f6g4 e1e2 c8f5 d3d4 c6d4 f3d4,127
rnbk1bnr/1p3ppp/p3p3/2p5/2B1P3/2N2N2/PPP2PPP/R1B1K2R b KQ -,b8d7 a2a4 f8d6 c1e3 d6c7 e1a1 b7b6 e4e5 g8e7 d1d2,105
r1b1kbnr/pppp1ppp/5q2/3P4/3pP3/3B4/PPP2PPP/RNBQK2R b KQkq -,d7d6 d3b5 e8d8 b1d2 a7a6 b5e2 f6g6 e1h1 c8h3 e2f3,316
rnbqk2r/pppp1ppp/5n2/4p3/4P3/1PP5/PBP2PPP/R2QKBNR b KQkq -,b8c6 d1d3 d7d6 e1a1 c8e6 d3e3 f6d7 c1b1 e8h8 g1e2,66
r1b1k1nr/pppp1ppp/5q2/3P4/1b1pP3/3B4/PPPN1PPP/R1BQK2R b KQkq -,a7a5 e1h1 g8e7 f2f4 d7d6 d1e1 e8h8 a2a3 b4d2 c1d2,335
rn1qk1nr/pbppppbp/1p4p1/8/3P4/2NBPN2/PPP2PPP/R1BQK2R b KQkq -,d7d6 e3e4 b8d7 e1h1 g8f6 a2a4 e8h8 f1e1 a7a6 h2h3,52
rnbqk2r/ppp1ppbp/5np1/4N3/8/2N4P/PPPP1PP1/R1BQKB1R b KQkq -,c7c5 f1c4 e8h8 e1h1 e7e6 d2d3 b8d7 e5g4 f6g4 d1g4,-66
r1bqkbnr/ppp2ppp/2np4/4p3/3PP3/2P4P/PP3PP1/RNBQKBNR b KQkq -,g8f6 g1f3 d6d5 f1b5 e5d4 e4e5 f6e4 c3d4 f8b4 c1d2,63
rnbqkbnr/pp2pppp/3p4/2p5/3PP3/7P/PPP2PP1/RNBQKBNR b KQkq -,d8a5 c1d2 a5c7 d4d5 g8f6 b1c3 g7g6 a2a4 f8g7 g1f3,137
rnbqkb1r/1p3ppp/2p1pn2/pP1p4/8/P3PN2/1BPP1PPP/RN1QKB1R b KQkq -,f8d6 c2c4 e8h8 b1c3 c8d7 f1e2 d5c4 a3a4 c6b5 a4b5,34
rnbqkbnr/p1p1pppp/1p1p4/8/4P3/5N2/PPPPBPPP/RNBQK2R b KQkq -,e7e5 d2d4 c8b7 e2c4 b8d7 f3g5 g8h6 b1c3 c7c6 d4d5,127
rnbq1rk1/pppp1ppp/5n2/4N3/1bBPP3/2P5/PP3PPP/RNBQK2R b KQ -,d7d6 e5f7 d8e7 f7g5 d6d5 c4b3 h7h6 c3b4 h6g5 b1c3,696
rnb1kbnr/pppp1ppp/8/8/3N3q/6P1/PPP1PP1P/RNBQKB1R b KQkq -,h4h5 c1f4 h5d5 f2f3 b8c6 c2c3 c6d4 c3d4 d5a5 b1c3,142
8/8/8/3KNk2/8/3B4/8/8 b - -,f5f4 d5d4 f4g5 d4e4 g5f6 e5f3 f6e7 e4e5 e7f7 f3g1,15414
rnbqk1nr/pp3ppp/2Pb4/4p3/8/2N2N2/PPPP1PPP/R1BQKB1R b KQkq -,g8e7 c6b7 c8b7 d2d4 e5d4 f3d4 a7a6 d1d3 e8h8 c1e3,180
r1bqk2r/ppp1npbp/2np2p1/4p1B1/2P5/2NP1NP1/PP2PPBP/R2QK2R b KQkq -,h7h6 g5d2 e8h8 e1h1 a7a5 a1b1 c8e6 a2a3 d8d7 d1c1,-33
rn2kb1r/ppp2ppp/3p1n2/4p3/2BPP3/2P5/PP3PPP/RNB1K2R b KQkq -,b8d7 e1h1 c7c6 c4d3 f8e7 f1e1 e8h8 g2g3 f8e8 b1d2,60
8/8/4k3/8/3K4/5N1B/8/8 b - -,e6d6 h3f5 d6e7 d4e5 e7f7 f5d3 f7g7 e5e6 g7g8 e6f6,7614
5r2/3kn3/p7/P1b5/2p5/2P3PQ/5P1P/6K1 b - -,f8f5 h3g4 c5f2 g1g2 f2a7 h2h4 a7b8 h4h5 b8e5 h5h6,167
r1bqk1nr/pp1pppbp/2n3p1/2p5/2B1P3/5N2/PPPP1PPP/RNBQ1RK1 b kq -,g8f6 b1c3 e8h8 f1e1 e7e6 d2d3 d7d6 c4b3 b7b6 c3e2,-54
rnbqkbnr/pp3ppp/4p3/2p5/3pPP2/3P1N2/PPP1N1PP/R1BQKB1R b KQkq -,g8f6 e2g3 b8c6 f1e2 b7b6 e1h1 f8e7 c1d2 a7a5 a2a4,37
r1bqkbnr/pp3ppp/2n1p3/2p5/3pPP2/3P1NN1/PPP3PP/R1BQKB1R b KQkq -,h7h5 e4e5 f8e7 f1e2 h5h4 g3e4 g8h6 a2a3 b7b6 g2g3,-20
r1bqk2r/ppp2ppp/2np1n2/4p3/1bB1P3/P1N2N2/1PPPQPPP/R1B1K2R b KQkq -,c8g4 a3b4 c6d4 e2d3 g4f3 g2f3 d6d5 c3d5 f6d5 e4d5,530
q4rk1/1bpnbppp/2np4/4p3/3PP3/2P2N2/2B2PPP/2BQRNK1 b - -,f8e8 f1e3 e7f8 e3d5 a8c8 c2a4 c6b8 a4b3 h7h6 d1c2,49
rn1qkbnr/pb1p1ppp/1p2p3/2p5/3PP3/2PB3N/PP3PPP/RNBQK2R b KQkq -,a7a6 e1h1 c5d4 c3d4 b8c6 d3e2 d7d5 e4e5 g8e7 b1a3,107
rnb1kbnr/ppp1p1pp/8/4qp2/4N3/3P1N2/PPP2PPP/R1BQKB1R b KQkq -,e5b5 d3d4 b5a5 e4d2 g8f6 c2c3 c7c5 d2b3 a5a4 c1e3,302
rnbqk2r/1p1p1ppp/p3pn2/2b5/2P5/2N1PN2/PP3PPP/R1BQKB1R b KQkq -,d8e7 f1d3 b8c6 e1h1 e8h8 b2b3 f8d8 c1b2 d7d5 c4d5,44
rnb1kbnr/ppp1p1pp/4q3/5pN1/4N3/3P4/PPP2PPP/R1BQKB1R b KQkq -,e6h6 e4c3 h6f6 d3d4 e7e6 f1b5 c7c6 d1h5 g7g6 h5e2,272
rn1qk2r/ppp2ppp/3bpn2/3p1b2/1P6/P3PN2/1BPPBPPP/RN1QK2R b KQkq -,h7h6 c2c4 c7c6 c4d5 e6d5 d2d3 a7a5 b1d2 a5b4 a3b4,-20
8/6k1/8/4K3/7N/7B/8/8 b - -,g7f7 h3e6 f7f8 e6c4 f8e7 h4g6 e7d7 e5d5 d7c7 c4b5,4959
8/6k1/4B3/4K3/7N/8/8/8 b - -,g7h8 e5f6 h8h7 h4g2 h7h8 e6f7 h8h7 f7b3 h7h8 b3e6,7223
rnbqr1kb/ppp1pp1p/3p1npB/8/3PP2P/2N5/PPPQ1PP1/2KR1BNR b - -,c7c6 h4h5 b7b5 f2f3 b5b4 c3e2 d8a5 h5g6 h7g6 c1b1,240
rn1qk2r/pbppbppp/1p2pn2/8/2PP4/2N1PN2/PP1BBPPP/R2QK2R b KQkq -,a7a5 e1h1 e8h8 d1c2 d7d5 c4d5 e6d5 f3e5 c7c5 a1d1,35
R7/P5k1/8/7P/5p2/8/r7/5K2 b - -,,0
r2qkb1r/ppp1pppp/2n2n2/3p1b2/2PP4/4PN2/PP3PPP/RNBQKB1R b KQkq -,f5g6 c4d5 f6d5 a2a3 d8d6 b1d2 e7e6 b2b4 a7a6 c1b2,82
rnbqk2r/pppp2pp/4pn2/5p2/2PP1B2/2P4P/P3PPP1/R2QKBNR b KQkq -,d7d6 e2e3 e8h8 f1d3 d8e7 g1f3 b7b6 e1h1 b8d7 f3d2,-40
r1bqk2r/p2pppbp/2p1P1pn/8/3B4/2N5/PPP2PPP/R2QKB1R b KQkq -,g7d4 d1d4 e8h8 e6d7 d8d7 d4d7 c8d7 e1a1 d7e6 f1a6,166
rnbqk1nr/1p2bppp/p2pp3/8/3PP3/2N1BN2/PP3PPP/R2QKB1R b KQkq -,g8f6 f1d3 e8h8 e1h1 b8c6 a1c1 b7b5 f3d2 c8d7 h2h3,99
r1bqkb1r/pp2pppp/2np4/8/3NP3/2N1Q3/PPP2PPP/R3KB1R b KQkq -,a7a6 f2f4 d8b6 e1a1 e7e6 c1b1 f8e7 h2h4 c8d7 c3e2,-17
rnbqk2r/1ppp1ppp/p4n2/2b1p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 b kq -,c5a7 f3e5 e8h8 f1e1 d7d5 e4d5 d8d5 c2c3 b8d7 a4b3,150
r1b1kbnr/ppqp1ppp/2n1p3/2p5/3PP3/2P2NP1/PP3P1P/RNBQKB1R b KQkq -,g8f6 d4d5 e6d5 e4d5 c6e5 f1g2 e5f3 d1f3 f8e7 e1h1,115
rn1qkbnr/pp2pppp/2p5/3p1b2/3P1B2/6P1/PPP1PPBP/RN1QK1NR b KQkq -,e7e6 g1f3 d8b6 b2b3 g8f6 e1h1 h7h6 c2c4 b8d7 c4c5,-40
rn1qkbnr/ppp1pppp/6b1/3p4/2PP2P1/2N4P/PP2PP2/R1BQKBNR b KQkq -,c7c6 d1b3 g8f6 f1g2 e7e6 b3b7 b8d7 g1f3 d8c8 b7c8,127
rn1q1rk1/pp3ppp/2pb4/4pb2/4N3/1B1P1Q2/PPP2PPP/R1B1K2R b KQ -,f5c8 e1h1 a7a5 f3h5 d6e7 a2a4 b8d7 f1e1 d7c5 e4c5,207
rnbqkbnr/pp1p1ppp/2p1p3/3P4/2P1P3/2N5/PP3PPP/R1BQKBNR b KQkq -,e6d5 e4d5 f8c5 g1f3 c6d5 c1g5 g8e7 c4d5 d7d6 f1d3,99
6k1/1p2pp2/3B1b1p/3P4/P5P1/1r5P/4R1K1/8 b - -,e7d6 e2e8 g8g7 a4a5 b3a3 e8b8 a3a2 g2h1 a2a5 b8b7,-792
rnbqk2r/p1p2ppp/1P2pn2/3p4/1b1P4/2N5/PP1BPPPP/R2QKBNR b KQkq -,a7b6 e2e3 e8h8 g1f3 b4d6 f1e2 c7c5 c3b5 b8c6 b5d6,-39
rnbqkb1r/ppp2ppp/8/4p3/3P4/2P1B3/P1P2PPP/R2QKBNR b KQkq -,b8c6 g1f3 e5d4 f3d4 c6e5 a1b1 a7a6 f1e2 f8d6 e1h1,-39
rnbq1rk1/ppppnpbp/4p1p1/8/3P4/2P2NP1/PP2PPBP/RNBQ1RK1 b - -,b7b6 e2e4 d7d6 a2a4 c8b7 f1e1 h7h6 b1a3 b8d7 h2h4,94
3rrbk1/1pp2q1p/2n1bpp1/p2np3/4N1P1/PP1PPNR1/1BQ1BP1P/R6K b - -,f7g7 a1d1 g7d7 d1g1 d7e7 h2h4 d8d7 g3g2 e6f7 g1c1,105
3rr1k1/1pp2qbp/2n1bpp1/p2np3/4N1P1/PP1PPNR1/1BQ1BP1P/6RK b - -,e6c8 h2h4 f7e7 g3g2 c8d7 g2h2 d7e6 e4c5 e6c8 c2c4,113
rnb1kb1r/pppqpppp/5n2/8/8/2NP1N2/PPP2PPP/R1BQKB1R b KQkq -,d7d8 d3d4 g7g6 f1c4 f8g7 e1h1 e8h8 f1e1 c8f5 h2h3,75
rnbqk2r/pppp1ppp/3bpn2/8/3P4/2N3B1/PPP1PPPP/R2QKBNR b KQkq -,d6g3 h2g3 d7d5 g3g4 c7c5 d4c5 d8a5 d1d2 a5c5 g4g5,75
rn1qkbnr/p2Bpppp/1p1p4/2pP4/4P3/8/PPP2PPP/RNBQK1NR b KQkq -,e8d7 f2f4 b6b5 g1f3 g7g6 e4e5 f8g7 e1h1 d7e8 b1c3,361
r1bqkbnr/pp1ppp1p/2n3p1/2p5/4PP2/1P3N2/P1PP2PP/RNBQKB1R b KQkq -,f8g7 b1c3 g8f6 a1b1 e8h8 g2g3 d7d5 e4e5 f6e4 f1g2,-85
rnbqkb1r/pp2pp1p/1n1p2p1/8/2P5/5N2/PP1PBPPP/RNBQ1RK1 b kq -,c8e6 d2d4 f8g7 h2h3 e8h8 d1b3 b8a6 f1e1 a8c8 b1a3,114
r1bqkb1r/pp1pnp1p/2n1p1p1/2p5/2B1P3/2PP1N2/PP3PPP/RNBQ1RK1 b kq -,h7h6 d3d4 c5d4 f3d4 f8g7 c1e3 c6a5 b1d2 d7d5 c4b5,68
8/4k1p1/2K5/3N2N1/8/8/8/8 b - -,e7d8 c6d6 d8c8 d5b6 c8b7 b6c4 b7c8 c4a5 c8d8 a5b7,171
r1b1k1nr/ppp2ppp/2n1p3/3q4/1b1P4/2N1P3/PP1B1PPP/R2QKBNR b KQkq -,d5f5 a2a3 b4c3 d2c3 g8f6 f1d3 f5d5 g1f3 f6e4 a1c1,144
rnbq1rk1/ppp2ppp/4pn2/2Pp4/1b1P4/2N1P3/PPQ2PPP/R1B1KBNR b KQ -,b7b6 c5b6 b4c3 c2c3 a7b6 b2b3 c7c5 g1f3 f6e4 c3c2,-76
1r3b2/2r2kpp/p2pp1Rq/4P2P/3N1P2/2p4Q/P1P5/K2R4 b - -,b8b1 a1b1 f7e8 h3e6 e8d8 e6f5 f8e7 d4e6 d8c8 e6g7,2044
r1bqk2r/pppnbppp/4pn2/3pN3/2PP4/2N1P3/PP3PPP/R1BQKB1R b KQkq -,f6e4 c3e4 d5e4 f1e2 c7c5 e5d7 c8d7 e1h1 e8h8 b2b3,21
r1bqk2r/pp1nbppp/3p1n2/2pPp3/2P1P3/2NB3P/PP3PP1/R1BQK1NR b KQkq -,h7h5 h3h4 a7a6 g1h3 d7f8 a2a4 f6h7 g2g3 c8g4 d3e2,189
r1bqkb1r/pp1npppp/2p2n2/3p4/3P4/3BP3/PPP1NPPP/RNBQ1RK1 b kq -,e7e5 c2c4 d5c4 d3c4 f8d6 e2g3 e8h8 b1c3 d7b6 d4e5,-62
rn1qk1nr/pbpp1pbp/1p2p1p1/8/3P4/2NBPN2/PPP2PPP/R1BQ1RK1 b kq -,g8e7 e3e4 b8c6 d4d5 c6a5 c1g5 h7h6 g5h4 e8h8 f1e1,66
r1b1kbnr/ppqppp1p/2n3p1/2p1P3/8/2P2N2/PP1PQPPP/RNB1KB1R b KQkq -,f8g7 d2d4 c5d4 c1f4 c7b6 e2b5 b6b5 f1b5 f7f6 b5c6,-94
r1bqkbnr/ppp2ppp/2n1p3/8/2BP4/4P3/PP2NPPP/RNBQK2R b KQkq -,a7a6 b1c3 g8f6 e1h1 e6e5 d4e5 d8d1 f1d1 c6e5 c3d5,86
r1bq1rk1/ppppbp1p/2n2npB/4p3/2B1P3/2PP1Q2/PP3PPP/RN2K1NR b KQ -,c6a5 h6f8 e7f8 b1d2 f8h6 f3e2 d7d6 g1f3 f6h5 g2g3,88
R1BQ4/p3k3/2p5/8/6K1/4p1b1/8/5q2 b - -,e7d8 c8a6 g3b8 a6f1 d8c7 f1a6 e3e2 a6e2 c7b7 e2f3,Mate
r3kbnr/pppb1ppp/2n1p3/1B6/4PB2/5N2/PPP2PPP/RN1K3R b kq -,e8a8 d1e2 g8e7 b1d2 a7a6 b5c4 e7g6 f4g5 f7f6 g5e3,-55
Rb6/p1k5/2p5/8/6K1/8/4B3/8 b - -,a7a5 e2f3 c6c5 f3d5 c7d6 a8b8 d6d5 b8a8 d5e4 a8a5,Mate
8/5k2/p7/1p2p1P1/1P4Pp/5P2/P4K2/8 b - -,f7e8 f2g2 e8f8 g2h3 f8g7 h3h4 g7g6 a2a3 g6f7 h4h5,1073
r2qkb1r/pp1npppp/2pp1n2/8/3PP3/2N2B2/PPP2PPP/R1BQ1RK1 b kq -,g7g6 a2a4 f8g7 g2g3 d8c7 c1e3 e8h8 f3g2 h7h5 h2h3,82
r1bqkb1r/ppp1nppp/3p1n2/3Pp3/2P1P3/2N5/PP2NPPP/R1BQKB1R b KQkq -,h7h5 h2h4 c7c6 e2g3 d8b6 d1b3 b6b3 a2b3 c8d7 c1g5,133
rnb1kb1r/pppp1ppp/8/4p3/3Pq3/6P1/PPP1Q2P/RNB1KBNR b KQkq -,e4e2 f1e2 e5d4 c1f4 d7d6 b1a3 a7a6 g1f3 b8c6 e1a1,203
rnbqkb1r/ppp1pppp/8/3p4/3PnP1B/8/PPP1P1PP/RN1QKBNR b KQkq -,c7c5 g1f3 c5d4 f3d4 g7g5 h4g5 e4g5 f4g5 e7e5 b1c3,-115
rn1qkb1r/pb1ppppp/1p3n2/4P3/3N4/2N5/PPP2PPP/R1BQKB1R b KQkq -,b8c6 e5f6 g7f6 d4c6 b7c6 c1e3 e7e6 a2a3 h8g8 d1d2,768
rnbqk2r/ppp2ppp/4p3/3P4/Qb1Pn3/2N2N2/PP2PPPP/R1B1KB1R b KQkq -,b8c6 d5c6 b4c3 b2c3 b7b5 a4c2 f7f5 e2e3 e8h8 f1d3,951
rnbqkb1r/pp2pp1p/2p3p1/6B1/2PPp3/8/PP1NPPPP/R2QKB1R b KQkq -,d8d4 a1b1 d4e5 g5e3 h7h5 h2h4 c8f5 d1b3 b7b6 c4c5,-251
rnbqkb1r/pp2pppp/3p1n2/1N6/4P3/8/PPP2PPP/RNBQKB1R b KQkq -,f6e4 c2c4 g7g6 b1c3 e4c3 b5c3 f8g7 f1e2 b8c6 c1e3,-173
4r2k/5p1q/pp2rPQ1/2pbP3/3pR3/2P5/P5PP/2B3K1 b - -,b8d7 b5c3 g7g6 c1e3 f8g7 f1e2 e8h8 a2a4 d7e5 e1h1,Mate
4r1k1/p1pbqppp/1r1b1n2/3p4/P2P4/2PQN3/1P2BPPP/R1B1K2R b KQ -,,0
r2qkbnr/p3pppp/2p5/3p1b2/8/5N2/PPPP1PPP/RNBQ1RK1 b kq -,e7e6 d2d4 f8d6 b2b3 g8e7 c1a3 e8h8 a3d6 d8d6 f1e1,-92
6K1/4k1P1/8/8/5R2/8/8/7r b - -,h7h5 b2b3 e7e6 c1b2 g8f6 d2d3 f8d6 b2e5 d6e5 f3e5,Mate
rnb1kbnr/ppp1pppp/8/4q3/8/1P6/P1PPBPPP/RNBQK1NR b KQkq -,e5a1 b1c3 g8f6 g1f3 e7e6 e1h1 c8d7 f3d4 f8b4 d4b5,-661
r1bqk2r/ppp1ppbp/2np2p1/7n/3PP3/2N1B3/PPPQ1PPP/2KR1BNR b kq -,e7e5 g1e2 e5d4 e2d4 e8h8 f2f3 f8e8 c1b1 a7a6 g2g4,165
r1bqkb1r/1p1p1ppp/p1n1pn2/6B1/2P5/2N2N2/PP2PPPP/R2QKB1R b KQkq -,b7b6 e2e3 f8b4 d1c2 c8b7 a2a3 b4e7 f1e2 a8c8 b2b4,31
rn1qkbnr/pp3ppp/2ppb3/4p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq -,d8c8 c4e6 c8e6 f3g5 e6f6 e1h1 h7h6 g5f3 f6e6 d3d4,64
r2qkbnr/ppp3pp/2p2p2/4p3/4P1b1/2N2N2/PPPP1PPP/R1BQ1RK1 b kq -,c6c5 a1b1 g8e7 h2h3 g4h5 b2b4 c5b4 b1b4 b7b6 b4a4,-83
rnb1kbnr/pppp1ppp/5q2/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq -,c7c6 g1f3 d7d6 e1h1 c8g4 c4e2 b8d7 d2d3 g4f3 e2f3,71
rnbq1rk1/ppp2ppp/5n2/2bp4/3P4/5N2/PPP1BPPP/RNBQ1RK1 b - -,c5d6 c2c4 d5c4 e2c4 h7h6 f1e1 b8d7 c4b3 d7b6 f3e5,-6
rnbq1rk1/pp3pbp/3p1np1/2pP4/5B2/2N2N2/PPP1BPPP/R2Q1RK1 b - -,a7a6 a2a4 c8g4 h2h3 g4f3 e2f3 d8c7 f1e1 b8d7 d1d2,87
r1bqkb1r/pp3ppp/2nppn2/2pP4/2B1P3/5N2/PPP2PPP/RNBQ1RK1 b kq -,c6e5 f3e5 d6e5 b1c3 a7a6 a2a4 e6d5 c3d5 c8e6 c1g5,95
rnbqkb1r/pppppp2/7n/8/3P4/8/PPP1P1PP/RNBQKBNR b KQkq -,d7d5 c1f4 c7c5 e2e3 f8g7 b1c3 c5d4 e3d4 a7a6 d1d2,98
1NB5/8/2K5/8/8/8/8/1k6 b - -,b1c2 c6d5 c2d3 d5e5 d3e3 c8f5 e3f3 b8c6 f3e3 f5e4,7908
1NB5/8/8/1K6/8/8/8/k7 b - -,a1b1 b5c4 b1b2 b8a6 b2c2 c8f5 c2b2 c4b4 b2a1 b4c3,4937
r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P4/2P1PN2/PPB2PPP/RNBQK2R b KQkq -,b7b6 e1h1 f8e7 b1d2 e8h8 e3e4 d5e4 d2e4 c8a6 f1e1,-55
r2qkb1r/1b1npppp/p2p1n2/1p6/P1p1P3/2P2N2/1PBP1PPP/RNBQR1K1 b kq -,g7g6 d2d4 c4d3 d1d3 f8g7 a4b5 a6b5 a1a8 d8a8 d3b5,78
r2qkb1r/1ppb1ppp/p1np1n2/4p3/B1P1P3/3P1N1P/PP3PP1/RNBQK2R b KQkq -,c6e7 a4d7 d8d7 b1c3 e7g6 d3d4 f8e7 e1h1 e8h8 c1e3,63
rn1qkbnr/pb1p1ppp/1p2p3/8/3P4/5NP1/PP2PPBP/RNBQK2R b KQkq -,f8e7 b1c3 g8f6 c1f4 e8h8 e1h1 d7d5 f3e5 b8d7 h2h4,27
r2qkb1r/1b1n1ppp/p2ppn2/1p6/P3P3/2PQ1N2/1PB2PPP/RNB1R1K1 b kq -,h7h6 a4b5 a6b5 a1a8 d8a8 d3e2 b5b4 c3b4 d6d5 e4e5,116
r2qkb1r/1b3ppp/p2ppn2/1pn5/P3P3/2P2N2/1PB1QPPP/RNB1R1K1 b kq -,b5b4 c3b4 c5e4 a4a5 f8e7 f3d4 d6d5 f2f3 e4d6 c2a4,158
rn1qkbnr/pppb1ppp/4p3/3p4/3P4/2P1PN2/PP3PPP/RNBQKB1R b KQkq -,c7c5 f1d3 d7c6 b1d2 b8d7 e1h1 g8f6 b2b3 f8d6 c1b2,63
8/8/2k1b2Q/8/3K4/8/8/8 b - -,g8f6 f1d3 c7c5 b1d2 a7a6 d1e2 d8c7 e1h1 d7c6 b2b3,Mate
8/8/5p2/8/5k2/8/5K2/8 b - -,g8f6 f1d3 c7c5 b1d2 a7a6 d1e2 d8c7 e1h1 d7c6 b2b3,Mate
rnbqkbnr/ppp1pppp/3p4/8/1P6/B7/P1PPPPPP/RN1QKBNR b KQkq -,e7e5 e2e3 g8f6 c2c4 f8e7 b1c3 e8h8 a3b2 c7c6 d2d4,-79
r1bqk2r/pppp1ppp/2n2n2/1B2p3/1b6/1PN1P3/PBPP1PPP/R2QK1NR b KQkq -,a7a6 b5c6 d7c6 a2a3 b4d6 d2d3 d8e7 g1f3 e5e4 c3e4,-38
rnbqkbnr/1pp1pppp/P7/3p4/8/8/P1PPPPPP/RNBQKBNR b KQkq -,b8a6 d2d4 c8f5 c2c3 e7e6 d1b3 a8b8 b1d2 g8f6 e2e3,-91
r1bqk1nr/ppp1bppp/2n1p3/3p4/2PP1B2/5N2/PP2PPPP/RN1QKB1R b KQkq -,h7h5 h2h3 g7g5 f4g3 g8h6 e2e3 h6f5 g3h2 d5c4 b1c3,66
rnbqkb1r/pppp1p1p/5np1/4P3/3Q4/5N2/PPP2PPP/RNB1KB1R b KQkq -,f6h5 b1c3 b8c6 d4e4 d7d5 e5d6 c8e6 d6c7 d8c7 f3g5,311
rnb1kbnr/ppp1q2p/3p2p1/5P2/2Bp4/5N2/PPPK1PPP/RNBQR3 b kq -,f8h6 d2d3 c8f5 d3d4 h6g7 f3e5 g7e5 d4e3 e5c3 e3f3,-1238
rnbqkbnr/1ppp1ppp/P3p3/8/8/8/P1PPPPPP/RNBQKBNR b KQkq -,b7b5 e2e3 c8a6 g1f3 g8f6 a2a4 b5b4 f1a6 b8a6 e1h1,-71
r1b1kbnr/ppp1pppp/2nq4/1N6/2B5/8/PPPP1PPP/R1BQK1NR b KQkq -,d6e5 g1e2 e5c5 b5c7 e8d8 c7a8 c5c4 e1h1 c8g4 d2d3,306
