r1b1kbnr/ppp1qp1p/2np4/6p1/2BPPp2/2N2N2/PPP3PP/R1BQ1RK1 b kq -,c8e6 d4d5 e8a8 d5e6 f7e6 f3d4 c6d4 d1d4 c8b8 c1e3,212
rn1qk1nr/pbp2pbp/1p1pp1p1/8/2BPPB2/2N2N2/PPPQ1PPP/R3K2R b KQkq -,g8e7 f4h6 g7h6 d2h6 e7g8 h6e3 b8d7 e1a1 a7a6 h2h4,135
rnbqkb1r/ppppp2p/5np1/6P1/8/2NB4/PPP2P1P/R1BQK1NR b KQkq -,b8c6 g5f6 e7f6 d1e2 e8f7 d3c4 f7g7 c1e3 f8b4 g1f3,512
r1bqkb1r/ppp2ppp/2n2P2/8/2p1P3/5N2/PPP2PPP/RNBQK2R b KQkq -,d8d1 e1d1 g7f6 b1c3 c8e6 d1e2 e8a8 c1e3 f6f5 f3g5,-90
rn1qkbnr/pp3ppp/2ppb3/4p3/4P3/1BN2N2/PPPP1PPP/R1BQK2R b KQkq -,g8f6 b3e6 f7e6 d2d4 e5d4 d1d4 b8d7 e1h1 b7b5 c1e3,95
r1bqkb1r/pppp1p1p/5np1/4p3/2BnP3/2Q5/PPP2PPP/RNB1K1NR b KQkq -,f8b4 c4d3 b4c3 b1c3 d4e6 g1f3 d7d6 e1h1 f6d7 c1e3,-895
rnbqkbnr/pp2pppp/8/2p5/8/2N2N2/PPP1PPPP/R1BQKB1R b KQkq -,b8d7 c1f4 e7e6 f3d2 a7a6 a2a4 g8e7 d2c4 e7g6 f4g3,141
rnbqkbnr/ppp3pp/3p1p2/3Q4/2B1P3/5N2/PB3PPP/RN2K2R b KQkq -,g8e7 d5f7 e8d7 c4e6 d7c6 f3d4 c6b6 e6c8 d6d5 c8h3,897
rn1qk1nr/ppp1ppbp/6p1/8/3P2b1/2N1BN2/PPP1BPPP/R2QK2R b KQkq -,c7c6 h2h3 g4f3 e2f3 g8f6 g2g4 f6d5 d1d3 e8h8 e1a1,122
rnbq1rk1/pp3ppp/2p1pn2/3p4/1bPP1B2/P1N1PN2/1P3PPP/R2QKB1R b KQ -,e6e5 f3e5 b4c3 b2c3 c8f5 d1b3 b8d7 f1e2 d8b6 b3b4,127
r1bqk2r/pp3ppp/2nbpn2/2p5/2PP4/3P1NP1/PP3PBP/RNBQ1RK1 b kq -,a7a6 c1e3 c5d4 f3d4 c8d7 d4c6 d7c6 g2c6 b7c6 d3d4,177
5q2/n2P4/2b1k3/6Q1/8/3N4/4B3/6K1 b - -,e6d7 d3c5 d7d6 g5g3 d6d5 e2c4 d5c4 g3b3 c4c5 b3a3,Mate
5q2/n2k4/2b5/2N3Q1/8/8/4B3/6K1 b - -,d7c8 e2a6 c8b8 g5g3 b8a8 a6b7 c6b7 c5d7 b7d5 d7f8,Mate
r1bqkbnr/pp2pppp/2np4/2p5/4PP2/P4N2/1PPP2PP/RNBQKB1R b KQkq -,f7f5 b1c3 f5e4 c3e4 g8f6 d2d3 g7g6 g2g3 c8f5 e4f6,9
rn1qkb1r/pbp2ppp/1p2pn2/3p4/3P1B2/2NBPN2/PPP2PPP/R2QK2R b KQkq -,b8c6 c3b5 f8d6 b5d6 c7d6 c2c3 e8h8 e1h1 f6e4 h2h3,67
r1bqkbnr/ppp2ppp/8/3Pp3/1nB5/2N1P3/PP3PPP/R1BQK1NR b KQkq -,b4a6 g1f3 f8d6 e3e4 a6c5 d1c2 g8f6 e1h1 e8h8 c1e3,130
r1bqk2r/ppp2ppp/2n1pn2/3P4/1b1PP3/2N2P2/PP4PP/R1BQKBNR b KQkq -,c6d4 d1d4 c7c5 f1b5 e8f8 d4f2 e6d5 e4d5 a7a6 b5d3,553
r1bq1rk1/ppp2ppp/2np1n2/2bNp3/2B1P3/5N2/PPPPQPPP/R1B2RK1 b - -,c8g4 c2c3 c6a5 d5f6 d8f6 c4d3 c5b6 h2h3 g4f3 e2f3,-25
r4N1k/6R1/1n4pp/3p4/p2P4/P3P2P/qP3PPK/8 b - -,h8g7 f8e6 g7f6 e6c7 a8f8 h3h4 a2b2 f2f3 b2c3 c7b5,-1469
rnbqkb1r/pp2pp1p/3p1np1/2pP4/2P5/5NP1/PP2PP1P/RNBQKB1R b KQkq -,c8f5 f1g2 f8g7 f3d2 b8a6 e1h1 d8d7 e2e4 f5h3 f2f4,93
rnbqk2r/p3ppbp/2pp1np1/1p6/3PPP2/P1N1B2P/1PP3P1/R2QKBNR b KQkq -,f6h5 d1f3 e8h8 g2g4 h5f6 e4e5 d6e5 d4e5 f6d5 c3d5,86
r1bqk2r/1ppp1ppp/2n5/p1b1P3/2PN2n1/P3P3/1P3PPP/RNBQKB1R b KQkq -,d7d6 e5e6 f7f5 b1c3 e8h8 f1e2 g4f6 e1h1 c6e7 e2d3,172
rnb1kb1r/ppp1qppp/3p1n2/8/2BpP3/1QP5/PP2NPPP/RNB1K2R b KQkq -,d4c3 b1c3 c7c6 e1h1 b7b5 c4d3 e7b7 e2g3 f8e7 f2f4,-73
r1bqkbnr/1p1p1ppp/p3p3/8/3QP3/3B4/PPP2PPP/RNB2RK1 b kq -,f7f6 d3e2 d8c7 f1d1 f8c5 d4c3 c7e5 c3f3 g8e7 b1d2,128
r1bqkbnr/pppp1Bpp/8/n7/3pP3/5N2/PPP2PPP/RNBQK2R b KQkq -,e8e7 f7g8 e7e8 d1d4 d8e7 b1c3 h8g8 d4d5 g8h8 d5h5,735
