2bn2k1/1p4p1/pqrrpbQp/3p1B2/1P1P1P2/P5P1/1B2R1KP/4R3 b - -,f6e7 g6h7 g8f8 h7h8 f8f7 f5g4 e7f6 g4h5 g7g6 h8h7,Mate
r1b1k2r/1ppq1p2/1bnp1n1p/p3p1p1/PPB1P3/1QPP1NB1/3N1PPP/R3K2R b KQkq -,a5b4 c3b4 g5g4 f3h4 c6d4 b3d1 f6h5 a4a5 b6a7 e1h1,-33
5rk1/1p4p1/1Q4np/p7/3rN2P/4Rp2/qP3PP1/4R1K1 b - -,d4e4 e3e4 g8h7 g2g3 a2d5 e4d4 d5f5 b6e6 f8f6 e6f5,341
2r1kb1r/Bp3ppp/4b3/1p2P3/8/5P2/PPP4P/2KR3R b - -,e6a2 a7e3 a2e6 h1g1 h8g8 f3f4 f8e7 b2b3 e6b3 d1d2,-498
r6k/pp1b1Q2/2n1r3/3p2B1/6P1/3B1P1q/P6P/5RK1 b - -,a8g8 f7d7 e6h6 g5h6 h3h6 f1e1 g8d8 d7f5 c6d4 f5e5,372
r4rk1/pp4p1/8/3P4/8/4N1B1/Pq4BP/R4R1K b - -,b2d4 a1e1 f8f1 e3f1 b7b5 d5d6 a8d8 e1e7 g7g6 f1e3,68
4k3/4bpp1/B3pn1p/8/bp1PP3/4KP2/1N1B2PP/8 b - -,a4c6 b2d3 b4b3 a6c4 f6d7 c4b3 e7g5 f3f4 g5e7 b3c2,102
8/8/8/2p5/2kr4/4K3/8/1R6 b - -,d4d5 b1h1 c4b3 h1h3 d5d8 e3e2 b3b4 h3h6 c5c4 h6c6,-505
3r2k1/r2pR1p1/p2R2p1/1p6/8/5P2/PP4PP/1K6 b - -,g6g5 d6g6 g8f8 g6g7 a7c7 a2a3 c7c5 e7f7 f8e8 f7f6,335
1R2r1k1/2pq1ppp/3p4/3P4/1Q3P2/8/7P/6RK b - -,g7g6 g1e1 e8b8 b4b8 g8g7 b8b2 g7g8 f4f5 d7c8 b2c3,480
8/3k2p1/3Np2p/4P3/1p6/2n5/P4PPP/4K3 b - -,d7c7 d6e8 c7c6 e8g7 c6d5 f2f4 c3a2 e1d2 a2c3 d2c2,23
r1bq1rk1/p3bppp/1pn2n2/2p3B1/N2p4/P2P1NP1/1P2PPBP/R2Q1RK1 b - -,f6d5 g5d2 c8b7 f1e1 d8d7 e2e4 d4e3 f2e3 a8d8 d3d4,-120
r2qkb1r/5ppp/p1n1pn2/P2p4/1p1P4/4PP2/NP1B1P1P/R2QKB1R b KQkq -,d8c8 a1c1 c8b7 d1a4 e8d7 f1d3 f8e7 c1a1 h8c8 a2c1,54
1rr2qk1/5p2/bnn1p3/2ppP2P/p1P2Q2/3P1NP1/P4P2/2R1RBK1 b - -,c8c7 h5h6 c6e7 f4g5 e7g6 g5h5 g8h8 f3g5 d5c4 d3c4,-58
1rR1q1k1/1p3ppp/p3p3/P2p1b2/Q2P4/4P3/1P2BPPP/2R3K1 b - -,b8c8 a4e8 c8e8 g2g4 f5e4 h2h4 h7h5 g4h5 g8f8 f2f3,212
rnbq1rk1/ppp1bppp/4pn2/3p4/3P1B2/N1P2N1P/PP2PPP1/R2QKB1R b KQ -,e7a3 b2a3 c7c5 f3d2 f8e8 e2e3 b8d7 f1e2 e6e5 d4e5,-76
2rBr1k1/1p1b2pp/p3p3/3p4/8/2NP4/PP3PPP/4RR1K b - -,d5d4 d8a5 d4c3 a5c3 d7b5 e1e3 c8d8 f1d1 d8d7 a2a3,50
5rk1/6pp/p2B4/1p1p3q/3P4/2PQ2P1/PP1NrP1P/R5K1 b - -,f8f2 h2h4 e2d2 d3e3 f2e2 e3d2 e2d2 a1f1 d2d1 a2a3,-695
r1bq1rk1/pp2bppp/2npp3/3nP3/2BP4/P4N2/1P1B1PPP/RN1Q1RK1 b - -,d5b6 c4a2 d6e5 d4e5 c6d4 d2f4 d4f5 b1c3 d8d1 f1d1,34
5k2/1p3p2/p7/5N2/2P5/1P1r1P1P/P2p1P2/3R2K1 b - -,d3f3 f5g3 f3d3 g1f1 d3d8 f1e2 f8e7 d1d2 d8h8 e2f3,627
2r1Q1k1/1p3ppp/p3p3/P2p1b2/3P4/4P3/1P2BPPP/2R3K1 b - -,c8e8 g2g4 f5e4 h2h4 h7h6 c1c7 e8b8 b2b4 e4b1 g1f1,199
3r4/pp1rkppp/n3p3/8/2R2P2/1N2P3/PP2K1PP/2R5 b - -,d7d6 b3d4 d6b6 b2b3 a6b4 a2a4 b4d5 a4a5 b6b4 e2f3,37
r3kb1r/3q1ppp/p1n1pn2/P2p4/Qp1P4/4PP2/NP1B1P1P/R3KB1R b KQkq -,f6g8 a1c1 b4b3 a2c3 g8e7 c3e2 g7g6 e2f4 f8g7 f4d3,138
3n4/5k2/2p1p1p1/p1p1p1p1/P1P1P1P1/1P1P1P1P/2B2K2/8 b - -,,0
6k1/1r4p1/p4p1p/5P2/8/5KP1/P1R3P1/8 b - -,,0
r2qkb1r/pp1b1ppp/1n2p3/2ppP3/3n1PQ1/PPN2N2/1BPP2PP/2KR1B1R b kq -,h7h5 g4h3 d4f3 h3f3 d5d4 c3e4 d7c6 f1d3 d8c7 f4f5,-57
2r5/1p1k1pp1/p3p3/1N1pPn1p/1n1P3P/PP3N2/5PP1/5RK1 b - -,b4c2 b5d6 f5d6 e5d6 f7f6 a3a4 c2b4 f1b1 b4d3 f3e1,-397
8/1pN5/n5p1/2pP2k1/2P2r2/P1K1R2P/1P6/8 b - -,f4f7 c7a6 b7a6 b2b4 g5f4 e3e6 c5b4 a3b4 f4f5 e6e3,624
3q1r2/6kp/p4p2/1p1r2pP/3pQ3/P2B4/1PP3P1/1K5R b - -,f6f5 h5h6 g7h8 e4f3 g5g4 f3f4 d8d6 f4g5 d6f6 g5f4,-197
