5B2/7B/8/8/2k2K2/8/8/8 b - -,b2c1 e5c6 c1b2 d3d2 b2a3 d2c3 a3a2 c2e4 a2a3 e4b1,Mate
8/8/4k1B1/8/8/4KN2/8/8 b - -,e6e7 f3d4 e7d8 g6f5 d8c7 e3e4 c7d6 e4f4 d6e7 f4e5,5823
rnb1k2r/ppp2ppp/5n2/4p3/1b2P3/2NB1N2/PPP2PPP/R1BK3R b kq -,c8g4 d1e2 b8c6 c1e3 e8a8 h2h3 g4h5 g2g4 h5g6 g4g5,-32
rn2k1nr/pp3ppp/2pp1q2/2b1p1B1/2B1P1b1/2NP1N2/PPP2PPP/R2Q1RK1 b kq -,c5d4 g5f6 g8f6 c3e2 g4f3 g2f3 b7b5 c2c3 b5c4 c3d4,776
r1bqkb1r/ppp2p1p/5np1/4p3/2pPP3/3P4/PP3PPP/RNBQK1NR b KQkq -,d8d4 b1c3 f6g4 d1f3 f8c5 c1e3 g4e3 f2e3 d4d3 c3d5,-405
6Q1/8/7R/8/2k5/7P/8/6K1 b - -,f8b4 b1c3 d8d6 a2a3 b4c3 b2c3 e5d4 g1e2 d4c3 d1a4,Mate
8/8/8/8/2B1k3/5N2/4K3/8 b - -,e4f5 e2e3 f5f6 e3d3 f6g7 f3d4 g7h7 c4b3 h7h8 d4e2,7390
rnb1kbnr/ppp3pp/4qp2/4p3/8/2NP1N2/PPP1BPPP/R1BQK2R b KQkq -,c8d7 d3d4 e5e4 f3d2 f6f5 d4d5 e6f7 d2c4 f8b4 c1f4,167
r3kbnr/pppqpppp/2n5/3pPb2/3P4/2P5/PP2BPPP/RNBQK1NR b KQkq -,g7g5 b1d2 f7f6 d2b3 e7e6 e2h5 f5g6 h5g6 h7g6 e5f6,142
r1bqk1nr/ppppppbp/2n3p1/8/4P3/3P1N2/PPPN1PPP/R1BQKB1R b KQkq -,,0
rn1qkb1r/ppp2ppp/3p4/5b2/4n3/3N1P2/PPPPQ1PP/RNB1KB1R b KQkq -,b8c6 f3e4 f5d7 c2c3 d8e7 d3f4 e8a8 f4d5 e7g5 e2e3,453
rnbqkb1r/ppp1pppp/3P1n2/8/4p3/8/PPP2PPP/RNBQKBNR b KQkq -,d8d6 b1c3 d6d1 c3d1 b8c6 c1d2 h7h5 d1c3 a7a6 e1a1,-535
r2qkbnr/ppp1pppp/2n5/3p1b2/2PP1P2/5N2/PP2P1PP/RNBQKB1R b KQkq -,f5e4 e2e3 e7e6 a2a3 g8f6 b1c3 e4f5 f1e2 f8e7 e1h1,73
rnbBkbnr/ppp2ppp/8/3pp3/8/3P4/PPP1PPPP/RN1QKBNR b KQkq -,e8d8 e2e4 g8f6 e4d5 f6d5 g2g3 b8c6 f1g2 c8e6 g1f3,844
8/4k3/2K1n3/8/4Q3/8/8/8 b - -,e8d8 e2e4 g8f6 e4d5 f6d5 g2g3 b8c6 f1g2 c8e6 g1f3,Mate
r1bqkbnr/ppp3pp/2n1pp2/3p4/5P2/1P2PN2/PBPP2PP/RN1QKB1R b KQkq -,f8d6 c2c4 g8e7 b1c3 e8h8 a2a3 g8h8 c4d5 e7d5 c3d5,72
8/3N4/1k6/8/Q7/4K3/8/8 b - -,f8d6 c2c4 g8e7 b1c3 e8h8 a2a3 g8h8 c4d5 e7d5 c3d5,Mate
r1b1kb1r/pp2pppp/2n2n2/2p5/4P3/2P3P1/PP3PBP/RNBK2NR b kq -,g7g6 f2f3 b7b5 c1e3 b5b4 b1d2 f8g7 g1h3 f6d7 d1c2,-32
rnbqkb1r/ppp1pppp/5n2/3p4/P7/2N1P3/1PPP1PPP/R1BQKBNR b KQkq -,e7e5 d2d4 e5e4 c1d2 c7c5 f1b5 b8c6 g1e2 a7a6 b5c6,-96
r1bqkb1r/ppp3pp/2np1n2/4pp2/2B1PP2/P1NP4/1PP3PP/R1BQK1NR b KQkq -,c8d7 g1f3 d8e7 e1h1 e8a8 b2b4 f5e4 d3e4 e5f4 c1f4,97
rnbqkbnr/pp1p1ppp/2p1p3/8/3PP3/7N/PPP2PPP/RNBQKB1R b KQkq -,d7d6 f1e2 g8f6 d1d3 f8e7 b1c3 e6e5 d4e5 d6e5 d3g3,66
8/8/8/8/1NK2B2/8/8/2k5 b - -,c1d1 c4d3 d1e1 d3e3 e1f1 e3f3 f1e1 f4e5 e1f1 b4d3,7370
rnbqkb1r/pp2pp1p/3p1np1/8/2BP4/5N2/PPP2PPP/RNBQ1RK1 b kq -,d6d5 c4b3 b8c6 c2c3 c8g4 c1f4 e7e6 f1e1 f6h5 f4e3,85
8/8/8/5KN1/3kB3/8/8/8 b - -,d4c3 f5e5 c3c4 e4g6 c4b3 e5d4 b3b2 g5f7 b2a1 g6f5,15265
8/8/8/6N1/2k5/4K3/2B5/8 b - -,c4d5 c2b3 d5e5 g5h7 e5d6 e3d4 d6c6 h7g5 c6d7 d4c5,3925
r2qkbnr/ppp1pppp/2n5/1B3b2/3P4/2N1B3/PPP2PPP/R2QK1NR b KQkq -,d8b8 g2g4 f5c8 d4d5 a7a6 b5e2 c6d8 d1d2 h7h6 f2f4,318
r1bqkb1r/pp1pnppp/2n1p3/2p5/4PP2/2PP1N2/PP4PP/RNBQKB1R b KQkq -,e7g6 h2h4 h7h5 f1e2 d7d5 g2g3 b7b6 c1e3 d8d7 e1h1,48
r1bqk1nr/ppp2ppp/2nbp3/1B1p4/3P4/2P1PN2/PP3PPP/RNBQK2R b KQkq -,,0
8/8/8/K4k2/8/8/4Q3/8 b - -,c8d7 b1d2 g8f6 e1h1 e8h8 a2a3 f6e4 b5d3 f7f5 c3c4,Mate
r1bqk1nr/ppp2ppp/2np4/b2Np3/1P2P3/P4N2/2PP1PPP/R1BQKB1R b KQkq -,c8g4 b4a5 f7f5 h2h3 g4h5 d2d3 g8e7 f1e2 e8h8 a5a6,746
rn1qkbnr/ppp3pp/4p3/3pp3/3PP3/2N2N2/PPP2PPP/R1BQK2R b KQkq -,d5e4 f3e5 g8f6 e1h1 f8e7 f1e1 b8d7 e5g4 e7b4 c1g5,233
r1bqkb1r/ppp2ppp/2np1n2/1B2p1Q1/4P3/8/PPPP1PPP/RNB1K1NR b KQkq -,f6e4 b5c6 b7c6 g5d8 e8d8 g1e2 f8e7 d2d3 e4c5 b1c3,-342
r1bqkb1r/ppp2p1p/5np1/3pp3/2BnP3/2PQ3N/PP1P1PPP/RNB1K2R b KQkq -,d5c4 d3c4 d4c2 e1f1 c2a1 h3g5 d8d7 b2b3 a1c2 g5f3,-971
r1bqkb1r/pp2nppp/2n1p3/2ppP3/5P2/1PP2N2/P2P2PP/RNBQKB1R b KQkq -,h7h6 f1b5 c8d7 b5c6 e7c6 e1h1 f8e7 d2d3 e8h8 c3c4,-91
