r1bqkb1r/p3pp1p/2pp1np1/2p5/4PB2/2NP1N2/PPP2PPP/R2QK2R b KQkq -,e7e5 f4e3 f8g7 d1d2 f6h5 e3h6 e8h8 h6g7 h5g7 h2h4,-42
rnbqkb1r/1pp2pp1/p2p1n1p/4p3/2B1PP2/2NP3P/PPP3P1/R1BQK1NR b KQkq -,c8e6 c4b3 f8e7 g1e2 e8h8 e1h1 b8d7 c1e3 e5f4 e2f4,49
rn1qkb1r/pp3ppp/4pn2/3p4/3P4/2NQ1N1P/PPP2PP1/R1B1K2R b KQkq -,b8c6 c1f4 f8d6 f4d6 d8d6 e1h1 e8h8 c3e2 b7b5 a2a4,-27
r4rk1/pppq2pp/5b2/3n4/PP1p1P2/3P1N2/4PPKP/R1BQ1R2 b - -,d5c3 d1b3 g8h8 h2h3 a8e8 f1e1 d7f5 e2e4 d4e3 f2e3,-134
r2qkb1r/pp1n1ppp/4pn2/3p4/3P4/2NQ1N1P/PPP2PP1/R1B2RK1 b kq -,f8d6 c3e2 d8c7 c1e3 a8c8 f1c1 e8h8 a2a4 h7h6 b2b3,-19
1k1r3r/pq3pb1/1p2p2p/2PnN1p1/8/N1P2PP1/PP2Q2P/1K1RR3 b - -,b6c5 b1a1 g7e5 e2e5 b7c7 e5e4 h8f8 a3b5 c7c6 e4e5,96
6k1/7p/4p3/3n1Pp1/8/7K/Pr5P/3Q4 b - -,b2e2 f5e6 e2e3 h3g4 e3e5 d1b3 d5f6 g4f3 g8g7 a2a4,283
r4rk1/pppq2pp/5b2/8/PP1p1P2/1QnP1N2/4PPKP/R1B2R2 b - -,g8h8 h2h3 a8e8 c1d2 c3e2 a1e1 e8e7 b3d1 f8e8 f3g1,-144
2r5/8/p4k1p/5pp1/3BpP2/1PPn2P1/P2R3P/5K2 b - -,f6g6 f4g5 h6g5 d2g2 c8f8 g2g1 f5f4 f1e2 g6h5 g3f4,-18
3k4/5p2/3r2p1/P1K4p/7P/R5P1/5P2/8 b - -,d8c7 a3f3 f7f5 f3a3 d6a6 c5d5 c7d8 f2f3 d8d7 f3f4,405
rn1qk1nr/pp3ppp/2p5/4pb2/1b1PN3/2P1BP2/PP4PP/R2QKBNR b KQkq -,b4f8 d4e5 b8d7 e4g3 f5e6 f3f4 f8c5 e3c5 d7c5 d1d8,124
Q7/pp6/2p1k3/3p4/8/8/PPPPPPBP/RNBQK1NR b KQ -,b4f8 d4e5 b8d7 e4g3 f5e6 f3f4 f8c5 e3c5 d7c5 d1d8,Mate
r4rk1/pp1nbppp/1q2pn2/3p4/3P1B2/2NQ1N1P/PPP2PP1/1R2R1K1 b - -,f8c8 c3e2 a7a5 c2c3 b6a6 d3a6 a8a6 a2a4 d7b6 b2b3,-45
8/2k2p2/3r2p1/P1K4p/7P/5RP1/5P2/8 b - -,f7f6 f3c3 d6d8 f2f4 d8d6 c5c4 c7c8 c3b3 d6c6 c4d4,428
r1bqkb1r/pp1p1p1p/2n1pnp1/2p5/2B1P2P/2NP1N2/PPP2PP1/R1BQK2R b KQkq -,f8g7 c1f4 d7d5 c4b5 c8d7 a2a4 a7a6 e4d5 f6d5 c3d5,-14
3rr1k1/p1q2pbp/1p1pBnp1/1Pp5/4P3/3R1N1P/1PP2PP1/2BQR1K1 b - -,f7e6 c1f4 e6e5 f4g5 c7d7 c2c4 e8e6 g5h4 h7h6 h4f6,144
8/2k5/3r1pp1/P1K4p/7P/2R3P1/5P2/8 b - -,g6g5 c3f3 d6c6 c5d5 c6a6 f3c3 c7d7 c3c5 a6d6 d5c4,437
2k5/pp5p/4B3/2q2p2/3r2n1/2QP2N1/P4PPP/6K1 b - -,d4d7 c3c5 c8d8 e6d7 d8d7 c5f5 d7d6 f5g4 d6c7 h2h4,1292
