rn1qkb1r/1p2pppp/p4n2/3p4/3P1B2/2NQ1N2/PPP2PPP/R3K2R b KQkq -,e7e6 c3e2 f8e7 e1h1 e8h8 c2c3 b8c6 a1b1 b7b5 f1e1,-14
8/1k2K3/8/4P3/8/7r/2R5/8 b - -,h3h1 e5e6 b7b6 e7e8 h1f1 c2c4 b6b5 c4c8 f1a1 e6e7,5285
rnbq1rk1/pp3p2/4pbpp/2pp2P1/2PP3P/4PN2/PPQ2P2/RN2KB1R b KQ -,f6h8 h4h5 h6g5 h5g6 h8g7 f3e5 f7f6 e5f7 f8f7 g6f7,149
8/8/8/8/5pk1/2R5/1r6/5K2 b - -,,0
rnb1kb1r/pp3ppp/4pn2/2p4q/3P4/2N2NP1/PP2PPBP/R1BQK2R b KQkq -,c5d4 f3d4 a7a6 g2f3 h5a5 e1h1 f8e7 d1b3 b8d7 f3b7,213
8/8/8/6Q1/3K4/6k1/6p1/8 b - -,c5d4 f3d4 a7a6 g2f3 h5a5 e1h1 f8e7 d1b3 b8d7 f3b7,Mate
r1bqk1nr/ppp2ppp/2nbp3/3p4/3P1P2/4P1B1/PPP3PP/RN1QKBNR b KQkq -,c6e7 b1d2 g8f6 c2c3 c7c5 f1d3 d8b6 a1b1 c5d4 c3d4,-78
B3k3/p5p1/q7/2P2pp1/4N1n1/3R4/P1P1KPP1/1RB4r b - -,e8f8 e4d6 f8g8 c5c6 g4f2 c6c7 f2d3 c7c8q a6c8 d6c8,572
6k1/1R2Q3/8/2B2p2/2PK1P2/4P3/8/5q2 b - -,e8f8 e4d6 f8g8 c5c6 g4f2 c6c7 f2d3 c7c8q a6c8 d6c8,Mate
r1bqkbnr/4pppp/p1p5/3p4/3N4/8/PPPP1PPP/RNBQ1RK1 b kq -,c6c5 d4f3 e7e6 c2c4 g8f6 d2d4 d5c4 d4c5 c8b7 b1a3,-66
8/1r3p2/5bkp/1R2R3/P4PP1/2p5/2K5/8 b - -,b7a7 e5f5 g6g7 a4a5 a7e7 c2d1 e7e3 a5a6 e3g3 f5c5,479
5r1k/ppq3r1/2p5/5B1Q/P1n2P1b/1bN3P1/1P1RP3/2K4R b - -,g7h7 f5h7 c7h7 h1h4 h7h5 h4h5 h8g8 h5g5 g8h8 d2d7,Mate
r1bq1rk1/ppp1bppp/2np1n2/4pPB1/4P3/2NP1N2/PPP3PP/R2QKB1R b KQ -,c6d4 g5f6 e7f6 c3d5 b7b5 d5f6 d8f6 f3d2 b5b4 c2c3,-28
rnbqkbnr/ppp2ppp/8/3pp1N1/6P1/8/PPPPPP1P/RNBQKB1R b KQkq -,d8g5 h2h3 b8c6 b1c3 c8e6 e2e4 d5d4 c3e2 h7h5 d2d3,-615
rnbqkbnr/ppp2ppp/8/3pp1N1/8/6P1/PPPPPP1P/RNBQKB1R b KQkq -,d8g5 f1g2 g5f5 e1h1 g8f6 b1c3 d5d4 e2e4 f5d7 c3d5,-452
r1bqk2r/ppp2pp1/2n1pB1p/8/1bBPP3/2N2N2/PP3PPP/R2QK2R b KQkq -,d8d6 f6h4 e6e5 e1h1 c6d4 f3d4 e8h8 d4f3 b4c3 b2c3,938
r1b1k2r/ppp2pp1/2n1pq1p/8/2BPP3/2P2N2/P4PPP/R2Q1RK1 b kq -,f6d8 c4b3 e8h8 d1d3 b7b6 a1d1 a7a5 f1e1 a5a4 b3c2,155
r1b2rk1/pp1n2p1/1q2p3/3pP1BQ/2p5/2P1P3/PP3PP1/2KR3R b - -,b6c7 h5h7 g8f7 d1d4 c7e5 d4f4 d7f6 g5f6 e5f6 h1h6,803
rn1qk1nr/ppp2ppp/3bp3/3p4/3P1Bb1/4PN2/PPPN1PPP/R2QKB1R b KQkq -,h7h6 h2h3 g4h5 f4d6 c7d6 c2c4 g8e7 c4d5 e7d5 f1c4,47
rn1qkb1r/pp2ppp1/2p2n1p/3p1b2/2PP1B2/4PN2/PP2BPPP/RN1QK2R b KQkq -,d8b6 d1c1 b6d8 h2h3 e7e6 c4c5 a7a5 b1c3 b8d7 c3a4,64
r1bqkbnr/ppp2ppp/2n5/3pp3/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq -,d5d4 c3e4 f7f5 e4g3 g7g5 e2e3 g5g4 f3g1 h7h5 h2h3,-338
r1bqkbnr/ppp2ppp/2n5/3pp3/8/3P1N2/PPP1PPPP/RNBQKB1R b KQkq -,g8f6 b1c3 d5d4 c3b1 c8g4 c2c3 d8d7 e2e4 d4e3 c1e3,-118
8/3r1p2/1R3bkp/4R3/P4PP1/2p5/2K5/8 b - -,h6h5 g4h5 g6g7 h5h6 g7h6 b6f6 h6h7 e5f5 d7d4 a4a5,617
7R/8/2K5/8/3k4/8/8/8 b - -,h6h5 g4h5 g6g7 h5h6 g7h6 b6f6 h6h7 e5f5 d7d4 a4a5,Mate
rnbqk2r/pp3ppp/2p5/3pp3/1b2P3/1B3Q2/PPPP1PPP/R1B1K1NR b KQkq -,e8h8 c2c3 d5e4 f3e4 b4d6 g1f3 b8d7 d2d4 d7f6 e4h4,-73
r5k1/ppqbrppp/2nbpn2/3pN3/3P1P2/1PPB1Q2/PB1N2PP/R4RK1 b - -,a8d8 g1h1 f6e8 g2g4 g7g6 a1e1 d7c8 h2h4 f7f6 h4h5,159
