r2qrb1k/pp1n3p/2p3QB/8/2BP2p1/2P5/PP2NP2/2K4R b - -,f8h6 g6h6 e8e7 e2f4 d7f8 h1h5 e7g7 h5f5 b7b5 c4b3,Mate
r3k2r/p1qb1ppp/1pn5/1BbQP3/1P3P2/P7/7P/RNB1K2R b KQkq -,c5d4 a1a2 a7a6 a2c2 a6b5 e5e6 d7e6 d5d4 e8h8 c1b2,-332
8/8/8/8/6kp/5Q2/5K2/8 b - -,c5f8 c1e3 a8c8 e1f2 c6e7 b5d7 c7d7 d5d7 e8d7 h1d1,Mate
8/3R4/p4k2/1p3P1K/8/1Pr1p3/P4b1N/8 b - -,e3e2 h2g4 f6f5 d7f7 f5e6 f7f2 e2e1q a2a3 c3h3 h5g5,-853
1rbr2k1/1pqn1pbp/p2ppnp1/8/5N2/1PN1P1P1/PBPQ1PBP/R2R2K1 b - -,d6d5 a1c1 b7b5 b2a1 c8b7 a2a4 b5b4 c3a2 f6e4 g2e4,-48
r2qr2k/pp1n3p/2p4Q/8/2BP2p1/2P5/PP2NP2/2K4R b - -,d7f8 h1h5 d8e7 e2f4 b7b5 c4d3 e7f7 d3g6 e8e1 c1d2,159
6r1/pk5p/3qpp1p/3p4/Q2b1P2/3N4/6PP/2R2R1K b - -,d4e3 c1c2 h6h5 c2e2 e3b6 f1e1 d6c6 a4c6 b7c6 e2e6,562
6k1/p4pp1/7p/4q3/3p4/1P2n2P/PN3QP1/6K1 b - -,e5e4 b2c4 e3c4 b3c4 d4d3 f2d2 e4c4 g1f2 c4c5 f2f3,-417
8/6p1/k4p1p/P3p2P/K2pP3/5PP1/8/8 b - -,,0
rnbq1rk1/1p1n1pbp/p2p2p1/3P4/P1B1PP2/2N2N2/1P4PP/R1BQK2R b KQ -,f8e8 e1h1 d7c5 e4e5 c8g4 h2h3 g4f3 d1f3 d6e5 f4e5,136
r3kb1r/1p1q1ppp/p3pn2/3pB3/3P4/1QPB4/PP3PPP/R3K2R b KQkq -,f6g4 e5g3 d7c6 b3d1 g4f6 e1h1 f8d6 g3h4 f6d7 f2f4,50
6Q1/1bqnrp1p/p2p1k2/1p1P4/5P2/3B4/PPP3PP/2KR4 b - -,e7e5 f4e5 d7e5 g8f8 b7d5 d1f1 e5f3 g2f3 d5e6 f8h8,Mate
1Q6/8/4ppk1/6p1/1pq3Pp/7P/P4PK1/8 b - -,g6g7 b8a7 g7f8 g2g1 f8e8 g1h2 c4f4 h2g1 f4d6 a7a8,-9
8/8/8/r5p1/p1k5/K7/8/1R6 b - -,c4d3 b1b8 d3e4 b8c8 e4f3 c8f8 f3e3 f8c8 a5e5 a3a4,-577
r2q1rk1/1pp1bppp/2n2n2/3p4/p2P2b1/P1N1BNP1/1PQ1PPBP/R4RK1 b - -,d8c8 c3a4 g4f5 c2d1 h7h6 f3e5 c6e5 d4e5 f6d7 g2d5,94
r2q1rk1/1p2npb1/2np2pp/2p1p3/p3P3/PbPP1NP1/1PNB1PBP/2RQR1K1 b - -,d8d7 d1e2 b3e6 c2e3 a8d8 c3c4 f7f5 e4f5 g6f5 g2h3,-105
rn1q1rk1/2pn1ppp/b2bp3/pN1pN3/P2PPB2/1Q4P1/1P3PBP/R4RK1 b - -,d6e5 f4e5 d7e5 e4d5 e6d5 d4e5 c7c6 f1d1 b8d7 e5e6,-10
