7k/8/8/8/4K1Q1/8/8/8 b - -,d7d6 g1f3 h7h6 g5e3 c5e3 f2e3 b7b5 c4b5 c6b5 a2a3,Mate
rnbq1rk1/pp1p1pp1/2p2n1p/2b1p3/2P1P2B/2NP3P/PP3PP1/R2QKBNR b KQ -,d7d5 c4d5 c6d5 g1f3 d5d4 h4f6 d8f6 c3d5 f6d8 f1e2,-97
r2q1rk1/ppp2pp1/2npbn1p/2bNp3/2B1P3/3P1N2/PPP2PPP/R1BQ1RK1 b - -,e6d5 c4d5 f6d5 e4d5 c6e7 c2c4 c7c6 d5c6 e7c6 a2a3,-39
8/1pk2ppp/2p5/4P3/p1P2P2/Pn1r4/1P1NK2P/3R4 b - -,d3d4 d2b3 d4d1 e2d1 a4b3 d1e2 c7d7 e2e3 d7e6 e3e4,36
8/1pk2ppp/2p5/4P3/p1P2P2/P7/1P1K3P/8 b - -,,0
6K1/4q3/3k4/5QP1/3p4/8/2P5/8 b - -,e7b7 f5f8 d6e5 f8g7 b7g7 g8g7 e5f5 g7h6 f5e4 g5g6,888
2k5/6p1/2K5/4N3/4N3/8/8/8 b - -,e7b7 f5f8 d6e5 f8g7 b7g7 g8g7 e5f5 g7h6 f5e4 g5g6,Mate
rn1qkb1r/1ppb1ppp/p3pn2/3p4/3P1BP1/2N1PQ2/PPP2P1P/R3KBNR b KQkq -,c7c5 e1a1 d8a5 g4g5 c5d4 e3d4 f6e4 g1e2 b8c6 c1b1,47
1r1qr1k1/2p1b3/2p1p3/p6n/6Q1/2NB4/PPP2BP1/1R4K1 b - -,g8f8 g4h5 d8d3 c2d3 e7b4 b1f1 f8e7 c3e4 e7d7 e4f6,Mate
rn1qkb1r/1ppb1ppp/p3pn2/3p4/3P1B2/2N1PQ2/PPP2PPP/2KR1BNR b kq -,c7c5 g2g4 d8a5 g1e2 b8c6 g4g5 c5d4 e3d4 f6e4 c1b1,48
r1bq1rk1/b1p2pp1/p1p2n1p/4N3/4P2B/2P5/PP3PPP/RN1Q1RK1 b - -,a7c5 b1d2 f8e8 e5f3 g7g5 h4g3 c8g4 d1c2 g4f3 g2f3,130
8/8/8/7k/5K2/1B6/6N1/8 b - -,h5g6 f4e5 g6h5 e5f6 h5g4 b3d5 g4g3 d5b7 g3f2 f6e7,189
8/8/8/8/2k5/6R1/4K3/8 b - -,h5g6 f4e5 g6h5 e5f6 h5g4 b3d5 g4g3 d5b7 g3f2 f6e7,Mate
r1b2rk1/b1p1qpp1/p1N2n1p/8/4P2B/2P5/PP3PPP/RN1Q1RK1 b - -,e7d7 c6a7 a8a7 h4f6 g7f6 c3c4 f6f5 b1c3 f5e4 c3e4,351
r1b2rk1/N1p2pp1/p4n1p/8/4q2B/2P5/PP3PPP/RN1Q1RK1 b - -,a8a7 h4f6 c8b7 f2f3 e4e3 f1f2 g7f6 b1a3 e3g5 a3c2,200
r4rk1/1p1nbpp1/1qp1pn1p/p2p1b2/2P5/PP1P1NP1/RB1NPPBP/Q4RK1 b - -,f8e8 b2c3 b6a6 e2e4 f5g6 f1e1 d7c5 f3e5 g6h7 c3d4,-26
r1bq1rk1/ppppBppp/2n5/4p3/2B1P1n1/3P1N2/PPP2PPP/RN1Q1RK1 b - -,d8e7 d1d2 g4f6 b1c3 d7d6 h2h3 c8e6 c3d5 e6d5 e4d5,21
2R3k1/1p1r1ppp/1b6/p2p4/P7/4P3/1B2KPPP/7R b - -,d7d8 h1c1 g8f8 b2d4 b6d4 c8d8 f8e7 d8d5 d4b6 d5b5,782
rn1qk1nr/pbpp1pb1/1p2p1pp/4P3/3P1B2/2NB1N2/PPP2PPP/R2QK2R b KQkq -,g6g5 f4g3 b8c6 d1e2 h6h5 h2h3 d8e7 e1a1 e8a8 d3a6,96
6k1/1pr2rbQ/3p4/p2P2P1/3N4/2q5/P7/1K3R1R b - -,g8f8 d4e6 f8e7 f1f7 e7f7 g5g6 f7e7 h7g7 c3g7 e6g7,750
3r2k1/pb5p/1pn1pbp1/6B1/4B3/2P2N2/P4PPP/4R1K1 b - -,f6c3 g5d8 c3e1 e4c6 e1f2 g1f2 b7c6 f3e5 c6b7 a2a3,326
1r2r1k1/1b1qn1pp/p3pp2/1pR4P/3pB3/BP1P2P1/P3QP2/2R3K1 b - -,b7c8 h5h6 b5b4 c5c7 d7d8 e2g4 g7g5 a3b2 e6e5 c7c8,152
rnbqkbnr/pp3ppp/4p3/2p5/3P1B2/N1P5/PP3PPP/R2QKBNR b KQkq -,c8d7 d4d5 e6d5 d1d5 b8c6 a3b5 g8f6 d5f3 d8e7 f1e2,133
8/8/5K2/8/R3k3/8/8/8 b - -,c8d7 d4d5 e6d5 d1d5 b8c6 a3b5 g8f6 d5f3 d8e7 f1e2,Mate
rnbqk2r/pp2npbp/2ppp1p1/6B1/3PP3/2N2N2/PPP1BPPP/R2Q1RK1 b kq -,h7h6 g5e3 e8h8 d1d2 g8h7 a1d1 b7b6 e3f4 c8a6 h2h4,75
rnb1kbnr/pp2pp1p/1qpp4/6p1/3P4/4P1B1/PPP2PPP/RNQ1KBNR b KQkq -,f8g7 b1d2 g8f6 f1d3 f6h5 g1e2 c6c5 c2c3 b8c6 h2h4,58
rnb1kbnr/pp2pp1p/1q1p4/2p3p1/3P4/2P1P1B1/PP3PPP/RNQ1KBNR b KQkq -,c8d7 g1f3 g5g4 f3h4 g8f6 b1d2 d6d5 d4c5 b6c5 f1d3,62
rnb1kb1r/pp2pp1p/1q1p1n2/2p3p1/3P4/2P1P1B1/PP1N1PPP/R1Q1KBNR b KQkq -,c8d7 c1c2 f8g7 g1f3 h7h6 a2a4 c5d4 e3d4 f6h5 f1d3,67
rnb1k2r/2q1bppp/p2ppn2/1p6/3NP1P1/1BN1BP2/PPP4P/R2QK2R b KQkq -,e8h8 g4g5 f6d7 b3e6 f7e6 d4e6 c7c6 e6f8 e7f8 d1d5,50
rnb1k2r/2q1bppp/p2ppn2/8/Np1NP1P1/1B2BP2/PPP4P/R2QK2R b KQkq -,c8b7 d1d2 f6d7 h2h4 b8c6 e1a1 c7a5 e3g5 e7g5 h4g5,76
5R2/7P/1K6/8/1P5r/3k4/5p2/8 b - -,h4h7 f8f2 h7h6 b6a5 h6h1 f2f5 d3e4 f5c5 e4d4 c5g5,458
r1bq1rk1/pp2ppbp/3p1npB/2n5/4P3/2N2P2/PPPQ2PP/2KR1BNR b - -,d8b6 h6g7 g8g7 g2g4 b6a5 h2h4 h7h5 g4h5 f6h5 g1e2,108
r3kb1r/pp1q1ppp/2N1p3/3pP3/8/4B3/PP2QPPP/2R2RK1 b kq -,f7f6 c6a7 f8e7 e5f6 e7f6 a7b5 e8h8 c1c7 d7d8 e3b6,530
8/p7/Pk6/8/4P3/3K4/8/8 b - -,b6a6 e4e5 a6b6 e5e6 b6c7 d3e4 c7d8 e4d4 a7a5 d4c5,Mate
r1bqk2r/p2pbppp/2p2n2/np2p3/4P3/1BNP1Q2/PPP1NPPP/R1B2RK1 b kq -,,0
rn1qk2r/pp3ppp/2pp1n2/2b1p1B1/2B1P1b1/2NP2Q1/PPP2PPP/R3K1NR b KQkq -,,0
8/p1k5/4K3/8/4P3/8/8/8 b - -,c7b7 e4e5 a7a5 e6d6 b7c8 e5e6 c8d8 e6e7 d8e8 d6c5,Mate
4r1k1/4R2p/p3pppP/1p1q4/3pQ3/BP1P2P1/P4P2/6K1 b - -,b5b4 e4d5 e6d5 e7e8 g8f7 e8h8 g6g5 h8h7 f7g6 h7a7,Mate
8/8/8/8/3K1k2/6p1/6R1/8 b - -,f4f3 g2g3 f3g3 d4c4 g3f4 c4c5 f4f3 c5d6 f3e2 d6c6,Mate
r1b1k2r/5pb1/2p2Bp1/p1qPp2p/PnB4P/2N2P2/1PPQN1P1/2KR3R b - -,g7h6 f6g5 c5c4 g5h6 c8f5 b2b3 c4c5 h6e3 c5d6 e2g3,577
r1b1k2r/5p2/2p2bp1/p1qPp2p/PnB1N2P/5P2/1PPQN1P1/2KR3R b - -,c8a6 e4c5 a6c4 d5d6 e8f8 c5d7 f8g7 d7f6 g7f6 d6d7,650
r1b1k2r/4qp2/2pP1bp1/p3p2p/PnB1N2P/5P2/1PPQN1P1/2KR3R b - -,e7b7 d6d7 c8d7 e4f6 e8d8 d2d7 b7d7 d1d7 d8c8 d7f7,826
rnbqk2r/pp4pp/2pbpn2/3P1p2/3P1P2/2N1PN2/PP4PP/R1BQKB1R b KQkq -,e6d5 f1e2 c8e6 e1h1 b8d7 c1d2 f6e4 d2e1 e8h8 a1c1,8
rn1qk2r/1pp2ppp/p3p3/3pNP2/1b1PnB2/2N1P3/PPP2P1P/R2QKB1R b KQkq -,e6f5 f1g2 e4c3 d1d2 c3a2 c2c3 a2c3 b2c3 b4d6 g2d5,641
r1bqk2r/3P1p2/2p2bp1/p3p2p/PnB1N2P/5P2/1PPQN1P1/2KR3R b - -,d8d7 e4f6 e8d8 f6d7 d8c7 d2d6 c7b7 d6e5 h8d8 d7c5,2217
rnbqk2r/ppp1bppp/3p4/8/2BPnp2/2N2N2/PPP3PP/R1BQ1RK1 b kq -,e4c3 b2c3 d6d5 c4d3 c7c5 f3e5 b8d7 c1f4 e8h8 e5d7,-63
rn1qkbnr/pp3ppp/4p3/2pp4/3P2b1/4PN1P/PPPNBPP1/R1BQK2R b KQkq -,g4h5 e2b5 b8c6 c2c4 g8f6 d1a4 d8c7 f3e5 a8c8 a4a7,42
r1bqkbnr/ppp2ppp/2n5/3p4/1P2p3/P1P1P2P/3P1PP1/RNBQKBNR b KQkq -,f8d6 c1b2 g8f6 c3c4 d6e5 c4d5 e5b2 a1a2 f6d5 a2b2,-92
r1bq1k1r/3P1p2/2p2Np1/p3p2p/PnB4P/5P2/1PPQN1P1/2KR3R b - -,c8d7 f6d7 f8g7 c2c3 b4d5 d7e5 d8f6 e5c6 d5b4 c3b4,736
r1bq1rk1/ppp2ppp/2nbpn2/3p4/2PP4/3BPN2/PP3PPP/RNBQR1K1 b - -,,0
r2qk2r/1p1bbppp/p1Bp1n2/4p1B1/4P3/2N2N2/PP2QPPP/R2R2K1 b kq -,a8b8 c6d7 f6d7 g5e7 d8e7 c3d5 e7d8 d5e3 d7f6 e3f5,569
r1bqkbnr/ppp2ppp/2n1p3/8/Q1pP4/P3P3/1P3PPP/RNB1KBNR b KQkq -,c8d7 a4c4 f8d6 g1f3 g8f6 f1e2 e8h8 e1h1 d8e7 c4c2,-4
r3kb1r/p2npppp/b1p2n2/q7/PppPP3/5NN1/1PQB1PPP/R3KB1R b KQkq -,e7e6 f1c4 a6c4 c2c4 a8c8 e1h1 f8e7 f1c1 e8h8 d2e3,41
