r1bqkb1r/pp2ppp1/2n2n1p/2pp4/3P3B/2P1PN2/PP3PPP/RN1QKB1R b KQkq -,d8b6 d1c2 c5d4 e3d4 g7g5 h4g3 c8f5 c2b3 f8g7 b3b6,-48
rnbqk1nr/pp3ppp/2p1p3/3p4/1b1PPB2/2N2N2/PPP2PPP/R2QKB1R b KQkq -,d5e4 f3d2 g8f6 c3e2 b8d7 c2c3 b4e7 g2g3 e8h8 f1g2,-87
r1b1k1nr/pppp1ppp/1bn5/8/4P2q/1NN3P1/PPP2P1P/R1BQKB1R b KQkq -,h4h6 c1h6 g8h6 a2a4 c6a5 b3d2 d7d6 f1e2 a5c6 c3d5,856
8/8/8/8/8/3K1Q2/8/6k1 b - -,h4h6 c1h6 g8h6 a2a4 c6a5 b3d2 d7d6 f1e2 a5c6 c3d5,Mate
r1bqkb1r/ppp2ppp/2n1pn2/3p4/3P1B2/2P2P2/PP1NP1PP/R2QKBNR b KQkq -,f6h5 f4g3 e6e5 g3f2 e5d4 c3d4 f8d6 e2e3 e8h8 g2g4,-94
rnbqkb1r/pp3ppp/4pn2/2pP4/2PP4/5N2/PP3PPP/RNBQKB1R b KQkq -,h7h6 d5e6 c5d4 e6f7 e8f7 d1d4 f8b4 b1c3 b8c6 d4d8,165
r1bqkbnr/pppppppp/2n5/8/8/P6P/1PPPPPP1/RNBQKBNR b KQkq -,g8f6 d2d4 d7d5 g1f3 c8f5 e2e3 e7e6 c2c4 f8e7 b2b4,36
r1bqk2r/pppp1ppp/2nb1n2/1B2p3/2P5/1P2P3/PB1P1PPP/RN1QK1NR b KQkq -,a7a6 b5c6 d7c6 d1c2 d8e7 g1e2 h7h5 b1c3 c8d7 f2f3,-75
6k1/4K3/6P1/8/8/8/8/8 b - -,g8g7 e7d7 g7f6 g6g7 f6g7 d7d6 g7f6 d6d5 f6f5 d5d4,Mate
r1bqkb1r/ppp3pp/2n2n2/3ppp2/8/1P2P1P1/PBPPNPBP/RN1QK2R b KQkq -,c8e6 d2d4 e5e4 h2h4 e6f7 e2f4 a7a5 b2a3 f8a3 b1a3,-80
rnbqkb1r/ppp1pppp/5n2/3p4/8/P4N1P/1PPPPPP1/RNBQKB1R b KQkq -,c7c5 e2e3 b8c6 d2d4 c5d4 e3d4 c8f5 c2c4 e7e6 c4c5,-22
r1bqk2r/pppnppbp/3p1np1/8/3P1B2/2P1P2P/PP2BPP1/RN1QK1NR b KQkq -,b7b6 g1f3 e8h8 a2a4 a7a6 e1h1 f8e8 b1a3 c8b7 a3c4,23
rnb1k1nr/ppp2ppp/8/2b5/3N4/4B3/PPP2PPP/RN2KB1R b KQkq -,c5b6 b1c3 g8f6 e1a1 f6g4 e3f4 e8h8 f4g3 b8c6 d4c6,90
rn1qkb1r/ppp2ppp/4pn2/3p1bB1/3P4/2PBP3/PP3PPP/RN1QK1NR b KQkq -,f8e7 d3f5 e6f5 g5f6 e7f6 d1b3 b7b6 g1e2 a7a5 b1d2,33
