8/6Kp/6p1/5p2/5P1k/8/6P1/8 b - -,d7d5 f1e2 g8e7 e4d5 e6d5 d3d4 e8h8 e1h1 c8f5 f3h4,Mate
rr4k1/4qp2/3pb2p/p1p1p1p1/2PnP3/1P1B1P2/P2Q1BPP/RR4K1 b - -,b8b4 d2d1 g8g7 f2e1 h6h5 e1d2 b4b7 d1c1 g7g6 d2e3,-56
5k2/5P2/3n2K1/3p4/3N4/8/8/8 b - -,,0
2b1k3/pp3p1B/n1p5/6p1/3N2Qb/2P3n1/PP4P1/RNB1K1R1 b - -,c8g4 d4f3 f7f5 f3h4 g5h4 c1e3 e8f7 e3a7 a6c7 b1d2,617
8/1p6/8/p1p1kp2/P1B4p/1PP2p2/5K2/8 b - -,,0
8/3k1pp1/8/2K4p/pP6/P7/5PPP/8 b - -,h5h4 b4b5 f7f5 c5b6 g7g5 b6a6 d7c7 a6a7 c7d6 b5b6,551
3rr1k1/1pq2pp1/p1n2n1p/8/P1B5/B3PP2/2Q2PRP/2R3K1 b - -,e8e7 a3e7 c7e7 g1h1 c6e5 c4e2 b7b5 a4b5 a6b5 c2c5,295
5rk1/ppp2pp1/3rp2p/5n2/P1P1R3/1R5P/3Q2P1/7K b - -,d6d2 e4e1 b7b6 a4a5 d2d8 b3b1 f5d4 a5b6 a7b6 c4c5,-650
r1b1kbnr/pppp1ppp/2n5/4P3/N4B2/P7/1qP1PPPP/R2QKBNR b KQkq -,b2d4 d1d4 c6d4 e1d2 d4e6 f4g3 b7b6 g1f3 c8b7 e2e3,-63
r2q1r1k/pb2bppB/1p2p3/4P3/3N1B2/P7/2Q2PPP/R4RK1 b - -,d8d4 f4g3 f8c8 c2b1 c8c3 f1d1 d4a4 h7d3 a8d8 d3f1,-234
r1b1kbnr/1pp2ppp/p1n5/3p4/B3Q1N1/2P5/PP1P1PPP/RNB1K2R b KQkq -,e8d8 e4d5 f8d6 d5f7 g8e7 a4c6 b7c6 g4e3 e7g6 f7g7,766
8/8/8/8/5p2/5k2/r7/1R3K2 b - -,f3g3 b1b8 a2a1 f1e2 f4f3 e2e3 a1a3 e3d4 f3f2 b8g8,-671
r4rk1/1pp2p1p/p2p1N2/8/1Q1P4/5P1q/PP2KP1P/R6R b - -,g8h8 d4d5 a8e8 f6e8 f8e8 e2d2 h3h6 f3f4 f7f6 a1e1,514
r3r1k1/ppp2pp1/3p1q1p/8/1n1P2Q1/1Pn2N1P/P2B1PP1/R3R1K1 b - -,b4d5 d2c3 d5c3 g4d7 e8e1 a1e1 f6d8 d7f5 c7c6 a2a4,-147
5k2/5n2/5K2/3p4/3N4/8/8/8 b - -,,0
r4r1k/pb2bppB/1p2p3/4P3/3q4/P5B1/2Q2PPP/R4RK1 b - -,f8c8 c2b1 c8c3 f1d1 d4a4 h7d3 a8d8 d3f1 a4d1 b1d1,-252
r2qkb1r/1pp2ppp/2n1pn2/p1Pp1b2/3P1B2/PQ3N2/1P2PPPP/RN2KB1R b KQkq -,a8b8 h2h3 f6e4 b1c3 g7g5 f4h2 f8g7 e2e3 h7h5 c3b5,46
r1bqr1k1/ppp2ppp/2n2N2/3p4/2BP4/5N1P/PP3PP1/R2QR1K1 b - -,g8h8 e1e8 d8e8 f6e8 d5c4 e8c7 a8b8 d4d5 c8f5 d5c6,915
r2q1rk1/pb1n1ppp/2p1p3/3nP3/1p6/1B1Q1N2/PP3PPP/R1B2RK1 b - -,f7f5 e5f6 d7c5 d3c2 c5b3 f3g5 d5f6 c2b3 d8d5 g5e6,63
r3kb1r/pp1b1ppp/2n1p3/3pP3/3P1BPq/N7/PP2BP1P/R2QK2R b KQkq -,f8b4 e1f1 h7h5 a3b5 a8c8 h1g1 a7a6 b5d6 b4d6 e5d6,-91
rn1qk2r/pQ2bppp/2p2p2/3p1b2/2PP4/2N5/PP2PPPP/R3KBNR b KQkq -,g7g6 c4d5 f5c8 b7a8 d8b6 e1a1 e8h8 e2e4 c8d7 c3a4,195
8/5p2/6p1/8/R2pk3/1P2b1PK/5r2/3R4 b - -,f7f5 g3g4 f5f4 b3b4 g6g5 a4a7 e4f3 a7d7 f2b2 d7d4,-253
8/7p/3b4/8/4k1p1/6PN/6K1/8 b - -,g4h3 g2h3 d6c5 g3g4 h7h6 h3g2 e4e3 g2g3 e3e2 g3g2,-64
r1b1kbnr/1pp2ppp/p1n5/4N3/B3p3/2P5/PP1P1PPP/RNB1K2R b KQkq -,b7b5 a4b5 a6b5 e5c6 c8d7 c6b4 f8b4 c3b4 g8e7 b1c3,-46
2rq1rk1/1n2bppp/1p1p4/pB1Pp2n/1P2P3/P2NBP2/6PP/R2Q1RK1 b - -,f7f5 b5c6 d8c7 e4f5 b7d8 c6b5 d8f7 a1c1 c7b8 b5d7,229
6k1/pp1q1rpp/1bp1Rn2/3p4/1P1P4/2N3QP/P4PP1/4R1K1 b - -,h7h5 g3e3 b6d8 e6e5 d7d6 a2a3 d8c7 g2g3 h5h4 e5e6,226
r2qk1nr/ppp1b1pp/2npBpb1/8/3NP1P1/2N1B2P/PPP2P2/R2QK2R b KQkq -,c6d4 d1d4 g8h6 e3h6 g7h6 e1a1 c7c6 f2f4 d8a5 c1b1,295
r1b1kbnr/pppp1ppp/2n5/4P3/N2Q1B2/P7/2P1PPPP/R3KBNR b KQkq -,c6d4 e1d2 d4e6 f4g3 b7b6 e2e3 h7h5 g1f3 c8b7 h2h3,-76
r1bq1bnr/1ppk2pp/p1P5/1B2p2Q/4p3/2N5/PPP2PPP/R1B1K2R b KQ -,d7d6 c3e4 d6e6 b5c4 d8d5 c4d5 e6d5 h5f7 d5c6 f7f8,1044
8/6p1/1p1p4/p1pPp2p/P1P1P1k1/1P4Pb/5K2/7R b - -,g7g5 h1h2 h5h4 g3h4 g4h4 f2e3 g5g4 h2f2 g4g3 f2f6,535
8/8/6K1/5p1p/5Pk1/6P1/8/8 b - -,g7g5 h1h2 h5h4 g3h4 g4h4 f2e3 g5g4 h2f2 g4g3 f2f6,Mate
rn1qkb1r/p2b1ppp/1p2pn2/1Bpp4/3P1B2/1QP1PN2/PP3PPP/RN2K2R b KQkq -,c5c4 b5d7 b8d7 b3c2 b6b5 e1h1 d7b6 f4g5 f8e7 b1d2,-27
2kr3r/1bp1q3/1p2pn2/p1P2pp1/P4P1p/2PBP3/4QBPP/2R2RK1 b - -,h4h3 g2g3 e7c5 e3e4 c5c6 f4g5 d8d3 g5f6 c6c4 f1e1,-460
r5k1/1N3pb1/p1n1b1pp/4p3/4P3/1P2nN2/PB2B1PP/2R3K1 b - -,c6d4 e2d3 e6d7 h2h3 d4f3 g2f3 d7h3 c1c6 a6a5 b2c1,32
