8/6Kp/6p1/5p2/5P1k/8/6P1/8 b - -,d7d5 f1e2 g8e7 e4d5 e6d5 d3d4 e8h8 e1h1 c8f5 f3h4,Mate
4r3/pkp2p2/5p2/8/1P3P1p/2P3bP/P1bBp1P1/4R1K1 b - -,e8e6 f2f3 f6h5 e2c2 f7f5 a2a3 b4e7 c4a5 b7d5 b3b4,Mate
3q1rk1/Qp1bppbp/3p1np1/8/1pPP4/1P3NP1/3NPPBP/5RK1 b - -,f8e8 a7b7 d8a5 f3e1 d7c8 b7a8 a5b6 e2e3 c8g4 a8c6,84
3q1r1k/n2nbBpp/2b5/2ppP2Q/p4B1P/P1rPN1P1/5P2/R3R1K1 b - -,h7h6 e5e6 d7f6 h5g6 a7c8 e3f5 f8g8 f4e5 d5d4 e5f6,372
r1bqr1k1/pp3ppp/2nbpn2/3pN3/2pP4/1PPBP1B1/P2N1PPP/R2QK2R b KQ -,c4d3 e1h1 d6f8 g3h4 f8e7 e5d3 b7b6 c3c4 c8b7 a1c1,-400
8/5p2/4b2p/8/5k1P/1r6/1PKR1PB1/8 b - -,b3b6 c2c3 b6b3 c3d4 f4g4 d4c5 g4h4 g2c6 h6h5 c6a4,10
8/8/8/R2kp2r/8/4K3/8/8 b - -,,0
4q1k1/p4p2/1p2r3/2p1b1Q1/P5P1/2P3N1/1P4P1/5RK1 b - -,,0
r4r2/ppq3kp/2n3p1/4pp2/8/P3Q3/1PP1NPPP/3R1RK1 b - -,,0
5rkn/p7/5B2/1pqP2QP/2p1P3/8/2P3P1/1R5K b - -,b7b6 c2c4 a8d8 d1d5 d8d5 c4d5 c6d8 e3b3 f8f7 f1c1,Mate
3r2k1/Rp4bp/3Nb1p1/2B1pp2/1PP5/7P/5PP1/6K1 b - -,b7b6 a7e7 b6c5 e7e6 c5b4 c4c5 b4b3 d6c4 e5e4 e6b6,-273
8/5pk1/3r2p1/4Q2p/8/1P1r3P/P5P1/R5K1 b - -,g7h7 a1f1 d6d7 e5e8 h7g7 b3b4 d7a7 b4b5 f7f5 b5b6,707
r1bq1rk1/p1n1bp2/1pp1p1p1/3pP2p/2PP4/P1P1QN2/5PPP/RBB2RK1 b - -,c8a6 e3h6 d8d7 f3g5 e7g5 c1g5 f7f5 e5f6 d7h7 h6g6,381
2N2k1r/1p3p2/p4b2/4N2p/4P3/3P2p1/PP3PB1/R1B1QK1R b - -,f6e5 f2f4 e5f6 f1e2 a6a5 e4e5 f6d8 e2f3 h5h4 e1e4,1743
Nk6/7b/B1N3p1/8/8/8/8/6K1 b - -,b8a8 a6d3 h7g8 d3e4 g8h7 c6e7 a8a7 e4d3 a7a8 g1f2,285
r2qk2r/ppp2ppp/2nbpnb1/3p4/3PP3/P2B1N2/1PPNQPPP/R1B1K2R b KQkq -,d5e4 d2e4 f6e4 d3e4 g6e4 e2e4 d8f6 d4d5 c6e5 f3e5,11
8/2P2p2/R3r3/2P3kp/8/8/P2p2PK/8 b - -,d2d1q c7c8q d1d4 a6e6 d4f4 h2g1 f4d4 g1f1 f7e6 c8g8,97
R7/8/4k3/4p2r/8/4K3/8/8 b - -,,0
rnb1kb1r/ppp1pppp/1q3n2/8/3P4/2N1B3/PPPQ1PPP/R3KBNR b KQkq -,b6a5 a2a3 e7e6 e1a1 a7a6 c1b1 b7b5 d4d5 f8d6 e3d4,77
rn1qkb1r/pp3pp1/2p1pn1p/3p1b2/3P3N/2N1P3/PPP1BPPP/R1BQ1RK1 b kq -,f5h7 h4f3 b8d7 e2d3 f6e4 f3d2 d7f6 f2f3 e4c3 b2c3,-27
rn3rk1/p1p2pp1/b4n1p/3pp3/p6P/P2P1B2/3KP3/6q1 b - -,f5h7 h4f3 b8d7 e2d3 f6e4 f3d2 d7f6 f2f3 e4c3 b2c3,Mate
r3k2r/p3nppp/2p1p3/q2pP3/1b1P4/P1N1BP2/1PQ2P1P/R3K2R b KQkq -,a8b8 e3d2 a5a6 a1c1 b4c3 d2c3 e7f5 c2e2 a6a4 e2d1,-124
3b4/1R6/8/1Pk5/4p3/3R1p2/2K5/8 b - -,e4d3 c2d3 d8b6 b7f7 c5b5 f7f3 b5c5 f3f5 c5d6 d3c4,10
8/5p2/4b2p/8/1r3k1P/2K5/1P1R1PB1/8 b - -,b4b8 d2d4 f4e5 b2b4 b8b6 f2f4 e5f6 g2f1 f6g6 f1e2,171
8/8/p1p5/2P3p1/4pk2/5r2/PPK2B2/5R2 b - -,f4f5 f1g1 f3f2 c2c3 f5f4 a2a4 e4e3 g1e1 g5g4 b2b4,-513
1Q6/5pk1/8/4p1p1/6P1/2q3NK/1p5P/8 b - -,,0
rn2kbnr/pp1q1ppp/4p3/2p5/N2pP3/1P3N2/P1PP1PPP/R1BQK2R b KQkq -,b8c6 a2a3 f8d6 e1h1 g8f6 f1e1 e6e5 a4b2 e8h8 a3a4,-39
8/8/P6p/2N5/3P2k1/4P3/6K1/8 b - -,d7c7 e1h1 b8c6 d1e2 f8e7 a4b2 g8f6 a2a4 e8h8 f3e1,Mate
7q/p2kbp2/4p1p1/1Q1pPn2/5B2/P4P2/1PP2P2/1K6 b - -,,0
8/1p5p/p3pk2/6p1/P3P1P1/1P3K1P/2Pr4/2R5 b - -,d2d6 f3e3 f6e5 c2c3 d6c6 c3c4 c6b6 c1c3 a6a5 c3d3,20
2rr1k2/5ppQ/bp1qpbBp/p3N3/3P4/P6P/1P3PP1/3RR1K1 b - -,f6e5 e1e5 d6e5 d4e5 d8d1 g1h2 f7g6 h7g6 a6c4 f2f3,-384
r3k1nr/2b2ppp/p1p1p3/1ppqP2b/8/3PBN1P/PPPNQPP1/R4RK1 b kq -,a8d8 a2a4 b5b4 e3g5 g8e7 g5e7 e8e7 e2e3 h7h6 b2b3,103
4R3/8/4k3/4p3/7r/4K3/8/8 b - -,,0
4q1k1/p4p2/1p4r1/2p1b3/P5PQ/2P3N1/1P4P1/5RK1 b - -,,0
8/pb5p/8/2P1p1k1/3pP3/P2B4/1B1b2KP/8 b - -,g5f4 g2f2 b7c6 f2e2 d2e3 b2a1 h7h5 a1b2 c6a4 d3a6,-380
2r3k1/1rq2pp1/Q1p1p2p/3p4/3P4/1P5P/P1P2PP1/3RR1K1 b - -,b7a7 a6d3 a7a2 d1a1 a2a1 e1a1 c6c5 d4c5 c7c5 a1a2,-6
8/1p5p/p3p3/4k1p1/PP2P1P1/5K1P/2Pr4/2R5 b - -,d2d4 c2c4 d4d3 f3g2 d3a3 a4a5 a3b3 c4c5 e5f4 c5c6,-15
8/pp1n2Pk/3n4/3PNP2/b2P2P1/P2P1P1P/1r2P2P/4KB1R b - -,d7f6 e1f2 b7b5 f1g2 f6d5 h1c1 h7g7 f3f4 d5f4 g2f3,438
5rk1/Qpqbppbp/3p1np1/8/1pPP4/1P3NP1/3NPPBP/R5K1 b - -,e7e5 a7a5 c7a5 a1a5 f8d8 d4e5 d6e5 f3e5 d7f5 d2f1,88
r4rk1/pp2ppbp/2p2np1/8/3P1B2/1P2PN2/1PR2PPP/R5K1 b - -,f8d8 a1a5 f6d5 f4g3 e7e6 g1f1 f7f6 e3e4 d5b4 c2c4,-15
k7/7b/2N3p1/8/8/3B4/8/6K1 b - -,h7g8 d3e4 g8h7 c6e7 a8a7 e4d3 a7b8 g1f2 b8a7 f2f3,297
3R4/8/8/3kp3/7r/4K3/8/8 b - -,,0
8/1p5p/p3p3/4k1p1/PPPrP1P1/5K1P/8/2R5 b - -,d4d3 f3g2 d3a3 c4c5 a3a2 g2f3 a2a4 c5c6 a4a3 f3g2,-8
4q1k1/p4p2/1p4r1/2p5/P5P1/2P3Q1/1P4P1/5RK1 b - -,,0
r7/pp3k2/2p1Rpp1/3p4/1P1P4/P4P1P/5P2/R5K1 b - -,f7e6 a1e1 e6d7 g1g2 a7a5 f3f4 a5b4 a3b4 a8a2 f4f5,-95
rnbq1rk1/ppp1p1bp/5np1/3p1p2/3P4/1P4PN/PBPNPPBP/R2QK2R b KQ -,f6e4 c2c4 b8c6 c4d5 d8d5 e1h1 c6d4 h3f4 d5d6 d2c4,46
3q3k/n2nbQpp/2b5/2ppP3/p4B1P/P1rPN1P1/5P2/R3R1K1 b - -,a7c8 e3f5 d8f8 e5e6 d7f6 f7f8 e7f8 e6e7 c8e7 f5e7,303
2N2k1r/1p3N2/p7/7p/4P2b/3P2p1/PP3PB1/R1B1QK1R b - -,a7c8 e3f5 d8f8 e5e6 d7f6 f7f8 e7f8 e6e7 c8e7 f5e7,Mate
r2qk2r/ppp2ppp/2nbpnb1/8/3PN3/P2B1N2/1PP1QPPP/R1B1K2R b KQkq -,d6e7 e4f6 e7f6 d3g6 h7g6 c2c3 d8d5 c1f4 e8a8 f4g3,3
1r6/3r1pkp/p7/1pp5/3bR1N1/1P5P/P4PPK/4R3 b - -,f7f5 g4e5 f5e4 e5d7 b8b7 d7c5 d4c5 e1e4 c5f2 g2g3,-321
8/pp4Pk/3n1n2/3PNPP1/b2P4/P2P1P1P/1r2P2P/4KB1R b - -,f6d5 f5f6 a4b3 e1f2 d5c3 f2g3 d6f5 g3f4 f5d4 e2e3,435
rn2kbnr/ppp2ppp/3q4/3ppb2/3P4/1PP3PP/P3PPB1/RNBQK1NR b KQkq -,f5b1 a1b1 e5e4 h3h4 g8f6 g1h3 b8c6 b3b4 h7h6 h3f4,45
8/5R2/4Pk2/p2P2p1/1p2p3/4P3/3r4/6K1 b - -,f6g6 f7f8 d2d5 e6e7 d5e5 e7e8q e5e8 f8e8 b4b3 e8b8,Mate
rn1qkbnr/pp2pppp/8/2pP1b2/5P2/2N5/PPPP2PP/R1BQKBNR b KQkq -,g8f6 f1b5 b8d7 g1f3 a7a6 b5d7 f5d7 f3e5 b7b5 d2d3,95
8/8/6p1/8/7p/5BbP/2rp1kP1/3R3K b - -,g8f6 f1b5 b8d7 g1f3 a7a6 b5d7 f5d7 f3e5 b7b5 d2d3,Mate
r7/pp3k2/2R2pp1/3p4/1P1r4/P1P2P1P/5P2/R5K1 b - -,d4d1 a1d1 b7c6 g1f1 a7a5 d1d3 f7e6 f1e2 a5b4 c3b4,4
6k1/p4p2/1p4r1/2p5/P3qQP1/2P5/1P4P1/5RK1 b - -,,0
k5r1/p1p4p/6rp/2p1p3/PbPpN3/1P1P2P1/4RP1P/2R3K1 b - -,a8b7 c1f1 g8f8 g1g2 b7a6 f2f3 h6h5 e4f2 f8f5 f3f4,25
rnbqk2r/1p3pp1/p3pn1p/3p4/2pP2P1/2P1P3/PPBN1PP1/R2QK1NR b KQkq -,e8e7 d1f3 c8d7 f3g3 d7c6 f2f3 d8d6 g3d6 e7d6 e3e4,113
r3k2r/1pq1bppp/p4n2/4PbB1/8/2P3P1/PPn1Q1BP/RN3KNR b kq -,f6g4 b1a3 e7a3 h2h3 g4e5 g5f4 e8a8 f4e5 a3d6 e2f3,-523
4r3/pkp2p2/5p2/8/1P3P1p/2P4P/P1b1p1P1/4B1K1 b - -,c2b1 a2a3 b1d3 g1f2 b7a8 a3a4 d3c2 a4a5 c2d3 g2g3,-675
r4rk1/p3nppp/2p1p3/q2pP3/1b1P4/P1N1BP2/1PQ2P1P/2KR3R b - -,b4c3 c2c3 a5a6 c3d3 a6b7 d1d2 a7a5 c1b1 f8b8 h1c1,-110
8/pp4Pk/3n1P2/3nN1P1/b2P4/P2P1P1P/1r2P2P/4KB1R b - -,a4b3 e1f2 b7b5 h3h4 d5c3 f2g3 d6f5 g3f4 f5g7 g5g6,481
rn3rk1/p4pp1/b4n1p/2ppp3/p6P/P2P1B2/2K1P3/6q1 b - -,a4b3 e1f2 b7b5 h3h4 d5c3 f2g3 d6f5 g3f4 f5g7 g5g6,Mate
r1b2r2/1p1nq1kp/2p1pnp1/p2p1p2/2PP4/P2BPN2/1PQN1PPP/R4RK1 b - -,f6e4 h2h4 a5a4 a1c1 h7h6 g2g3 g6g5 d3e2 e4d6 h4g5,64
6k1/p4p2/1p2q1r1/2p3P1/P4Q2/2P5/1P4P1/5RK1 b - -,,0
r2q1r2/2p2p1k/p1pp2pp/4P3/8/nPN2PQP/2P3P1/2R2RK1 b - -,a3b5 c3e4 b5d4 f1f2 d4f5 g3h2 a6a5 c1e1 f8e8 e4f6,-6
2k3rr/nppbqp2/p2p1n2/4p1p1/PPB1P2p/2PP1P1P/3N2P1/R2QRNK1 b - -,g5g4 f3g4 f6g4 h3g4 d7g4 d2f3 e7f6 e1e3 a7c6 f1h2,115
2r2k2/2R2pbp/p3Nnp1/1p1p4/3P1B2/3B4/PP3PPP/6K1 b - -,f8e8 e6g7 e8d8 c7f7 c8c6 f4g5 d8c8 f7f6 c6f6 g5f6,Mate
3q1r2/1bn1ppkp/3p1np1/1ppP4/r3P3/2P1Q1NP/1P1N1PP1/3RRBK1 b - -,a4a2 b2b3 f6d7 d2f3 f7f6 b3b4 d8a8 b4c5 d7c5 f3d4,110
2r3k1/1r2qpp1/p1p1p2p/Q2p4/3P4/1P5P/P1P2PP1/3RR1K1 b - -,e7c7 a5a6 b7a7 a6d3 a7a2 e1e3 c7a7 e3g3 c6c5 d3d2,-15
8/8/8/1p2p3/p3P1k1/P1pP4/2P2K2/8 b - -,b5b4 f2e2 b4a3 d3d4 a3a2 d4e5 a2a1q e5e6 a1c1 e2d3,-1917
r3k2r/pp1b1n1p/2n1p3/3pPpp1/5P2/P1P2NP1/1P3K1P/RN3B1R b kq -,h7h5 b1d2 h5h4 f1e2 h4h3 a1c1 e8e7 c3c4 g5f4 g3f4,53
r5k1/pp3ppp/3Bb3/8/3P4/1P6/P1r2PPP/R3R1K1 b - -,,0
r1b2r2/1p1nq1kp/2p1p1p1/p2p1p2/2PPn3/P2BP3/1PQN1PPP/R3NRK1 b - -,e4d2 c2d2 d5c4 d3c4 e6e5 e1d3 e5e4 d3f4 d7f6 h2h4,39
r4rk1/p3nppp/2p1p3/q2pP3/3P4/P1Q1BP2/1P3P1P/2KR3R b - -,a5a6 c3d3 a6b7 c1b1 f8b8 d3c2 b7a6 d1d3 b8b5 h1d1,-108
1r6/3N2kp/p7/1pp5/3bp3/1P5P/P4PPK/4R3 b - -,b8b7 d7c5 d4c5 e1e4 c5f2 g2g3 f2c5 e4e5 c5d6 e5e6,-324
8/p2r2p1/1b2kp1p/4p3/1B4PP/1P3P2/P1R3K1/8 b - -,f6f5 g4f5 e6f5 b4e1 h6h5 e1f2 b6f2 g2f2 g7g5 h4g5,-12
r1b1r1k1/pp3pbp/2p3p1/q2n4/2QN4/1P2PB2/PB3PPP/3R1RK1 b - -,a5a2 f3d5 c6d5 c4b5 c8d7 b5d7 a2b2 d7b7 g7d4 d1d4,7
6k1/p3qp2/1p4r1/2p3P1/P4Q2/2P2R2/1P4P1/6K1 b - -,,0
2r2knr/1pp1qppp/2n5/p3p3/PbPPQ2P/3B1N2/5PP1/RNBK3R b - -,c8d8 d4e5 f7f6 e5e6 d8d6 c4c5 d6e6 e4c4 g8h6 b1c3,476
r1b2rk1/1p2qp1p/p1pn2p1/8/PP1PN3/4P3/2QN1PPP/1R3RK1 b - -,d6e4 c2e4 e7e4 d2e4 c8f5 f2f3 f7f6 g1f2 f5e4 f3e4,38
8/ppQ1kpp1/8/2b5/7R/5PK1/PPr4P/8 b - -,e7f6 h4f4 f6e6 c7f7 e6d6 f7g6 d6d5 g6c2 d5c6 g3g4,Mate
r2q1r2/2p2p1k/p1pp2pp/1n2P3/4N3/1P3PQP/2P3P1/2R2RK1 b - -,,0
r4rk1/3nbppp/pq1p4/1p1Pp3/5P1P/1N4P1/PPPQ4/2K1RB1R b - -,a6a5 f4e5 d7e5 b3d4 e7f6 d4b5 f8e8 e1e4 e5d7 e4e8,-47
r1bqr1k1/p1n1bp2/1pp1p1B1/3pP2p/2PP4/P1P1QN2/5PPP/R1B2RK1 b - -,e7f8 g6h5 f7f5 e5f6 d8f6 f3e5 e8e7 e3g3 e7g7 e5g4,518
8/8/6p1/8/6Bp/4k1bP/2rp2P1/3R3K b - -,e7f8 g6h5 f7f5 e5f6 d8f6 f3e5 e8e7 e3g3 e7g7 e5g4,Mate
2rr1k2/5NpQ/bp1qpb1p/p7/3P4/P6P/1PB2PP1/3RR1K1 b - -,a6d3 d1d3 f8f7 c2b3 d8h8 e1e6 h8h7 e6d6 f7e7 d6b6,384
8/6bk/p2p2p1/PQ6/4p3/8/2K1P3/8 b - -,g7e5 b5a6 d6d5 a6b7 h7h8 a5a6 e5d4 b7d5 d4g1 d5e5,911
8/K7/8/6pk/7p/2R5/8/8 b - -,g5g4 c3c5 h5g6 a7b6 g4g3 c5c2 g6f5 b6a5 f5g4 a5a4,-476
8/pp4Pk/3n1P2/3nN1P1/3P3P/Pb1P1P2/1r2P2P/4KB1R b - -,b2c2 e1f2 h7g8 e5g6 d6b5 f1h3 b5d4 h1e1 g8f7 g6e5,521
r3k2r/ppp1qpp1/2p1bn2/2b4p/4P3/2PPB2P/PP2BPP1/RN1QK2R b KQkq -,c5b6 d1c1 e8a8 a2a4 b6e3 c1e3 c6c5 a4a5 a7a6 b1d2,146
6k1/p3qp2/1p6/P1p3r1/5Q2/2P2R2/1P4P1/6K1 b - -,,0
r1bq1rk1/1p1nbppp/2n1p3/2ppP3/p6P/3P1NP1/PPP2PB1/R1BQRNK1 b - -,a4a3 b2a3 d8c7 c2c4 d5c4 d3c4 d7e5 f3e5 c6e5 c1f4,-34
r1bqk1nr/1pp2ppp/1pnp4/4p1B1/4P3/3P1N2/PPP2PPP/R2QKB1R b KQkq -,g8e7 d3d4 h7h6 g5e3 d6d5 f3e5 d5e4 e5c6 b7c6 d1d2,-16
6r1/pp2p2b/2p2k1p/2p2p2/5P1N/1PbP1KP1/P1P1R2P/5R2 b - -,g8g7 h2h3 h7g8 g3g4 g8d5 f3g3 e7e6 h4g2 b7b5 g2e3,227
8/4b3/6k1/8/3Bb3/6K1/4B3/8 b - -,,0
3r2k1/pp3ppp/4b3/4B3/3P4/1P6/P1r2PPP/R3R1K1 b - -,,0
r2qkb1r/ppp1pppp/5n2/3p3b/1n1P4/4PN1P/PPP1BPP1/RNBQ1RK1 b kq -,a7a5 c2c4 e7e6 a2a3 b4c6 d1b3 a8b8 b3b5 f8e7 c4d5,68
2N2k1N/1p2b3/p7/7p/4P3/3P2p1/PP3PB1/R1B1QK1R b - -,a7a5 c2c4 e7e6 a2a3 b4c6 d1b3 a8b8 b3b5 f8e7 c4d5,Mate
8/6bk/P2p2p1/1p6/4p3/8/2K1P3/8 b - -,g7d4 c2b3 g6g5 b3b4 g5g4 b4b5 d4c5 b5c6 g4g3 c6d5,-907
2R5/K7/6k1/8/6pp/8/8/8 b - -,g6g5 c8g8 g5f4 g8f8 f4g3 a7b8 g3h3 f8f1 g4g3 f1h1,-689
r4rk1/1p2qp1p/p1pn2p1/2Q2b2/PP1PN3/4P3/3N1PPP/1R3RK1 b - -,f8d8 e4d6 f5b1 d6f7 e7f7 f1b1 a6a5 d2e4 f7e6 f2f3,103
r3r2k/p4pp1/2p5/3B2PP/2bP3R/2N5/P4PK1/2B5 b - -,c6d5 h4h1 e8e6 c1f4 a8e8 h1b1 e6b6 b1h1 b6b2 g2g3,-63
b3N1k1/6bp/5pp1/2B1p3/1P6/7P/5PP1/6K1 b - -,,0
2kr1b1r/pp1nq3/n3ppP1/1N1P2p1/3p2P1/3B4/PP2Q2P/R1B2RK1 b - -,a6c5 d5d6 e7g7 b2b4 a7a6 b4c5 a6b5 c1a3 d7e5 a1b1,243
r3k2r/pp1bnn1p/4p3/3pPpp1/3N1P2/P1P3P1/1P3K1P/RN3B1R b kq -,h7h5 h2h4 g5h4 g3h4 f7h6 b1d2 h8g8 f1e2 h6g4 f2f3,43
rn3rk1/p4pp1/b4n1p/3pp3/p1p4P/P2PPB2/2K5/6q1 b - -,h7h5 h2h4 g5h4 g3h4 f7h6 b1d2 h8g8 f1e2 h6g4 f2f3,Mate
8/ppQ2pp1/4k3/2b5/4R3/5PK1/PPr4P/8 b - -,e6d5 c7f7 d5c6 e4e6 c5d6 e6d6 c6d6 f7g6 d6c7 g6c2,Mate
r3r1k1/pppq1ppp/2n2b2/4p3/1P6/P2PB1P1/3NPPKP/1R1Q1R2 b - -,c6d4 d2e4 f6e7 e3d4 e5d4 d1b3 c7c6 f1c1 a7a6 c1c4,-17
rn2kbnr/ppp2ppp/3q4/3ppb2/3P2P1/1P5P/P1P1PPB1/RNBQK1NR b KQkq -,f5d7 c1a3 d6e6 a3f8 e8f8 c2c4 e5d4 d1d4 b8c6 c4d5,84
8/p2r2p1/5p1p/3kp3/1B1b2PP/1P3P2/P1R3K1/8 b - -,g7g6 b4e1 f6f5 g4f5 g6f5 e1f2 d7d6 h4h5 f5f4 c2c7,-13
8/p3qpk1/1P6/2p3r1/5Q2/2P2R2/1P4P1/6K1 b - -,,0
8/6bk/3p2p1/Pp6/4p3/4P3/2K5/8 b - -,g7h6 c2d2 b5b4 a5a6 b4b3 a6a7 h6e3 d2e3 b3b2 e3d2,-653
3r4/3k4/2b1n1p1/1p1p4/2pP2R1/7P/1P3BK1/rB2R3 b - -,d8f8 f2g3 g6g5 h3h4 g5h4 g4h4 f8f7 e1h1 b5b4 h4h7,-26
8/8/6p1/8/5k1p/6bP/1r1p2P1/3R1BK1 b - -,f4e3 f1a6 b2b6 a6c4 b6c6 c4d5 c6c1 d5f3 e3d3 g1f1,-1486
r4rk1/3nbppp/pq1p4/Np1Pp3/7P/6P1/PPPQ1P2/2K1RB1R b - -,a8e8 a5c6 f7f5 f2f3 d7b8 c6b8 e8b8 f1d3 b6d4 d2e2,-14
8/4b3/6k1/3b4/8/4B1K1/4B3/8 b - -,,0
r2qk2r/p1p2ppp/2pbpn2/3p4/3P4/1PN1PQ1P/PBP2PP1/2KR3R b kq -,e8h8 g2g4 a7a5 a2a4 d8e7 h3h4 e6e5 d4e5 d6e5 g4g5,43
4r1k1/p2N1ppp/1p3n2/8/8/4PP2/PP3P1P/3R2K1 b - -,e8e7 d7b8 g7g6 d1c1 g8g7 g1f1 f6d5 c1c8 e7b7 b8a6,138
8/6k1/3r1pp1/7p/8/1P1r3P/P3Q1P1/R5K1 b - -,d6d7 a1e1 g7h6 e2e8 d3d6 h3h4 d7d8 e8e7 d6d1 g1h2,688
k5b1/8/2N3p1/8/4B3/8/8/6K1 b - -,a8b7 c6e7 b7c7 e7g8 c7d6 g1g2 g6g5 g2f3 d6e5 e4g6,400
8/pp4Pk/3n1P2/3nN1PP/3P4/Pb1P1P2/2r1P2P/4KB1R b - -,d5f6 g5f6 d6e8 e5g4 c2c1 e1f2 a7a5 h1g1 b7b5 d4d5,615
2N2k2/1p2b3/p5N1/8/4P2p/3P2p1/PP3PB1/R1B1QK1R b - -,d5f6 g5f6 d6e8 e5g4 c2c1 e1f2 a7a5 h1g1 b7b5 d4d5,Mate
r4rk1/p3nppp/2p1p3/3pP3/3P4/P1P1BP2/5P1P/2KR3R b - -,e7c8 h1g1 g8h8 c1c2 c8b6 e3g5 f8e8 d1b1 a8b8 a3a4,-118
r1b1r1k1/pp3pp1/2pqnn1p/3p4/3P4/2NBP2P/PPQ1NPP1/1R2R1K1 b - -,h6h5 e2g3 c8d7 b1d1 a8c8 g3f5 d6f8 f5h4 c6c5 h4f3,35
r3k2r/pp1b1n1p/4p1n1/3pPpp1/3N1P2/P1P1K1P1/1P5P/RN3B1R b kq -,h7h5 f1e2 h5h4 b1d2 e8e7 c3c4 d5c4 d2c4 f7h6 c4d6,13
3Rbk2/8/r5p1/3Bn3/8/8/3B1PK1/8 b - -,g6g5 d2b4 f8g7 d8e8 e5g4 e8e7 g7f6 e7b7 f6e5 d5c4,379
1Q1k3q/p3bp2/4p1p1/3pPn2/5B2/P4P2/1PP2P2/1K6 b - -,d8d7 b8h8 g6g5 f4d2 f5d6 h8a8 d6c4 a8b7 d7d8 b1a2,613
rn1q1rk1/pbpp2pp/1p2pb2/8/2PPN3/3B1N2/PP3PPP/R2Q1RK1 b - -,g8h8 a1c1 b8c6 d3b1 c6e7 c1c3 b7e4 b1e4 a8b8 c3a3,75
2r3k1/2r2pp1/p6p/2ppR3/3P4/1P5P/P4PP1/3R2K1 b - -,c7d7 d4c5 c8c5 g1f1 d7d6 f1e2 d6e6 e5e3 g8f8 d1d3,12
8/7k/3p2pb/Pp6/4p3/4P3/3K4/8 b - -,b5b4 a5a6 b4b3 a6a7 h6e3 d2e3 b3b2 a7a8q b2b1q e3d2,-734
8/p1b1k1pp/1p2pp2/3n4/3P1PN1/6P1/PP1BK2P/8 b - -,e7d6 g4f2 c7d8 f2e4 d6d7 e2d3 d7c6 a2a4 f6f5 e4c3,-36
r1bq1rk1/p1n1b3/1pp1p2B/3pP2Q/2PP4/P1P2N2/5PPP/R4RK1 b - -,f8f7 h5g6 g8h8 g6f7 c7e8 f1e1 d8d7 e1e3 e7a3 f7g6,Mate
7R/K7/6k1/8/6p1/7p/8/8 b - -,,0
2kr3r/ppp2ppp/2p1bq2/2b5/4Pn2/2NBB3/PPPQ1PPP/R4RK1 b - -,f4g2 e3c5 g2f4 d2e3 f6g5 e3g3 f4h3 g1h1 g5c5 f2f4,122
5Q2/4k1p1/6P1/5K2/8/8/8/8 b - -,e7f8 f5f4 f8e8 f4e4 e8e7 e4e5 e7d7 e5d5 d7e7,Mate
r1b1r1k1/pp3pbp/2p3p1/q2n4/3N4/1P2PB2/PB3PPP/2QR1RK1 b - -,d5f6 c1a1 a5g5 d4e2 h7h5 d1d6 f6e4 f3e4 g7b2 a1b2,53
8/8/4K1k1/5r2/8/8/1Q6/8 b - -,d5f6 c1a1 a5g5 d4e2 h7h5 d1d6 f6e4 f3e4 g7b2 a1b2,Mate
8/p2r2p1/5p1p/8/3bk1PP/1P6/P1RB2K1/8 b - -,e4d3 c2c4 d3d2 g2f3 d2d3 c4c1 d7e7 h4h5 e7e3 f3f4,-503
8/4b3/4b1k1/8/8/4B3/4BK2/8 b - -,,0
k5r1/p1p4p/1r5p/2p1p3/PbPpN3/1P1P2P1/4RP1P/5RK1 b - -,a8b7 a4a5 b6a6 e2a2 h6h5 f2f4 e5f4 f1f4 a6h6 f4f7,115
2r5/2P4p/4p3/4k1p1/6P1/7P/6K1/4R3 b - -,e5d6 e1d1 d6c7 g2g3 c8d8 d1a1 c7d6 a1a7 d8d7 a7a5,-4
r2r2k1/1p2qp1p/p1pN2p1/2Q2b2/PP1P4/4P3/3N1PPP/1R3RK1 b - -,f5b1 d6f7 e7f7 f1b1 a6a5 d2e4 d8f8 h2h3 f7e6 e4g5,108
r3r1k1/1bp2p1p/6p1/p7/1bNBn3/1P5P/P1R2PP1/R2B2K1 b - -,b4e7 d1g4 a5a4 b3a4 f7f5 g4d1 a8a4 c2c1 a4a6 a2a4,14
4k3/4b3/3n4/7B/pp6/2r1B1P1/P4PK1/8 b - -,e8f8 h5g6 d6c4 e3h6 f8g8 g6e4 a4a3 e4b1 e7f6 g2h3,-503
7Q/p2kbp2/4p1p1/3pPn2/5B2/P4P2/1PP2P2/1K6 b - -,e7h4 h8b8 h4d8 b8b7 d7e8 f4d2 g6g5 d2b4 f5d4 b7c8,633
8/ppQ2pp1/8/2bkR3/8/5PK1/PPr4P/8 b - -,d5d4 e5e4 d4d5 c7f7 d5c6 e4e6 c5d6 e6d6 c6d6 f7g6,Mate
8/pp4Pk/3n1P2/4N2P/3P4/Pb1P1P2/2r1P2P/4KB1R b - -,a7a5 h1g1 d6e8 e5g4 c2c1 e1f2 b7b5 d4d5 b3d5 d3d4,635
8/8/6p1/8/7p/4kBbP/3p2P1/2rR2K1 b - -,a7a5 h1g1 d6e8 e5g4 c2c1 e1f2 b7b5 d4d5 b3d5 d3d4,Mate
