rn1qkbnr/pp3ppp/4p3/1BppPb2/8/2N2N2/PPPP1PPP/R1BQK2R b KQkq -,d8d7 b5d7 b8d7 c3b5 a8b8 h2h3 a7a6 b5d6 f8d6 e5d6,812
rnbqk1nr/pp3ppp/2pb4/3p4/3P4/8/PPP1BPPP/RNBQK1NR b KQkq -,g8f6 g1f3 e8h8 e1h1 f8e8 c2c4 h7h6 b1c3 d5c4 e2c4,-79
8/8/8/1k6/4R3/4K3/8/8 b - -,c8f5 e2d3 f5d3 d1d3 g8f6 d3e3 d6e7 g1f3 d8c7 e1h1,Mate
3R4/8/8/2k5/8/3K4/8/8 b - -,c8f5 e2d3 f5d3 d1d3 g8f6 d3e3 d6e7 g1f3 d8c7 e1h1,Mate
r1bqk1nr/ppppbppp/2n5/8/7P/6Q1/PPP1PPP1/RNB1KBNR b KQkq -,g8f6 c1g5 c6b4 g3b3 a7a5 g5f6 e7f6 a2a3 b4a6 b3e3,-97
7k/4R3/7P/1r4PK/8/8/8/8 b - -,e7f6 c1g5 c6d4 g3d3 d4e6 b1c3 d7d6 g5f6 g8f6 e2e4,Mate
r1bqkbnr/pp3ppp/2n1p3/2p1P3/2Bp1P2/P4N2/1PPP2PP/RNBQK2R b KQkq -,g8e7 e1h1 e7d5 d2d3 f8e7 d1e2 e8h8 c4b3 f7f5 c2c4,-44
rnbqkb1r/ppp3pp/3p1n2/4pp2/2P1P3/2NP1N2/PP3PPP/R1BQKB1R b KQkq -,c7c6 f1e2 b8a6 e4f5 c8f5 e1h1 f8e7 d3d4 e8h8 d4e5,37
r1bqk1nr/pppp1ppp/8/8/1BPn4/8/PP2PPPP/RN1QKB1R b KQkq -,d4f5 e2e4 f5e7 b4c3 g8f6 c3f6 g7f6 b1c3 e7g6 d1d4,287
rnbqkbnr/pppp1ppp/8/8/4Pp2/5N2/PPPP2PP/R1BQKB1R b KQkq -,d7d5 e4d5 f8d6 d2d4 c7c6 f1d3 c6d5 e1h1 b8c6 c2c4,-779
rnbqk2r/ppp2ppp/4pn2/3p4/1b1P4/2P1PN2/PP1N1PPP/R1BQKB1R b KQkq -,a7a5 c3b4 a5b4 b2b3 b7b6 c1b2 d8d6 f3e5 e8h8 f1d3,366
3k4/4Q3/8/4K3/8/8/8/8 b - -,,0
r2qkb1r/pp2pppp/2n2n2/2pp1b2/3P4/1P2PN2/PBPN1PPP/R2QKB1R b KQkq -,a7a6 d4c5 e7e6 f3d4 f8c5 d4f5 e6f5 d1f3 d8e7 f3f5,31
8/r5k1/3K4/4Q3/8/8/8/8 b - -,a7a6 d4c5 e7e6 f3d4 f8c5 d4f5 e6f5 d1f3 d8e7 f3f5,Mate
r1b1kb1r/pp3ppp/1qn1p2n/2PpP3/8/P1P2N2/1P3PPP/RNBQKB1R b KQkq -,f8c5 f3d4 h6f5 b2b4 c5d4 c3d4 b6d4 d1d4 c6d4 a1a2,-303
r1bqkb1r/pp1ppppp/2n2n2/8/3P4/2P2N2/PP3PPP/RNBQKB1R b KQkq -,b7b6 d4d5 c6a5 f1e2 g7g6 e1h1 f8g7 c1f4 e8h8 c3c4,59
r1bqkb1r/pppp1pp1/2n4p/8/2BNn3/8/PPP2PPP/RNBQR1K1 b kq -,d8e7 d4f5 e7e5 c4d5 e5f5 d5e4 f5e6 e4d5 f8e7 d5e6,800
rnbqk1nr/pppp1ppp/8/2b5/2P1p3/1N6/PP1PPPPP/RNBQKB1R b KQkq -,c5e7 b1c3 g8f6 d2d3 e4d3 e2e4 b8c6 f1d3 d7d6 h2h3,92
rnbqk2r/ppp1ppbp/1n4p1/8/3PP3/2NB1N2/PP3PPP/R1BQK2R b KQkq -,a7a6 h2h3 e8h8 d3e2 f7f5 d1b3 e7e6 c1g5 d8e8 e4f5,113
8/1K1k4/4n3/4Q3/8/8/8/8 b - -,a7a6 h2h3 e8h8 d3e2 f7f5 d1b3 e7e6 c1g5 d8e8 e4f5,Mate
r2qkb1r/pp2pppp/2n2n2/2Pp4/2P3b1/2N1PN2/PP3PPP/R1BQKB1R b KQkq -,g4e6 f3g5 g7g6 c4d5 e6d5 e3e4 d5e6 c1e3 e6d7 f1c4,268
r1bqk2r/ppp1bppp/2n2n2/3pp1B1/4P3/3P1N2/PPPNBPPP/R2QK2R b KQkq -,c8e6 c2c3 e8h8 g5h4 f6h5 h4e7 d8e7 g2g3 d5e4 d3e4,-70
2b5/1k6/8/2Q1K3/8/8/8/8 b - -,h7h6 g5h4 c8e6 c2c3 d8d6 e1h1 e8a8 h4g3 d5e4 d2e4,Mate
