8/8/2k5/1p1B1p2/1P6/7p/8/7K b - -,b5a5 c3b2 f5g4 b2c2 g4h5 c2d2 a5b6 d2c3 h5d1 c3b4,Mate
r1b4R/ppp2kpp/1b3n2/n3p1B1/P3P3/2P2N2/5PPP/RN4K1 b - -,h7h6 f3e5 f7e7 g5f6 g7f6 h8h7 e7d6 e5f7 d6c5 b1d2,326
r2qr1k1/1p1n1pp1/3p1bb1/pB1P3p/P7/1NP1B3/1P1Q1RPP/R5K1 b - -,,0
rnb1k2r/pp1p1ppp/4p3/q2BP3/8/2N2N2/PQ3PPP/R3K2R b KQkq -,e8h8 d5e4 b8c6 e4c6 d7c6 e1h1 c6c5 c3e4 h7h6 e4d6,308
r3r1k1/1p3ppp/2pb4/p2p1qn1/P4N2/2P1B2P/1PPQ1PP1/3R1RK1 b - -,e8e4 f2f3 e4f4 e3f4 d6f4 d2d3 f5d3 d1d3 g5e6 g1f2,-404
8/4k3/7R/8/Q3K3/8/8/8 b - -,e8e4 f2f3 e4f4 e3f4 d6f4 d2d3 f5d3 d1d3 g5e6 g1f2,Mate
rnbqk1nr/2p1p1bp/3p4/5P2/p2N4/3P1NP1/PPP2PBP/R1BQ1RK1 b kq -,a8a6 d1e2 g7d4 f3d4 h7h5 c1g5 h5h4 h2h3 c7c5 d4e6,528
2r2rk1/p2qbppp/1p2b3/4p3/1PN5/P1pP2P1/4PPBP/R1RQ2K1 b - -,e7f6 d1c2 b6b5 c4a5 c8c7 a3a4 a7a6 a4b5 a6b5 a1a3,-161
r1b1k2r/2q1bppp/ppnppn2/8/2P1PP2/1NNBB3/PP4PP/2RQ1RK1 b kq -,c7b8 d1f3 c8d7 g1h1 e8h8 g2g4 d7c8 f3h3 c8b7 e3b6,185
2b5/5ppp/1P6/3p3P/k2P1P2/6P1/3K4/8 b - -,a4b5 f4f5 b5b6 f5f6 g7f6 h5h6 b6b5 d2c3 c8d7 c3b3,-727
1r2k2N/ppp2ppp/2n1p3/3P3n/3P3q/N1P1bP2/PPQ2RBP/R5K1 b - -,c6d8 d5e6 d8e6 a1e1 e3f2 c2f2 h4f2 g1f2 e8e7 g2f1,182
6k1/5p1p/p7/3R2p1/4np2/b6P/1r3PPB/2N3K1 b - -,b2b1 d5d1 a6a5 h3h4 a5a4 h4g5 b1c1 d1f1 e4c3 f1c1,-898
2r3k1/pQ3p1p/5pp1/3P4/4Bb2/5N1q/PP3P2/4R1K1 b - -,,0
r4rk1/p1qRp1bp/1pP3p1/1B2npQ1/5B2/8/bPP3PP/2K3NR b - -,c7c8 f4e5 g7e5 b2b3 e5f6 g5e3 g8h8 c6c7 f5f4 e3d3,173
2n2rk1/p1RR1p1p/2N1pp2/4r3/1p2P3/1P5P/5PP1/6K1 b - -,e5c5 c6e7 c8e7 c7c5 e7g6 d7a7 g6f4 c5c4 h7h5 c4b4,365
r1bqk2r/pp2bppp/1nnp4/2pP4/2P5/P1N5/1P2NPPP/RBBQK2R b KQkq -,c6e5 b2b3 f7f5 e1h1 e7f6 a3a4 c8d7 a1a2 e8h8 c1d2,102
rnbqk1nr/2p1p1bp/3p4/5P2/3N4/P2P1NP1/P1P2PBP/R1BQ1RK1 b kq -,c7c5 d4e6 c8e6 f5e6 g8f6 f3h4 d6d5 h4f5 e8h8 c1h6,550
8/8/8/1p1k4/1P6/8/8/4K3 b - -,c7c5 d4e6 c8e6 f5e6 g8f6 f3h4 d6d5 h4f5 e8h8 c1h6,Mate
r4rk1/p1pqb3/5p2/3p2p1/2pPP2p/PPNb3P/5PPB/R1QR2K1 b - -,d5e4 b3c4 d7d4 c3d5 e7c5 a1a2 f8f7 g1h1 a8b8 h2c7,-139
rn1qkbnr/pb1ppppp/1p6/4P3/1B6/8/P1PP1PPP/RN1QKBNR b KQkq -,b8c6 b4c3 e7e6 g1f3 a8c8 d2d4 c6b4 a2a3 b7f3 g2f3,-88
r5k1/1p3ppp/2pb4/p2p1qn1/P3r3/2PNB2P/1PPQ1PP1/3R1RK1 b - -,g5h3 g1h1 f5h5 f2f3 h3g5 h1g1 h5h2 g1f2 d6g3 f2e2,-832
1r2r1k1/p1pb1ppp/Q2b4/3p4/P2P3q/2P1P3/1P2B1PP/R1BK3R b - -,h4f2 h1f1 f2g2 e2f3 g2h2 a6e2 h2e2 d1e2 d7e6 b2b4,-176
2b5/5ppp/1P6/1k1p1P1P/3P4/6P1/3K4/8 b - -,b5b6 d2e2 b6b5 e2d3 b5b4 d3c2 b4c4 g3g4 c4d4 c2d2,-782
2r3k1/pQ3p1p/5pp1/3P4/4Bb2/5N1q/PP2KP2/4R3 b - -,c8f8 b7c6 g8g7 f3g1 h3g4 e4f3 g4f5 e2f1 f8c8 c6a4,222
r1bq3r/pp1nbkpB/4pn2/6N1/3p4/8/PPP2PPP/R1BQ1RK1 b - -,f7f8 g5e6 f8f7 e6d8 e7d8 h7d3 d7b6 c1f4 b6d5 f4g3,500
r5k1/1p3ppp/2pb4/p2p1q2/P3r3/2PNB2P/1PPQ1P2/3R1RK1 b - -,f7f8 g5e6 f8f7 e6d8 e7d8 h7d3 d7b6 c1f4 b6d5 f4g3,Mate
2kr1b1r/p1ppq1p1/b1p4p/4p3/1nP4P/1P3NP1/PB2QP2/R3KB1R b KQ -,e5e4 f3e5 d7d5 e1a1 e7e8 a2a3 f8d6 f2f4 b4d3 e5d3,30
4r1k1/p1pq1p1p/1rn2p2/3p1b2/3P4/P1Q2N2/1PP1BPPP/R3K2R b KQ -,c6d8 e1d1 d8e6 h1e1 c7c5 e2d3 c5d4 c3d2 f5d3 d2d3,-71
1r1qk2N/ppp2ppp/2n1p3/3P3n/3P4/NQP2P2/PP3KBP/R7 b - -,d8d5 b3d5 e6d5 a3b5 h5f4 f2g3 f4h5 g3h4 h5f4 g2f1,146
6k1/5p1p/p7/6p1/4np2/b6P/5PPB/1rNR2K1 b - -,b1c1 d1c1 a3c1 g1f1 e4c3 g2g3 f4f3 g3g4 a6a5 f1e1,-1053
rqbbr1k1/4npp1/p1p1p2p/P1ppP2P/2P2B2/1P1P4/3N1PPN/R2QR1K1 b - -,a8a7 g2g4 f7f6 d2f3 g7g5 f4e3 d5d4 e5f6 d4e3 e1e3,97
r1bqk2r/pp2bppp/1n1p4/2pPn3/2P5/PPN5/4NPPP/RBBQK2R b KQkq -,f7f5 a3a4 a8b8 e1h1 e8h8 f2f4 e5g4 h2h3 g4h6 g1h2,90
2n2rk1/p1RR1p1p/1rN1pp2/8/1p2P3/1P5P/5PP1/6K1 b - -,g8g7 c6d8 f8d8 d7d8 c8d6 f2f3 d6b5 c7c8 e6e5 d8g8,297
3r1r1k/3P2pp/5b2/4pq2/1Q6/1P6/P1R1N3/1K1R4 b - -,f8f7 e2g3 f5f3 b4e1 f7d7 d1d7 d8d7 c2c8 d7d8 c8d8,-64
4r1k1/pQpb1ppp/3b4/3p4/P2P3q/2P1P3/1P2B1PP/R1BK3R b - -,h4e4 h1f1 e4g2 c1d2 d7g4 f1e1 g4f5 c3c4 f5e4 b7b5,310
3rr1k1/1b2qppp/1pn2n2/p1pp4/P7/1PBPPNP1/5PBP/2RQ1RK1 b - -,c6b4 c3b4 a5b4 d1c2 f6d7 f1d1 h7h6 c2b2 d8c8 f3h4,-61
1r5k/p1pp2q1/b1p1p2p/4P1p1/Q1P2p2/b1B2N1P/PN2B1P1/2KR3R b - -,a3b2 c3b2 a6c8 a4a7 b8b4 a7c7 g7f8 b2a3 b4b7 a3f8,1093
5K2/8/6k1/1p1p4/8/1P6/2P5/8 b - -,g6f6 f8e8 f6e6 e8d8 e6d6 d8c8 d6c5 c8b7 c5b4 b7b6,-9605
8/8/7R/4QK2/8/1k6/8/8 b - -,b5b4 f8e7 g6f5 e7d6 f5e4 d6c5 e4e5 c5b4 e5d4 c2c4,Mate
8/2P2Rpk/2rN3p/4P3/1K1p2bP/8/8/8 b - -,h6h5 d6e4 h7g6 b4b5 c6c2 f7e7 d4d3 e5e6 d3d2 e4d2,16
2b5/5p1p/1k5p/3p1P2/3P2P1/8/3K4/8 b - -,b6b5 d2c3 f7f6 c3b3 c8d7 b3c3 b5a4 c3c2 a4b4 c2d3,-1014
r4rk1/ppp2ppp/2n2qb1/8/2BP4/P4NNP/1P1Q1P2/R4RK1 b - -,f6f3 d4d5 c6e5 c4e2 a8d8 f1d1 g6e4 g3e4 f3e4 d2e3,-163
r2q1rk1/p1p5/5p2/2pp1bp1/1b1P3p/2N1P2P/PP3PPB/R1Q2RK1 b - -,c5c4 b2b3 f5d3 f1d1 g8g7 b3c4 d5c4 c3a4 d8d5 h2c7,-18
5rk1/pb2bpp1/1p2pn1p/2q1N3/1PPr3B/3B4/P3QPPP/3RR1K1 b - -,c5d6 h4g3 f6e4 d3e4 d4e4 e2e4 d6d1 e5g6 d1d8 e4b7,28
R7/8/2k5/8/8/4K3/8/6Q1 b - -,c5d6 h4g3 f6e4 d3e4 d4e4 e2e4 d6d1 e5g6 d1d8 e4b7,Mate
r3kb1r/ppq1nppp/2n1p3/1BPpP3/6b1/2P1BN2/PP1N1PPP/R2QK2R b KQkq -,g4h5 e1h1 e7f5 d1e1 f8e7 h2h3 h5g6 b2b4 a7a5 d2b3,120
3r1r1k/ppp1n3/2nbBp2/3N2p1/4P3/4B1P1/PPP2P2/R2R2K1 b - -,e7d5 e4d5 c6e5 g1g2 h8g7 b2b3 e5g6 c2c4 b7b6 a2a3,190
4rk2/pp2np1p/2pr2p1/3pBp2/5P2/1P1P1B2/P5PP/1N2R1K1 b - -,e7c8 e5g7 f8g7 e1e8 c8b6 g1f2 d6e6 e8d8 e6e7 d8b8,278
2r3k1/1p1bqppp/pb1p1nn1/3P4/PP1N4/1QNRP2P/4B1P1/2R3K1 b - -,b6d4 e3d4 g6f4 g1h2 f4d3 e2d3 e7e3 c3e2 f6g4 h3g4,-344
R7/1pk4Q/p1pb2p1/3p4/8/1n6/q4PPP/5RK1 b - -,c7b6 h7g6 d6b4 g6b1 a2a4 b1c2 c6c5 f1d1 c5c4 d1d5,Mate
1r4k1/2p1q1p1/3bbr1p/1p1B1p2/1P1P4/2P2N2/Q4PP1/2K1R2R b - -,g8h7 e1e6 f6e6 d5e6 e7f6 a2d5 b8f8 h1e1 g7g5 c1b2,485
5r2/2p5/2p5/N1kp3p/4bP1R/7P/PPP1B3/2KR4 b - -,c5b6 a5b3 e4f5 d1g1 f5c8 h4h5 f8f4 h5h8 c8e6 h8a8,705
rnbqk2r/pp3ppp/3b1n2/2pp2B1/3P4/5NP1/PPP2PBP/RN1QK2R b KQkq -,d8e7 d1e2 e7e2 e1e2 c5d4 g5f6 g7f6 f3d4 b8c6 d4b5,24
r1bN2kr/pp1nb1p1/5nB1/8/3p4/8/PPP2PPP/R1BQ1RK1 b - -,d7e5 d8f7 e5f7 d1d4 c8e6 f1e1 a8d8 d4e3 d8d6 e3e6,598
