6B1/8/1q6/8/1k6/8/1B6/1K6 b - -,f7h5 g4c4 b5b8 f2f5 h7h6 b4b5 h5e8 c4a4 g5d8 f5e5,Mate
r2q1rk1/pp1nppbp/2pp1np1/6B1/3PP3/2N2B1P/PPPQ1PP1/R4RK1 b - -,a7a6 a2a4 b7b5 a4b5 a6b5 e4e5 a8a1 f1a1 d6e5 f3c6,59
1B1q1rk1/p4ppp/1p2bnn1/2pP4/4P3/8/PP2BPPP/R2QK2R b KQ -,e6g4 e2g4 d8b8 e1h1 f6e4 f1e1 e4f6 g4f5 g6h4 f5h3,292
8/7R/4bk2/8/5p1p/6p1/1P4K1/8 b - -,h4h3 g2f3 e6d5 f3f4 g3g2 h7h6 f6e7 f4e5 g2g1q h6h7,-1045
rn1q1rk1/pp3pbp/2p2np1/4p3/4P1b1/2N2NPP/PPP2PB1/R1BQ1RK1 b - -,g4e6 d1d8 f8d8 f3e5 b8a6 e5d3 f6d7 c1g5 d8e8 f1e1,82
r4rk1/2PR1ppp/8/8/1n1Pp3/1N6/p5PP/2R3K1 b - -,f8e8 g1f1 f7f5 c1d1 b4d3 d1a1 e4e3 f1e2 d3f4 e2f3,-96
6RN/ppk5/2p5/4n1P1/8/1P3P2/PP5P/6K1 b - -,e5f3 g1h1 f3h4 g5g6 c7b6 g8f8 h4g6 h8g6 c6c5 f8f1,869
2rq1rk1/1p2bpp1/p1npbn1p/4p3/2P1P3/2N1BP2/PPN1B1PP/R2Q1RK1 b - -,f6h5 g2g3 e6h3 f1f2 f7f5 e4f5 h3f5 f3f4 e5f4 e2h5,52
r3kb1r/2q2ppp/p1p2n2/2ppN2b/Q2P4/2N1P2P/PP3PP1/R1B2RK1 b kq -,a8c8 f2f4 h7h6 e3e4 f8d6 g2g4 e8h8 g4h5 f8e8 c1d2,121
2r4k/6pp/pq6/1p6/1P6/P3PP2/1Q4PP/3R2K1 b - -,b6c7 d1d5 h7h6 d5c5 c7d7 b2d4 d7e6 d4c3 c8d8 c5c7,305
rn2kb1r/ppp2ppp/3qpn2/8/3P4/2N1BP2/PPPQBP1P/R3K2R b KQkq -,f6d5 e1a1 d5c3 d2c3 b8c6 f3f4 d6b4 c3d3 e8a8 c2c3,32
