rn1qkb1r/pp2ppp1/2p2n1p/3p1b2/3P1B2/P1N2N1P/1PP1PPP1/R2QKB1R b KQkq -,g7g5 f4h2 b8d7 e2e3 f8g7 f1d3 f6e4 f3d2 e4c3 b2c3,54
rn1qkbnr/pQ2pppp/2p5/3p4/2P5/4P3/PP1P1PBP/RNB1K2R b KQkq -,g8f6 b7a8 a7a6 b1c3 e7e6 d2d4 d8c7 c1d2 f8d6 a1c1,682
r2qkb1r/pp1nnppp/2p1p3/3pPb2/3P4/2PB1N2/PP3PPP/RNBQ1RK1 b kq -,a8c8 d3e2 c6c5 d4c5 d7c5 c1e3 a7a6 b1d2 f5g6 f3d4,30
8/8/8/4K3/3Q4/4nk2/8/8 b - -,a8c8 d3e2 c6c5 d4c5 d7c5 c1e3 a7a6 b1d2 f5g6 f3d4,Mate
rnbqk2r/pp1pppbp/5np1/8/3NPP2/2N5/PPP3PP/R1BQKB1R b KQkq -,a7a6 e4e5 f6g8 c1e3 d7d6 f1c4 d6e5 d4f3 b8c6 d1d8,105
rnbqkb1r/1pp1ppp1/p4n1p/3p4/3P4/5NP1/PPP1PPBP/RNBQ1RK1 b kq -,g7g6 c2c4 c7c6 c4d5 c6d5 b1c3 f8g7 f3e5 e8h8 c1f4,77
rnbqkbnr/1p3ppp/p1p1p3/3P4/3P4/2N1P3/PP3PPP/R1BQKBNR b KQkq -,g8f6 d5e6 c8e6 f1e2 f8b4 g1f3 c6c5 a2a3 b4c3 b2c3,154
rnbqkbnr/pp3ppp/4p3/1B6/3N4/2N5/PPP2PPP/R1BQK2R b KQkq -,e8e7 d4f5 e6f5 c3d5 d8d5 d1d5 e7f6 d5d8 f8e7 d8c8,1337
q1r1k2r/1b3pp1/p3p3/P1b5/1pN1P2p/3BBPP1/1P2Q1P1/R4R1K b - -,h4g3 h1g1 e8e7 e2d2 c5e3 f1f2 e3d2 c4b6 g3f2 g1f1,-2335
r1bqkbnr/pp3p1p/2np2p1/2p1p3/4P3/3P1NP1/PPPN1PBP/R1BQK2R b KQkq -,g8e7 a2a3 a7a5 a3a4 f8g7 d2c4 e8h8 e1h1 h7h6 c4e3,-43
rnbqkb1r/pp3ppp/4pn2/2pp4/3P4/1P2P3/PBPN1PPP/R2QKBNR b KQkq -,c5d4 e3d4 f8d6 g1f3 b8c6 f1d3 e8h8 e1h1 b7b6 f1e1,35
7q/1b2kpp1/p3p3/P1b5/1pN1P3/3BBPp1/1P4P1/R3QRK1 b - -,c5d4 e3d4 f8d6 g1f3 b8c6 f1d3 e8h8 e1h1 b7b6 f1e1,Mate
rnbqkbnr/pp1ppp1p/6p1/2pP4/5B2/8/PPP1PPPP/RN1QKBNR b KQkq -,f8g7 b1c3 b7b5 d5d6 c8b7 a2a4 a7a6 a4b5 e7e5 f4g3,69
r1b1kbnr/pp1p1ppp/1qn1p3/8/3P1B2/1PP5/P4PPP/RN1QKBNR b KQkq -,f8e7 g1f3 g8f6 f1d3 e8h8 h2h3 b6d8 e1h1 b7b6 a2a3,69
rn1qk2r/ppp1ppb1/3p1npp/5b2/2PP3B/2N1PN2/PP3PPP/R2QKB1R b KQkq -,f6e4 f1d3 e4c3 b2c3 f5d3 d1d3 b8d7 e1h1 g6g5 h4g3,66
rnbqk2r/pp3ppp/2p5/2bnp3/8/2N1PNP1/PP1P1PBP/R1BQK2R b KQkq -,c8g4 d1a4 g4f3 g2f3 d5b6 a4c2 e8h8 e1h1 b8d7 f1d1,73
rn1qkb1r/pp3pp1/4pn1p/2pp1b2/8/3P1NP1/PPPNPPBP/R1BQR1K1 b kq -,d8c7 e2e4 f5h7 e4d5 f6d5 f3e5 f8e7 g2d5 e6d5 d1f3,67
rn1qkb1r/pp2pppp/2p2n2/3p4/6b1/3P1NPP/PPP1PPB1/RNBQK2R b KQkq -,g4d7 e1h1 d7c8 f1e1 e7e6 c1d2 f8e7 e2e4 b7b5 c2c4,96
4r3/3K4/5k2/8/8/1Q6/8/8 b - -,e8e4 d7d6 f6f5 b3f3 e4f4 f3d3 f5f6 d3d5 f4f5 d5b3,721
rnbqkb1r/pp2pppp/2pp1n2/8/3P4/2P2N2/PP1NPPPP/R1BQKB1R b KQkq -,c8f5 f3h4 e7e6 g2g3 d6d5 h4f5 e6f5 d1b3 d8b6 f2f3,54
r1bqkb1r/1p1p1ppp/p1n1pn2/2p5/P3P3/2N2N2/1PPPBPPP/R1BQ1RK1 b kq -,d7d5 e4d5 e6d5 d2d4 h7h6 c1e3 c5d4 e3d4 c6d4 d1d4,-13
r1bqkbnr/1ppp2pp/p1n2p2/8/B2NP3/8/PPP2PPP/RNBQK2R b KQkq -,g8e7 a4b3 b7b6 b1c3 c8b7 d4c6 e7c6 c3d5 c6a5 c1f4,164
r1bqkbnr/1ppp2pp/p4p2/8/B2QP3/8/PPP2PPP/RNB1K2R b KQkq -,b7b6 b1c3 c8b7 d4d3 g8e7 c1e3 e7c6 e1a1 b6b5 a4b3,210
8/5N2/4k3/8/8/2Q1K3/8/8 b - -,b7b6 b1c3 c8b7 d4d3 g8e7 c1e3 e7c6 e1a1 b6b5 a4b3,Mate
rnbqkb1r/pppp2pp/8/4Pp2/2P1nB2/8/PP2PPPP/RN1QKBNR b KQkq -,g7g5 f4d2 b8c6 b1c3 c6e5 c3e4 f5e4 e2e3 f8g7 d1h5,34
2k5/8/b1Q5/4K3/8/8/8/8 b - -,g7g5 f4d2 b8c6 b1c3 c6e5 c3e4 f5e4 e2e3 f8g7 d1h5,Mate
8/8/4Q3/3K4/5rk1/8/8/8 b - -,g4f3 e6e5 f3g4 e5e2 g4g5 e2e4 f4f5 d5e6 f5f6 e6e5,52
rn1k1bnr/ppp3pp/4bp2/4p1B1/4P3/2N5/PPP2PPP/2KR1BNR b - -,e6d7 g5e3 f8b4 g1e2 g8e7 a2a3 b4a5 c3d5 e7d5 e4d5,107
rn1qkbnr/pp3ppp/4p3/2ppP3/3P1P2/3Q4/PPP1N1PP/RNB1K2R b KQkq -,b8c6 b1d2 g8h6 d2f3 d8b6 c2c3 c5d4 f3d4 c6d4 c3d4,-30
r1bqkb1r/ppppp1pp/2n5/3P1p2/2P1nB2/8/PP2PPPP/RN1QKBNR b KQkq -,c6b4 b1d2 b4a6 g1f3 e4d2 d1d2 a6c5 g2g3 e7e6 d5e6,92
rnbqkb1r/pppppp1p/5n2/8/4P1N1/8/PPPP1PPP/RNBQKB1R b KQkq -,e7e5 g4e5 d8e7 d2d4 d7d6 e5c4 e7e4 c4e3 b8c6 c2c3,268
