8/P7/8/8/2p3k1/5p2/3K4/8 b - -,c4c3 d2c3 f3f2 a7a8q f2f1q a8e4 g4g3 c3d2 f1f4 d2d3,Mate
5k2/1pR2p2/1P1r2pp/pR1pr3/P7/4P2P/5PP1/5K2 b - -,e5e7 g2g4 f8e8 c7c5 e7e6 c5c8 d6d8 c8d8 e8d8 b5d5,116
r2qk2r/1pp2ppp/p1p1bn2/4P1B1/4P3/2N5/PPP2PPP/R2QK2R b KQkq -,d8d1 a1d1 f6d7 f2f4 h7h6 g5h4 g7g5 f4g5 h6g5 h4g5,210
1n1r1rk1/pb2qppp/1p2p3/3pP3/1P1Pn3/P2BBP2/3N2PP/R2QR1K1 b - -,f7f5 e5f6 e4f6 d2b3 d8c8 e3d2 f8e8 a3a4 b8c6 b4b5,173
8/1p4k1/1p1p3p/4p3/3b2pP/2nq2B1/1Q3PPK/5R2 b - -,d3f1 b2c2 f1b1 c2d2 b6b5 h4h5 b1f5 d2b2 b5b4 b2b3,-921
8/P7/6k1/1K6/5R2/5p1P/8/5r2 b - -,g6g5 f4g4 g5f5 a7a8q f1b1 g4b4 b1b4 b5b4 f5f4 a8a7,1493
8/7k/2K5/P7/5R2/5p1P/8/5r2 b - -,,0
8/8/8/8/K3Q1k1/8/8/5q2 b - -,,0
rn1qkbnr/1p1b1ppp/4p3/P2pP3/2pP4/2P2N2/P4PPP/RNBQKB1R b KQkq -,d8a5 f1e2 d7a4 d1d2 b8c6 e1h1 b7b5 c1a3 f8e7 h2h4,-81
r1bq1rk1/1p2bpp1/2n2n1p/p2pp3/3P4/P1N2NPP/1P2PPB1/R1BQ1RK1 b - -,e5e4 f3e5 c8e6 f2f4 e4f3 e2f3 d8c7 g1h2 c6e5 d4e5,-65
1rb2r1k/p5pp/1p6/2pB1p2/8/P1P1P2P/1P1R1PP1/R5K1 b - -,g7g6 a1d1 h8g7 d5c4 b6b5 c4e2 b5b4 a3b4 c5b4 d1a1,260
r1b1qrk1/pp2p2p/2p2bp1/8/3PB3/6P1/PPPQP1NP/R3R1K1 b - -,a7a5 a1d1 e8d8 d2e3 a5a4 h2h4 d8d6 d4d5 d6e5 d5c6,53
r4rk1/pp2qpbp/3p4/Q1pP1bp1/2P1P3/2P2PP1/P5BP/1R1R2K1 b - -,f5c8 a5a3 g8h8 d1e1 g7e5 e1f1 f8g8 a3c1 e7f8 c1c2,-464
r4r1k/1b3p2/p3p3/1pnp4/5P1Q/PP2P3/2PN2PP/R5K1 b - -,h8g7 h4g5 g7h7 f4f5 f8g8 g5h5 h7g7 a1f1 e6e5 f5f6,676
rnbqkb1r/pppppppp/4Pn2/8/3P4/8/PPP2PPP/RNBQKBNR b KQkq -,a7a6 e6f7 e8f7 g1f3 e7e6 f1d3 c7c5 c2c3 c5d4 c3d4,138
r1bqk2r/pppp1ppp/3b1n2/1N6/4PB2/2NB4/PPP2PPP/R2QK2R b KQkq -,a7a6 b5d6 c7d6 f4d6 h7h5 d1e2 d8a5 e1a1 b7b5 h1e1,673
8/P7/1K4k1/8/5R2/5p1P/8/r7 b - -,f3f2 f4f2 a1b1 b6c7 b1c1 c7b8 c1b1 b8a8 b1b3 f2g2,507
5k2/1pR1rp2/1P1r2pp/pR1p4/P5P1/4P2P/5P2/5K2 b - -,f8e8 c7c5 e7e6 c5c8 d6d8 c8d8 e8d8 b5d5 d8e7 d5b5,104
8/7k/8/PK6/7P/5p2/3R4/5r2 b - -,,0
K7/P7/8/5k2/5p2/5R1P/8/1r6 b - -,,0
8/8/8/8/K4Qk1/8/8/8 b - -,,0
1n1r1rk1/pb2qppp/1p2p3/3pP3/1P1P4/P2BBP2/3Q2PP/R3R1K1 b - -,h7h6 d2f2 f7f5 e3d2 d8c8 b4b5 f8f7 f2g3 g8h7 g3f4,189
r1bq1rk1/p1p2ppp/1pn1pn2/3pN3/3P4/2PBP1P1/PP3PP1/RN1QK2R b KQ -,c6e5 d3h7 f6h7 d1h5 e5d3 e1d2 f7f6 h5h7 g8f7 h7d3,82
