8/P7/8/8/2p3k1/5p2/3K4/8 b - -,c4c3 d2c3 f3f2 a7a8q f2f1q a8e4 g4g3 c3d2 f1f4 d2d3,Mate
r4rk1/pp1nqpp1/2pbpn1p/3p4/2PP3N/1PNQP3/PB3PPP/2R2RK1 b - -,f8e8 g2g3 d6b4 f1d1 a7a5 c3a4 e8b8 c4c5 b7b5 c5b6,3
1r3rk1/p3nppp/2p5/3pPb2/2B2P2/Q1N1B1P1/PP4qP/2KR3R b - -,f8e8 g2g3 d6b4 f1d1 a7a5 c3a4 e8b8 c4c5 b7b5 c5b6,Mate
8/4b1k1/6pp/5p2/5P2/pB2PK1P/P7/8 b - -,,0
8/3Bp2p/8/2pPk1PP/2Pb4/P2K1pr1/5p2/5R2 b - -,g3g5 d3c2 e5f4 c2d3 g5g1 d7h3 f4g3 d3e4 g3h3 f1f2,-788
6k1/1p3pp1/7p/R4P2/P2b4/4r1PK/7P/8 b - -,e3a3 a5a8 g8h7 a8f8 f7f6 f8f7 b7b6 h3g4 d4g1 h2h4,-515
r2qk2r/ppp5/2n2n1p/1Bbp2p1/4b3/5NB1/PPP2PPP/RN1QK2R b KQkq -,e4f3 d1f3 d8e7 f3e2 e7e2 b5e2 e8a8 b1c3 d5d4 c3a4,-99
r1b3kr/p1ppR2p/1p1n3B/3P1pN1/4n3/2P5/P4PPP/3R2K1 b - -,,0
r3rk2/pppb1ppQ/3bpq1p/8/1n1PB3/5N2/PPPB1PPP/R3R1K1 b - -,a7a5 f3e5 f8e7 e4b7 a8b8 b7f3 d6e5 d4e5 f6g6 h7g6,230
8/5pkp/6p1/P7/8/6P1/4rPKP/R7 b - -,e2e8 g2f3 e8a8 a5a6 a8a7 f3e4 g7h6 e4d4 f7f5 d4c5,520
3R1b2/p4pkp/1p4p1/3P1p2/4bP2/8/PP1n2PP/K1R5 b - -,f8e7 d8d7 e7c5 d7a7 h7h6 g2g3 d2f3 c1c5 b6c5 d5d6,56
1r5k/7p/2p2p2/P7/1P2BK2/2P5/5PP1/R3NR2 b - -,b8a8 e4c6 a8a7 a5a6 h7h5 e1d3 h8h7 b4b5 h5h4 f1h1,1853
Q7/8/8/1K5k/8/7P/8/5r2 b - -,f1f7 a8g8 f7f5 b5c6 f5f4 g8e8 h5h4 e8h8 h4g3 h8e5,679
1r1r2k1/2q1bppp/1pppbn2/p3p3/P1P1P3/1PNRBQNP/2P2PP1/3R2K1 b - -,f6d7 g3f5 d7c5 d3d2 e7f8 h3h4 d8d7 h4h5 h7h6 g2g4,66
3r1rk1/p3ppbp/6p1/2p5/2b1P3/7P/PPP1N1P1/R1B1R1K1 b - -,c4e2 e1e2 d8d1 g1h2 f8d8 e4e5 d8d5 c2c4 d5e5 c1f4,-367
7k/6p1/p6p/P2K1Q2/8/6PP/2q5/8 b - -,c2f5 d5d4 h8h7 g3g4 f5f4 d4d3 h7g6 h3h4 f4c7 d3d4,-962
r1r3k1/ppp1bppp/2npbn2/1N4B1/3N4/3P4/PPP1BPPP/2KRR3 b - -,e6d7 e2f3 g8f8 d4c6 b7c6 b5d4 f6d5 h2h4 c8e8 g5e7,36
8/pp3k1p/3P2p1/2r5/8/2B5/P3N1PP/6K1 b - -,f7e6 c3b4 c5c4 a2a3 b7b6 g1f2 a7a5 b4c3 e6d6 f2e3,-21
8/8/P1K4k/7P/8/8/8/1r6 b - -,,0
8/1K6/6r1/7k/8/4R2P/8/8 b - -,,0
8/1b4pk/1P2p1n1/1q1pPp2/3P1P1p/1N3R1P/1Q4PK/8 b - -,b5b6 f3f2 b7c8 b3c5 b6c6 b2e2 h7h6 f2f1 c6a8 e2b2,489
8/8/8/2p5/1k5P/1P2p3/2K3P1/8 b - -,,0
1n6/2k5/4p2p/pBKbP1p1/1p5P/1P4P1/P4N2/8 b - -,d5b7 f2g4 g5h4 g3h4 b7e4 g4h6 e4b1 h4h5 b8d7 b5d7,468
r3k3/pp4pp/5p2/4n3/5P2/8/PP4PP/4R1K1 b - -,e8f7 f4e5 a8e8 g1f2 e8e5 e1c1 g7g5 b2b4 e5e7 a2a4,-110
8/8/8/2K5/7P/6k1/8/8 b - -,g3g4 c5c6 g4h4 c6c7 h4g3 c7b7 g3f3 b7a6 f3e3 a6b5,Mate
qnQ5/5pk1/3p2p1/Pp1Pp3/4P1Pp/4B2P/5P2/6K1 b - -,g6g5 c8c7 b5b4 c7d6 a8b7 d6e5 f7f6 e5d6 b7c8 e4e5,624
r1bqkbnr/ppp1ppp1/2np4/7p/3PP3/5NP1/PPP2P1P/RNBQKB1R b KQkq -,g7g6 h2h3 g8f6 b1c3 d6d5 e4e5 f6e4 c3e2 f7f6 f3h4,103
2r1r1k1/4n1p1/1p1pq2p/p1n1pp2/P1P1P3/BP2Q1P1/3N1P1P/3RR1K1 b - -,f5f4 g3f4 e5f4 e3e2 e7c6 a3c5 b6c5 d2f3 e6g4 g1h1,-72
r2qk2r/1b1nbppp/p3p3/2p1Pn2/Pp1p1PP1/3P1N2/1PP3BP/R1BNQRK1 b kq -,b7f3 g2f3 f5h4 f3e4 a8c8 b2b3 c5c4 d3c4 d7c5 d1b2,38
5r1k/7p/P1p2p2/8/1P2BK2/2P5/5PP1/R3NR2 b - -,b7f3 g2f3 f5h4 f3e4 a8c8 b2b3 c5c4 d3c4 d7c5 d1b2,Mate
5rk1/1b3ppp/p7/P7/B2p4/R2prP2/1P4PP/3R2K1 b - -,,0
4k3/6p1/1p1P4/p1p2p2/3b4/3K1P2/R7/8 b - -,e8d7 d3c4 d7d6 f3f4 d6c6 c4d3 c6d5 a2h2 c5c4 d3e2,-729
rnbq1rk1/ppp1ppbp/3p1np1/8/2P1P3/1P3N2/PB1PBPPP/RN1QK2R b KQ -,f6e4 b2g7 g8g7 d2d3 e4f6 d3d4 b8d7 b1c3 e7e5 h2h4,-96
8/8/8/2p5/1k5P/1P6/3Kp1P1/8 b - -,,0
8/2k5/2P5/7P/8/5Kp1/8/8 b - -,b4b3 d2e2 c5c4 h4h5 c4c3 h5h6 c3c2 h6h7 c2c1q h7h8q,Mate
r1b1r3/bp3kpp/p1pp1n2/q3p3/4P3/1QPP1N2/P2N1PPP/R1B2RK1 b - -,d6d5 c1a3 f7g8 a3d6 c8e6 b3b7 a5c3 d6e5 c3d3 e5f6,54
2k2r1r/Bp1bn1p1/4p2p/3pn2P/5PP1/P6R/2PKN3/R4B2 b - -,e5c4 d2e1 b7b6 a1b1 c8b7 a7b6 c4b6 h3c3 f8b8 e2d4,-232
1r1rn1k1/2q1bppp/1pppb3/p3pN2/P1P1P3/1PNRBQ1P/2P2PP1/3R2K1 b - -,e7f8 g2g4 f7f6 f3g2 d8d7 f2f4 g7g6 f5g3 e5f4 e3f4,94
4r1k1/rp2bppp/1Pp1pn2/p1Pp4/3P1B2/P1N1P3/5PPP/R4RK1 b - -,f6d7 b6a7 e8a8 a1b1 a8a7 g2g4 e6e5 f4g3 d7c5 d4c5,562
3K4/8/3k4/2n5/1Q6/8/8/8 b - -,d6d5 b4d2 d5e5 d8e7 c5e4 d2b2 e5f5 b2a1 f5f4 e7e6,792
8/1K6/6r1/8/7k/5R1P/8/8 b - -,,0
8/1k1K4/5P2/8/5B2/8/b3r3/8 b - -,e2f2 f4g5 f2f5 g5h4 f5h5 h4g3 h5h3 g3e5 h3d3 d7e7,-360
r4br1/p1pk1Npp/8/5n2/3Pp1PP/2Pn4/PP2KP2/RNB4R b - -,f5h4 b1d2 h4g6 d2e4 d3c1 a1c1 a8e8 f2f3 h7h6 e2f2,292
8/3k2p1/1p1P4/p1p2p2/3b4/3K1P2/7R/8 b - -,a5a4 h2h8 d7d6 h8b8 d6d5 b8d8 d5c6 d3c2 b6b5 c2b1,-746
2bk3r/B3p1bp/4pnp1/1p6/2Bn4/8/PP1N1PPP/R4RK1 b - -,f6g4 c4d3 d8e8 h2h3 g4h6 a1c1 e8f7 d2e4 h6f5 e4g5,408
r1b1kbnr/ppp1p1pp/2n5/8/P3N3/8/1PP2PPP/R1BK1BNR b kq -,g8f6 f1d3 c6b4 c1f4 f6d5 f4e5 c8g4 f2f3 g4f5 g2g4,-39
5r1k/7p/P1B5/5p2/1P3K2/2P5/5PP1/R3NR2 b - -,e7e5 c1d2 g8f6 f1d3 c8g4 f2f3 g4e6 g1h3 e8a8 h3f2,Mate
7k/6p1/p3K2p/P1q2Q2/8/6PP/8/8 b - -,,0
r2qk2r/ppp5/2n2n1p/1Bbp2p1/8/5QB1/PPP2PPP/RN2K2R b KQkq -,d8e7 f3e2 e7e2 b5e2 e8a8 b1c3 d5d4 c3a4 c5b4 e1d1,-104
8/P7/1K4k1/8/7R/5p1P/8/r7 b - -,,0
r4rk1/pp1b1ppp/2p2q2/2n1p3/3pPn2/1B1P1PP1/PPPN3P/R3QRNK b - -,f4e6 f3f4 e5f4 g3f4 e6f4 g1e2 g7g5 e2f4 g5f4 e4e5,52
rnb2k1r/pppp1Np1/5q1p/3P4/1b6/2n1QN2/P2B1PPP/R3KB1R b KQ -,c3d5 d2b4 d5b4 e3b3 f6a1 e1d2 h8g8 f1c4 a1f6 b3b4,-577
r1b1k1nr/p1q1nppp/2pb4/1B6/8/2N1BNP1/PPP3K1/3RQ2R b kq -,e8f8 b5c4 g8f6 e1d2 e7f5 h1e1 c8b7 d2d3 f5e3 e1e3,76
8/r4p1p/Pk3Kp1/8/8/6P1/R4P1P/8 b - -,b6c6 g3g4 c6b5 h2h4 b5c4 f2f4 c4d4 a2a5 d4c3 a5a1,624
8/3k4/4R3/5P2/5K2/8/8/6r1 b - -,g1a1 f4g5 a1h1 g5f6 h1h3 f6g6 h3h1 e6a6 d7e8 a6a8,592
2r5/5R1p/1p4p1/p7/3kpP2/1P6/P4PPP/5K2 b - -,c8c1 f1e2 c1c2 e2f1 c2a2 f7h7 b6b5 g2g4 b5b4 h7b7,-10
r4rk1/p1qn1pp1/1pp1p3/7p/2PPN1nP/5N2/PP1Q1PP1/R3R1K1 b - -,a8d8 d2g5 d7f6 e4g3 c6c5 g3h5 f6h5 g5g4 h5f6 g4g3,43
r1r3k1/pppbbppp/3p1n2/6B1/3N4/3P1B2/PPP2PPP/2KRR3 b - -,e7d8 f3b7 c8b8 b7a8 b8a8 f2f3 a7a5 c2c4 a5a4 d4c2,342
r2qk2r/1b1nbppp/p3p3/2p1P3/Pp1p1PPN/3P4/1PP3BP/R1BNQRK1 b kq -,d8c7 g2b7 c7b7 h4f3 c5c4 d3c4 e7c5 g1g2 b4b3 e1e2,374
8/3k4/3b1p1p/1K1P1P2/1pB3PP/1P6/8/8 b - -,d7c7 c4f1 c7d7 b5c4 d7e8 c4d4 e8e7 f1e2 e7e8 e2d3,32
8/8/8/8/1P4pP/2Kpk1N1/P7/8 b - -,e3f4 h4h5 f4g3 h5h6 g3f3 c3d3 g4g3 h6h7 g3g2 h7h8q,1968
r2qrnk1/pp3pp1/2pbbp2/7p/3P4/2PB3P/PPQBNPP1/2KR2R1 b - -,b7b5 c1b1 a7a5 f2f4 a5a4 d1e1 e6d5 f4f5 d8b8 g2g3,-13
Q7/8/6k1/8/K7/7P/5p2/8 b - -,,0
6k1/3b1p1p/B7/8/3pp3/P1r5/2P2PPP/3R2K1 b - -,c3c2 f2f3 d4d3 f3e4 d3d2 g1f2 d7a4 f2e2 c2c6 a6b7,-80
r1b2rk1/pp3p1p/2nbpqpQ/2ppN2n/3P1P2/2PBP1B1/PP1N2PP/R3K2R b KQ -,c5d4 c3d4 c6e7 g3f2 e7f5 h6g5 f6g7 g5g4 f7f6 d3f5,-67
r3r1k1/pp1n1p1p/2pBq1p1/2P1b3/8/5B2/PP1Q1PPP/4RRK1 b - -,e6f5 d2b4 e5d6 e1e8 a8e8 c5d6 d7e5 f3e2 e5d3 b4d4,35
8/6pR/1p1k4/p1p2p2/3b4/3K1P2/8/8 b - -,b6b5 h7h8 a5a4 d3c2 d6e5 h8a8 e5f4 a8f8 b5b4 c2b1,-862
8/8/4B3/8/pp3p1k/5K1P/P4P2/2b5 b - -,,0
8/1K6/8/8/7k/6RP/8/8 b - -,h4g3 b7b6 g3h4 b6c6 h4g3 c6d6 g3h4 d6e6 h4g5 e6f7,Mate
8/pp5p/3Pk1p1/2r5/5N2/2B5/P5PP/6K1 b - -,e6d7 f4e2 c5c4 g1f2 d7d6 a2a3 d6d5 f2e3 c4h4 h2h3,-94
rnbq1rk1/4bppp/p2ppn2/1p4B1/3NPP2/2N5/PPP1Q1PP/2KR1B1R b - -,b5b4 c3b1 c8b7 b1d2 b8d7 c1b1 a6a5 f4f5 e6e5 d4b5,-121
6r1/1p1r1k2/p2Bp3/P1P2pp1/1R5P/1P3K2/5P2/8 b - -,g8g6 f3e3 g5h4 b4h4 e6e5 h4h8 g6g4 h8f8 f7g6 f8e8,-201
8/3k4/5p1r/5P2/6P1/6K1/4R3/8 b - -,d7c6 e2e6 c6d5 g4g5 h6h5 e6f6 h5g5 g3f4 g5g1 f6a6,445
8/4p2p/8/2pPk1PP/2Pb4/P2K1p1B/5p2/5Rr1 b - -,g1g3 h3c8 g3g5 d3c2 e5f4 c2b3 g5g1 c8h3 f4g3 f1f2,-788
r7/P7/5p2/4b1p1/4k2p/1R2P3/R5P1/7K b - -,e4f5 a2a4 g5g4 b3b4 e5c7 b4g4 c7b6 g4g7 b6e3 h1h2,483
7k/5Kp1/p1q4p/P4Q2/8/6PP/8/8 b - -,,0
r4rk1/p1qn1pp1/1pp1p3/7p/2PP2nP/5N2/PP1NQPP1/R3R1K1 b - -,a8e8 d2f1 e6e5 d4e5 d7e5 a1d1 e5f3 e2f3 e8e6 f3c3,-20
6Q1/8/6k1/8/K7/7P/8/5q2 b - -,,0
2r4k/P6p/2B5/5p2/1P3K2/2P5/5PP1/R3NR2 b - -,g6h6 g8e6 h6g7 e6g4 g7f6 g4h4 f6g6 h4e4 f1f5 e4f5,Mate
r3r3/pppbkppQ/3bpq1p/8/1n1PB1N1/8/PPP2PPP/R1B1R1K1 b - -,f6d4 c2c3 e8h8 h7h8 d4e4 e1e4 a8h8 e4b4 d6b4 c3b4,313
rnb1kb1r/pp2ppp1/2p2n2/q6p/3Pp3/2N3PP/PPPB1PB1/R2QK1NR b KQkq -,a5b6 g1e2 c8f5 d2e3 e7e6 d4d5 b6a6 d5e6 f7e6 d1d4,-67
8/8/5p2/3k1P2/6K1/4R1P1/7r/8 b - -,h2h6 e3e6 d5c4 g4f4 c4d4 g3g4 d4d3 f4g3 d3d2 g3f3,533
r1b1r1k1/pp2bp1p/4pnpB/4N3/3p1R2/3B4/PPP3PP/4R1K1 b - -,f6d7 e5f7 a7a6 d3c4 d7b6 c4b3 a6a5 a2a4 e7f8 h6g5,105
8/P7/7k/K6P/8/1r6/8/8 b - -,,0
r2qrnk1/p4pp1/2pbbp2/1p5p/3P4/2PB3P/PPQBNPP1/1K1R2R1 b - -,a7a5 f2f4 a5a4 d2c1 e6d5 f4f5 d8b6 e2f4 b5b4 f4d5,-8
r1bqk2r/ppp3pp/1nnb1p2/8/8/1BN1BN2/PP3PPP/R2QK2R b KQkq -,,0
8/8/7P/8/2p5/1k6/3Kp1P1/8 b - -,,0
8/4b3/5kpp/5p2/4PP2/pB3K1P/P7/8 b - -,,0
2rr2k1/pbqnppbp/1ppp1np1/8/2PPP3/1PN2NP1/PBQ2PBP/3RR1K1 b - -,e7e6 a2a4 a7a6 g2h3 c8b8 e4e5 d6e5 d4e5 f6e8 f3g5,90
8/P7/1K5k/7P/8/r7/8/8 b - -,,0
Q6k/7p/2r5/5p2/1P3K2/2P5/5PP1/R3NR2 b - -,a3a4 b6b7 a4a1 b7b8 h6h5 a7a8q a1a8 b8a8 h5g5 a8a7,Mate
5K1k/2q3p1/p6p/P4Q2/8/6PP/8/8 b - -,,0
r3r1k1/pp1nqpp1/2pbpn1p/3p4/2PP1P1N/1PNQP3/PB4PP/2R2RK1 b - -,f6e4 g2g3 d7f6 c1c2 b7b6 c3e4 f6e4 h4f3 a7a5 a2a4,-31
r3k2r/ppp1q3/2n2n1p/1Bbp2p1/8/5QB1/PPP2PPP/RN1K3R b kq -,e8a8 b5c6 b7c6 b1d2 f6e4 f3d3 h8e8 f2f3 e4g3 h2g3,-169
8/7P/8/8/8/1k6/2p1K1P1/8 b - -,,0
2r4k/1ppqR1p1/p6p/2Q5/8/2P4P/PP3PPK/8 b - -,d7c6 c5e5 c6g6 f2f4 c8f8 e7c7 b7b5 c7d7 h6h5 d7d6,361
8/P7/2K3k1/8/5R2/7P/5p2/1r6 b - -,,0
r1b1k1nr/pp2ppbp/2nq2p1/1BpP4/Q7/2P2N2/PP1P1PPP/RNB2RK1 b kq -,d6d5 d2d4 c8d7 c3c4 d5f5 d4d5 c6d4 f3d4 c5d4 b1d2,71
8/2K5/8/2nk4/1Q6/8/8/8 b - -,,0
4r2k/p3q1p1/7p/P7/3Q4/7P/6P1/5R1K b - -,,0
1k6/1pb5/p1p2rb1/P7/R4pBp/5N1P/KPP1RPP1/3r4 b - -,d1d5 f3h4 g6f7 b2b3 c7a5 a2b2 a5d8 h4f3 f6d6 a4f4,69
2bk3r/4p1bp/5np1/1p2p3/2BB4/8/PP1N1PPP/R4RK1 b - -,e5d4 c4b5 f6d5 f1e1 d5f4 a2a4 d4d3 a1d1 g7b2 d2e4,414
5rk1/1b3ppp/p7/P7/B2p4/R3rP2/1P1R2PP/6K1 b - -,e3a3 b2a3 f8d8 d2b2 b7d5 a4c2 d5c4 b2b4 d4d3 b4c4,20
8/6k1/4Q3/8/K6P/8/8/5q2 b - -,,0
1k6/1pb5/p1pr2b1/P1R5/1P3pBp/5N1P/K1P1RPP1/3r4 b - -,g6f7 a2b2 c7d8 c5f5 d8f6 f3e5 b8a7 c2c3 f7g8 g4f3,73
r3kbnr/pp3ppp/2p5/8/8/3bPN2/PP1N1PPP/R1BK3R b kq -,g8f6 f3e5 d3a6 b2b3 h7h5 f2f3 h5h4 e3e4 a8d8 d1c2,-107
1K6/8/8/8/8/6kP/8/8 b - -,g3f2 h3h4 f2e1 h4h5 e1e2 h5h6 e2e3 b8c8 e3e2 h6h7,5975
8/8/8/8/8/2b5/1kr5/5K1R b - -,,0
r4rk1/p1q2pp1/1pp1pn2/6Np/2PPN1nP/8/PP1Q1PP1/R3R1K1 b - -,f6e4 g5e4 c7h2 g1f1 a8d8 a1d1 f7f5 e4g5 e6e5 d4d5,-364
8/1k2K3/5P2/5rB1/8/8/b7/8 b - -,c6c5 e4f6 g7f6 g5f3 a8d8 d4d5 d8d7 a1d1 e6d5 c4d5,Mate
r4br1/p1pk1Npp/8/8/3Pp1PR/2Pn4/PP2KP2/RNB5 b - -,d3c1 e2e3 c1d3 b1d2 h7h6 d2e4 d3b2 f7e5 d7c8 a1b1,264
4r2k/p3PRp1/7p/P7/2p1Q3/6PP/3q4/6K1 b - -,,0
rn1q1rk1/pp3ppp/2bbpn2/8/3P4/P3BNN1/1P3PPP/R2QKB1R b KQ -,d8a5 d1d2 a5d2 e3d2 c6f3 g2f3 f8d8 d2e3 b8c6 g3e4,-92
r3r1k1/pp1nqpp1/2pbpn1p/3p4/2PP4/1PNQPN2/PB3PPP/2R2RK1 b - -,e6e5 d4e5 d7e5 f3e5 e7e5 g2g3 e5h5 c3e2 f6g4 h2h4,-27
r1bqr1k1/pp2bpp1/5n1p/1Bnp4/8/2N1PP2/PPQ1NBPP/R4RK1 b - -,f6d7 c3d5 a7a6 f2g3 e7f8 b5d7 c8d7 d5c7 a8c8 c7e8,237
r2q1rk1/pp2npbp/2n1b1p1/2p1p3/8/P1NPN1PP/1P2PPB1/1RBQ1RK1 b - -,d8d7 g1h2 f7f5 b2b4 c5b4 a3b4 a8c8 e3c4 f8d8 b4b5,-60
8/6k1/4Q3/8/1K5P/8/8/q7 b - -,,0
2rq3k/1pp1R1p1/p6p/4Q3/8/2P4P/PP3PPK/8 b - -,d8e7 e5e7 c8b8 f2f4 b7b5 e7c7 b8f8 c7b7 f8f6 c3c4,Mate
rnbqk1nr/ppp2Nbp/3p2p1/8/3PP3/8/PPP2PPP/RNBQKB1R b KQkq -,e8f7 f1c4 f7e8 e1h1 g8e7 c2c3 b8d7 f1e1 h8f8 a2a4,41
r7/PR2R3/6p1/P7/2k4p/2P4P/6PK/8 b - -,e8f7 f1c4 f7e8 e1h1 g8e7 c2c3 b8d7 f1e1 h8f8 a2a4,Mate
4rrk1/6pp/p2p1p2/1pq2P2/5Q2/2NB1N1P/PPP5/7K b - -,e8e3 c3e4 c5b6 h1g2 f8c8 e4c3 c8e8 c3d1 e3e7 d1c3,-60
r2qkb1r/pp1b1ppp/2npp3/2pnP3/2BP4/2P2N2/PP3PPP/RNBQ1RK1 b kq -,d8c7 e5d6 f8d6 c4d5 e6d5 d4c5 d6c5 d1d5 c6e7 d5g5,48
8/8/4B3/6k1/pp2Kp2/7P/P4P2/2b5 b - -,,0
r1bq1rk1/pp3pbp/3p1np1/2pN4/4P3/3BB3/PPP2PPP/R2Q1RK1 b - -,f6d5 e4d5 g7b2 a1b1 b2f6 d1d2 b7b6 c2c4 f8e8 f1e1,-88
rn1qkb1r/pp2pppp/2p2n2/3P3b/8/3P1N1P/PPP1BPP1/RNBQK2R b KQkq -,d8a5 c1d2 a5d5 g2g4 h5g6 g4g5 f6d7 b1c3 d5d6 d2e3,89
8/5K2/8/7k/p6q/8/8/3Q2B1 b - -,d8a5 c1d2 a5d5 g2g4 h5g6 g4g5 f6d7 b1c3 d5d6 d2e3,Mate
8/PK6/6k1/8/5R2/7P/5p2/2r5 b - -,,0
4K2k/6p1/p2q3p/P4Q2/8/6PP/8/8 b - -,,0
r3r3/pppbkppQ/3bp2p/4N3/1n1PB2q/8/PPP2PPP/R1B1R1K1 b - -,d6e5 d4e5 d7c6 c1e3 b4d5 e3c5 e7d7 a1d1 d7c8 h7g7,284
3r3k/6pp/8/p3q3/1pp1p3/4R1PP/PP2QP1K/8 b - -,d8d4 a2a3 b4b3 e2g4 h7h6 h3h4 e5f6 g4e2 f6e6 h4h5,-314
8/3Bp2p/3P4/2p1k1rP/2Pb4/P2K1p2/5p2/5R2 b - -,e7d6 d3c2 e5f4 c2b3 g5g1 d7h3 f4g3 f1f2 g3f2 b3a4,-879
8/1k6/3K1P2/4r1B1/8/8/b7/8 b - -,e7e6 d7c6 e5d6 c6f3 d6e5 f3e2 g5g3 d3d2 g3a3 f1h1,Mate
r3r1k1/1p3p1p/2b1n1p1/5P2/PpP1p1P1/1P5P/4B1N1/1R1R2K1 b - -,e6g5 h3h4 g5h3 g1h2 h3f2 d1d4 e4e3 g2f4 e8e4 d4e4,-54
8/PK6/8/7k/8/r7/8/8 b - -,,0
8/2K5/8/8/5k2/7P/8/8 b - -,,0
rn1qkb1r/1bp2ppp/p3pn2/1p1p2B1/3P4/3Q1NP1/PPP1PPBP/RN3RK1 b kq -,c7c5 g5f6 d8f6 a2a4 c5c4 d3d1 f8e7 a4b5 a6b5 b1c3,3
r4rk1/2q2ppp/3bpn2/1Pnp4/P1p5/4PN1P/1BQN1PP1/R4RK1 b - -,h7h6 f1b1 e6e5 b2c3 c7e7 a4a5 e7e6 b5b6 a8a6 b1b5,51
2r2q1k/1pp1R1p1/p6p/4Q3/8/2P2P1P/PP4PK/8 b - -,h8g8 f3f4 b7b5 f4f5 a6a5 e7e6 f8f7 e5b5 c7c5 b5d3,357
8/6k1/8/8/1KQq3P/8/8/8 b - -,,0
6k1/3b1p1p/B7/8/4p3/P1rP4/5PPP/3R2K1 b - -,c3a3 a6c4 d7a4 d1b1 e4d3 g1f1 a3c3 c4a6 d3d2 f1e2,-13
7R/6p1/8/pp1k1p2/2pb1P2/8/2K5/8 b - -,b5b4 c2c1 b4b3 h8a8 c4c3 a8a5 d5e4 a5a4 e4d3 a4d4,-1125
8/8/4B3/8/pp3p1k/3K3P/P4P2/2b5 b - -,,0
rR6/P3R3/6p1/P7/7p/2k4P/6PK/8 b - -,b4b3 a2b3 a4b3 e6b3 h4h3 b3d5 h3h4 d3c2 c1e3 f2f3,Mate
r3r3/1p3pkn/p2Rb3/4q3/2P5/2N3PP/PP1QB3/5K1R b - -,a8c8 f1g2 h7g5 h3h4 g5e4 c3e4 e5e4 e2f3 e4c4 f3b7,317
r3r3/pBpbkppQ/3bpq1p/4N3/1n1P4/8/PPP2PPP/R1B1R1K1 b - -,f6f5 h7f5 e6f5 b7a8 e8a8 e5c6 e7f8 c6b4 d6b4 c2c3,389
r3r1k1/pp2qpp1/2p2n1p/3Pb3/8/1PNQP3/PB3PPP/2R2RK1 b - -,a8d8 e3e4 c6d5 e4d5 b7b5 f1e1 b5b4 c3a4 d8d5 d3c4,-9
r4rk1/p4pp1/1pp1pn2/6Np/2PPN1nP/8/PP1Q1PPq/R3RK2 b - -,f6e4 g5e4 a8d8 a1c1 c6c5 d2d3 d8d4 d3h3 h2f4 g2g3,-358
r2qkb1r/1b3ppp/p3pn2/1pp1P3/3p1P2/3P1N1P/PPPBN1P1/R2Q1RK1 b kq -,f6d5 e2g3 d8d7 f3g5 g7g6 a2a3 f8e7 d1e2 h7h6 g5f3,-23
8/1k3P2/3K4/6r1/8/8/b7/8 b - -,f6d7 d1e1 f8e7 e2g3 d8c7 a2a4 b5b4 f4f5 b7f3 f5e6,Mate
3r4/5p1k/1p6/5R2/8/1B2P1P1/Pr3P2/6K1 b - -,d8d2 f5f7 h7g6 f7f4 d2e2 e3e4 g6g7 g1g2 b6b5 b3d5,153
rnbq1rk1/4bppp/p2ppn2/1p2P1B1/3N1P2/2N5/PPPQ2PP/2KR1B1R b - -,d6e5 f4e5 f6d7 h2h4 d7e5 d4e6 d8d2 d1d2 e7g5 e6g5,22
8/8/3p4/5k2/3P2p1/2P1K3/8/8 b - -,d6e5 f4e5 f6d7 h2h4 d7e5 d4e6 d8d2 d1d2 e7g5 e6g5,Mate
8/6k1/8/8/1K5P/1Q6/1q6/8 b - -,,0
r3k2r/ppp1q3/2n2n1p/1Bbp2p1/8/6B1/PPP1QPPP/RN2K2R b KQkq -,e7e2 b5e2 e8a8 b1d2 h8e8 e1d1 h6h5 d2b3 c5d4 c2c3,-108
4K2k/6p1/p5Qp/P7/8/6qP/8/8 b - -,e7e2 b5e2 e8a8 b1d2 h8e8 e1d1 h6h5 d2b3 c5d4 c2c3,Mate
8/3K4/8/4k3/8/7P/8/8 b - -,,0
2k3rr/p2b1pp1/1p2p2p/q2pPn2/2pP3P/b1P2NPB/P1PBQPK1/1R2R3 b - -,c8b7 e2d1 a3e7 h4h5 a5a3 e1h1 g7g6 f3h2 d7a4 h5g6,-40
8/7p/2Bp4/2p1k1rP/2Pb4/P2K1p2/5p2/5R2 b - -,e5f4 d3c2 g5g1 f1f2 d4f2 c2b3 f2d4 b3a4 f3f2 a4a5,-943
6k1/pp4p1/6P1/2R4P/2Ppb2r/PP6/8/2K5 b - -,g8f8 c5c7 h4h5 c7f7 f8e8 f7f4 h5e5 f4f7 e5e7 f7f2,-551
1R6/R7/6p1/P7/7p/2k4P/6PK/8 b - -,g8f8 c5c7 h4h5 c7f7 f8e8 f7f4 h5e5 f4f7 e5e7 f7f2,Mate
5rk1/6pp/pq1p1p2/1p3P2/4NQ2/3BrN1P/PPP3K1/8 b - -,f8c8 e4c3 c8e8 c3d1 e3e7 d1c3 g8h8 c3e4 e7d7 e4g3,-43
r3r1k1/1p3p1p/2b3p1/5Pn1/PpP1p1PP/1P6/4B1N1/1R1R2K1 b - -,g5h3 g1h2 h3f2 d1d4 g6f5 g4f5 e4e3 f5f6 f2e4 b1e1,-37
rnb1kbnr/pp3ppp/1qp5/4p2Q/3PP3/2N5/PPP3PP/R1B1KBNR b KQkq -,e5d4 f1c4 b6c7 c3e2 g8f6 h5h4 f8b4 c2c3 d4c3 b2c3,-106
