rn1qk2r/pbpp1ppp/1p2pn2/8/2PP4/P1P2NP1/4PP1P/R1BQKB1R b KQkq -,b8c6 f3d2 c6d4 c3d4 b7h1 f2f3 h7h5 h2h4 c7c5 c1b2,-79
r1bqk2r/ppppbppp/2n5/4P3/2B1n3/2P2N2/PP3PPP/RNBQ1RK1 b kq -,f7f5 d1d5 h8f8 b1d2 d7d6 d2e4 f5e4 d5e4 c8f5 e4e3,242
rnbqk2r/ppp2ppp/3bpn2/8/2BP4/5N2/PPP2PPP/RNBQR1K1 b kq -,h7h6 b1c3 e8h8 f3e5 c7c5 d4c5 d6e5 e1e5 d8d1 c3d1,117
8/8/8/8/2pk4/8/2K5/8 b - -,,0
rn1qk1nr/pb1p1ppp/1p2p3/8/1b1NP3/2NB4/PPP2PPP/R1BQ1RK1 b kq -,a7a6 d1g4 b4f8 g4g3 d7d6 c1g5 g8f6 f2f4 b8d7 a1e1,149
r1bqkbnr/pp1p1ppp/2n1p3/2p5/8/1QP3P1/PP1PPPBP/RNB1K1NR b KQkq -,d7d5 g1f3 e6e5 d2d3 f8e7 e1h1 g8f6 e2e4 d5e4 d3e4,-82
r1bqkb1r/2ppnpp1/p1n4p/1p2p3/3PP3/1BP2N2/PP3PPP/RNBQK2R b KQkq -,g7g6 d4e5 f8g7 e1h1 c8b7 c1e3 g6g5 b1d2 e7g6 f3d4,124
rnbqkb1r/pp3ppp/4p3/2ppP3/3Pn3/3B1N2/PPPN1PPP/R1BQK2R b KQkq -,b8c6 d2e4 d5e4 d3e4 c5d4 e1h1 f8c5 c1f4 h7h6 a2a3,200
r1bqk2r/pp1n1ppp/2pbpn2/3pN3/3P1B2/3BP3/PPPN1PPP/R2QK2R b KQkq -,d7f8 h2h4 d8c7 h4h5 f8d7 d2f3 h7h6 c2c3 c6c5 g2g4,114
r1bqk1nr/ppp2ppp/1bnp4/4p3/1PBPP3/5N2/PBP2PPP/RN1QK2R b KQkq -,e5d4 b4b5 c6e5 b2d4 b6d4 d1d4 e5c4 d4c4 c8e6 c4d4,-25
rnbqkbnr/pp2pppp/8/2p5/8/2N2N2/PPPPBPPP/R1BQK2R b KQkq -,g7g6 d2d4 g8f6 d4c5 d8d1 e2d1 f8g7 f3e5 e8h8 d1f3,129
r1bqk2r/pppp1ppp/5n2/2bN4/2BpP3/8/PPPP1PPP/R1BQ1RK1 b kq -,d7d6 b2b4 c5b6 a2a4 f6d5 e4d5 a7a5 f1e1 e8f8 b4a5,106
r1bqkb1r/ppp2ppp/2n5/4p3/8/2PB1N2/P1PP1PPP/R1BQ1RK1 b kq -,c8e6 d3e4 d8d6 f1e1 e8a8 e4c6 d6c6 f3e5 c6a4 d2d3,125
rnbq1rk1/pp3ppp/2pbpn2/3pN3/3P1B2/2P1P3/PP1N1PPP/R2QKB1R b KQ -,d8e7 f1d3 c6c5 d1f3 b8c6 f3h3 g7g6 g2g4 e7c7 h3g3,75
