8/8/5K2/8/2k5/8/8/4R3 b - -,d5e6 c1e3 e6g4 a4b3 g8f6 c3b5 g4b4 b3b4 c6b4 e1a1,Mate
r1bqkb1r/pppp1Bpp/2n2n2/4p3/4P3/5Q2/PPPP1PPP/RNB1K1NR b KQkq -,e8f7 b1c3 f8e7 g1e2 h8f8 c3d5 f7g8 d5e7 d8e7 e1h1,-761
5r1k/1p2QBbp/p4pp1/1q6/8/8/PP3PPP/2R3K1 b - -,,0
r1bqk1nr/pp1p1pbp/2n1p1p1/2p5/2B1P2P/2NP1N2/PPP2PP1/R1BQK2R b KQkq -,a7a6 h4h5 b7b5 c4b3 c8b7 c1f4 d8b6 h5h6 g7f8 d1d2,51
r2qkbnr/ppp2ppp/2n5/3ppb2/3P4/2P1P1B1/PP3PPP/RN1QKBNR b KQkq -,h7h5 d1b3 a8b8 g3e5 f7f6 e5f4 g7g5 e3e4 f5e4 f4e3,-64
rnbqk2r/pp3ppp/3ppn2/3p4/3P1B2/5P2/PPP1P1PP/R2QKBNR b KQkq -,h7h6 e2e3 b8c6 f4g3 e6e5 d1d3 e8h8 g1e2 c8d7 e1a1,-76
rnbqk2r/ppp2ppp/3b1n2/3p4/3P4/3B1Q2/PPP1NPPP/RNB1K2R b KQkq -,b8c6 a2a3 c8g4 f3e3 c6e7 f2f3 g4h5 b1c3 e8h8 c3b5,-42
r2qkbnr/ppp2ppp/6n1/4p3/2BP2b1/2N2N2/PPP1Q1PP/R1B2RK1 b kq -,g4f3 f1f3 f7f6 g1h1 f8d6 d4e5 g6e5 c1f4 d8e7 f4e5,404
r1bqkb1r/pp2nppp/2pp1n2/3Pp3/2P1P3/2N2N2/PP3PPP/R1BQKB1R b KQkq -,h7h6 a2a4 e7g6 a4a5 f8e7 f1d3 e8h8 e1h1 f6h5 g2g3,104
rnbqkbnr/1p3ppp/p3p3/3pP3/P2P4/8/1P3PPP/RNBQKBNR b KQkq -,f8b4 b1c3 d8c7 g1f3 f7f6 f1e2 f6e5 f3e5 g8e7 e5f3,39
r1bqkbnr/1p3ppp/p1n1p3/3pP3/P2P4/5N2/1P3PPP/RNBQKB1R b KQkq -,c6a5 c1d2 g8e7 d2c3 e7c6 b1d2 c8d7 h2h4 d8b6 f1d3,29
8/8/8/8/1k1K4/8/8/3Q4 b - -,g8e7 c1d2 c6a5 d2c3 e7c6 b1d2 d8b6 f1d3 h7h6 h2h4,Mate
8/8/1k6/3K4/8/8/8/2Q5 b - -,g8e7 c1d2 c6a5 d2c3 e7c6 b1d2 d8b6 f1d3 h7h6 h2h4,Mate
r1bqk1nr/pppnppbp/3p2p1/6B1/3PP3/2P2N2/PP3PPP/RN1QKB1R b KQkq -,a8b8 f1d3 g8f6 e1h1 h7h6 g5e3 e8h8 h2h3 b7b6 b1d2,74
rnbq1rk1/ppp1Pppp/8/2b5/8/2N2N2/PPP1PPPP/R1BQKB1R b KQ -,d8e8 e7f8q c5f8 c1f4 c7c6 d1d2 b8d7 d2e3 e8d8 e1a1,1207
rnbq1rk1/ppp1Pppp/8/8/8/2N2N2/PPP1PKPP/R1BQ1B1R b - -,d8d6 d1d6 c7d6 e7f8r g8f8 c3b5 b8c6 c1f4 c8g4 b5d6,1743
