r1b1kb1r/ppq1pppp/2n5/2ppP3/6n1/2NP1NP1/PPP1QP1P/R1B1KB1R b KQkq -,c6d4 c3d5 c7d8 f3d4 d8d5 d4f3 g4e5 e2e5 d5f3 h1g1,50
r1b1qr1k/ppp3bp/5np1/2P1pp2/1P6/1Q2P3/PB1NBPPP/R4RK1 b - -,c8d7 b4b5 a8d8 f1d1 d7e6 e2c4 e6d5 d2f3 d5c4,99
r1bqkbnr/5ppp/p1n1p3/1p1pP3/3P4/B1PB1N2/5PPP/RN1QK2R b KQkq -,f8a3 b1a3 c6a5 a3c2 d8c7 e1h1 h7h6 d1e2 g8e7 c2e3,-62
r1b1qr1k/1pp3bp/5np1/pPP2p2/4p3/1Q2P3/PB1NBPPP/R2R2K1 b - -,g6g5 b5b6 a5a4 b3a3 c7c6 d2c4 f5f4 c4d6 e8g6 d1d4,133
r1bqk1nr/5ppp/p1n1p3/1p1pP3/3P4/N1PB1N2/5PPP/R2QK2R b KQkq -,c6a5 e1h1 c8d7 a3c2 a5c4 f3d2 g8e7 d2b3 c4b2 d1d2,-53
r3qr1k/1pp3bp/4bnp1/1PP2p2/pQN1p3/4P3/PB2BPPP/R2R2K1 b - -,h7h5 b5b6 c7c6 d1d6 h8h7 b4d2 e8e7 a1c1 f8d8 c1d1,110
r4r1k/1pp1q1bp/4bnp1/1PP2p2/pQN1p3/P3P3/1B2BPPP/R2R2K1 b - -,h7h6 a1c1 f6d5 b2g7 e7g7 b4e1 a8c8 e2f1 f8d8 c5c6,66
r1bqk1nr/5ppp/p3p3/np1pP3/3P4/N1PB1N2/5PPP/R2Q1RK1 b kq -,c8d7 h2h4 g8e7 h4h5 h7h6 d1e2 a8c8 a3b1 e8h8 d3c2,-57
3r4/3P4/p4k1Q/2b3p1/q4p2/8/4B1PP/3R1K2 b - -,c8b7 a3c2 g8e7 f3g5 h7h6 d1h5 g7g6 h5h3 a5c4 c2e3,Mate
r1b1qr1k/1pp3bp/5np1/1PP2p2/pQ2p3/4P3/PB1NBPPP/R2R2K1 b - -,f5f4 d2c4 f4f3 g2f3 e8e7 c4e5 a4a3 b2c3 e4f3 b4h4,82
