6k1/8/6K1/3N4/8/8/8/1B6 b - -,a8b8 a2a4 f8e8 c1e3 d8e7 b2b3 a7a6 a5c4 e6c4 b3c4,Mate
r2q2k1/pp2rppp/2p1b3/4n3/4P3/2NB3P/PP1QN1P1/3R1RK1 b - -,e7d7 e2f4 e6c4 f1f3 e5f3 g2f3 d8h4 d2e3 h4g3 f4g2,-107
r3kb1r/ppp3pp/2B1pn2/3pNb2/1q1P1B2/8/PPP2PPP/RN1Q1RK1 b kq -,f6d7 c6d7 e8d8 b1c3 b4a5 f4g5 f8e7 g5e7 d8e7 d7b5,784
r2qkb1r/p1p2ppp/bpn1pn2/8/2N1P3/2P2NP1/PP2QP1P/R1B1KB1R b KQkq -,d8d7 e2c2 d7c8 f1e2 a6b7 e1h1 f8e7 b2b4 e8h8 a2a4,50
1r1q1r2/6bk/1BRp4/pp1Ppp2/8/1P4P1/P4QBP/6K1 b - -,d8f6 g2f1 e5e4 b6c7 b8c8 c6d6 f6f7 c7b6 c8c1 b6e3,-91
r2qk2r/p1p2ppp/2pp1n2/4p1B1/1b2P1b1/2NP1N2/PPP2PPP/R2Q1RK1 b kq -,h7h6 g5d2 a7a5 h2h3 g4h5 a2a3 b4c5 d2e3 f6d7 d1e2,-26
7r/5ppp/R2bk3/3Rp3/8/1P6/5PPP/2B3K1 b - -,,0
4bk2/8/p1p1p1p1/1p1p1p1p/1P1P1P1P/PKPNP1P1/8/8 b - -,e8d7 d3c5 d7c8 b3b2 f8g7 c5b3 c8d7 b3a5 g7f8 b2c2,28
7k/7p/4N3/5Q2/P7/6PK/2p4P/5r2 b - -,e8d7 d3c5 d7c8 b3b2 f8g7 c5b3 c8d7 b3a5 g7f8 b2c2,Mate
5rk1/Q4pp1/2p4p/1p1p4/1P1P4/2q2P1P/P5P1/4RK2 b - -,c3b4 a2a3 b4c3 e1e7 c3c1 f1f2 c1f4 a7c5 f4f6 g2g3,-131
r2qkbnr/1b3ppp/p2p4/2p5/Q3PB2/2N5/PPP2PPP/2KR1B1R b kq -,d8d7 f4d6 d7a4 c3a4 g8f6 d6f8 e8f8 f2f3 a8c8 d1d6,524
5rk1/p2Q1pp1/2p4p/1p1p4/1P1P4/2P2P1P/P5P1/2q1RK2 b - -,c1c3 d7a7 c3b4 a2a3 b4d6 a7e7 d6f4 e7c5 f4f6 e1e7,-133
3q1r2/6bk/1QRp4/pp1Ppp2/8/1P4P1/P5BP/6K1 b - -,e5e4 b6b5 g7e5 b5e2 d8g5 c6c4 h7g7 g2f1 g5g6 a2a4,-32
8/p4k1p/2R1R1p1/8/5K2/5P2/6rr/8 b - -,h2h4 f4e3 h4b4 e6d6 b4b7 d6d4 g2a2 c6c3 f7g7 e3f4,-257
r3kbnr/1b1q1ppp/p2B4/2p5/Q3P3/2N5/PPP2PPP/2KR1B1R b kq -,d7a4 c3a4 f8d6 d1d6 e8e7 e4e5 a8c8 d6b6 b7d5 a4c3,526
r2qkbnr/1b3ppp/p2p4/2p5/4PB2/2NQ4/PPP2PPP/2KR1B1R b kq -,g8f6 f4d6 d8d6 d3d6 f8d6 d1d6 f6e4 c3e4 b7e4 f1c4,411
r4rk1/pb3pp1/1p2pn1p/2P1N3/1P6/8/P3BPPP/R2R2K1 b - -,b6c5 b4c5 f8c8 a1c1 b7d5 c5c6 g8f8 f2f3 c8c7 e2a6,8
