7r/3KP1k1/8/8/8/8/8/R7 b - -,g8f6 h2h4 g5g6 b1c3 g6c2 c4b3 c2g6 h4h5 g6g4 f3g4,Mate
rnbq1rk1/pp3ppp/3ppn2/3p4/3P4/2P1PN2/PP1N1PPP/R2QKB1R b KQ -,b8c6 f1e2 e6e5 h2h3 c8f5 a1c1 h7h6 e1h1 a8c8 c3c4,-59
rn1qkb1r/pbpppp1p/1p3p2/8/3P4/4PN2/PPP2PPP/RN1QKB1R b KQkq -,b8c6 c2c4 e7e6 b1c3 h7h5 d1c2 f6f5 a2a3 f8g7 e1a1,73
rnbq1rk1/pp1p1pbp/2p1pnp1/8/2P1P3/2NP2P1/PP2NPBP/R1BQK2R b KQ -,c6c5 d3d4 c5d4 e2d4 b8c6 d4c2 d7d6 e1h1 e6e5 b2b3,109
rnbqkb1r/ppp1p3/5p2/3p2pp/3PN2B/7P/PPP1PPP1/RN1QKB1R b KQkq -,c7c5 e4g5 f6g5 h4g5 b8c6 e2e3 d8d6 b1c3 c5d4 e3d4,274
rnbqk1nr/pp2ppbp/6p1/3p4/3P1B2/4PN2/PP3PPP/RN1QKB1R b KQkq -,b8c6 h2h3 g8f6 b1c3 f6e4 a1c1 e8h8 f1e2 e4c3 c1c3,97
rnbq1rk1/ppp2ppp/4pn2/3p4/3P1P1P/2N2N2/PPP2PP1/R2QKB1R b KQ -,c7c5 d4c5 b8c6 a2a3 d8e7 b2b4 f6e4 c3e4 d5e4 f3e5,40
rnbqk1nr/1pp1bppp/p3p3/3p4/3P1B2/2N1PN2/PPP2PPP/R2QKB1R b KQkq -,b8c6 f1d3 g8f6 a2a3 f6h5 c3e2 h5f4 e3f4 e7d6 e1h1,45
r1b2rk1/p6p/2pb1q2/n4p2/2PP1np1/5N2/PP3PPP/RNBQRBK1 b - -,f8d8 c1d2 d6c7 g2g3 g4f3 g3f4 c6c5 b1c3 d8d4 c3d5,297
rnbqr1k1/pp1pppbp/2p2np1/8/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b - -,a7a6 e2e4 d7d6 h2h3 e7e5 c1e3 e5d4 f3d4 b8d7 f1e1,118
rn1qkb1r/pp2pppp/2pp4/3nP3/2BP2b1/5N1P/PPP2PP1/RNBQK2R b KQkq -,g4e6 f3g5 b8d7 e1h1 d6e5 b1c3 g7g6 g5e6 f7e6 c3e4,129
r1bqkbnr/pp3ppp/2np4/4pN2/2B1P3/8/PPP2PPP/RNBQK2R b KQkq -,g7g6 f5e3 g8f6 b1c3 f8h6 e3d5 h6c1 d1c1 c8e6 c1h6,80
rnbqk2r/ppp2ppp/8/2bPp3/2B3n1/2NPB3/PPP2PPP/R2QK1NR b KQkq -,c5e7 e3d2 c7c6 d5c6 b8c6 g1f3 g4f6 h2h3 h7h6 e1h1,231
rnbqkb1r/p2ppp1p/5np1/1ppP4/2P1P3/8/PP1N1PPP/R1BQKBNR b KQkq -,d8c7 c4b5 a7a6 g1e2 d7d6 e2c3 f8g7 a2a4 e8h8 a1a3,151
rn1qkb1r/pp2pppp/2pp4/3nP3/2BP4/5Q1P/PPP2PP1/RNB1K2R b KQkq -,b8d7 c4d5 c6d5 f3d5 d6e5 d4e5 d8b6 e1h1 e7e6 d5e4,113
r1bqkbnr/pp1n1ppp/2pp4/4p3/P2PP3/2N2N2/1PP2PPP/R1BQKB1R b KQkq -,d8a5 f3d2 g8f6 d2c4 a5c7 d4d5 c6d5 e4d5 f8e7 f1e2,63
r1bqk2r/pp1nbppp/2pp1n2/4p3/P1BPP3/2N2N1P/1PP2PP1/R1BQK2R b KQkq -,d8c7 c1e3 e8h8 e1h1 e5d4 f3d4 f8e8 f1e1 e7f8 e3f4,72
r2qk2r/ppp2ppp/2nbpn2/3p1b2/3P4/P1N2NP1/1PP1PPBP/R1BQ1RK1 b kq -,h7h6 e2e3 e8h8 b2b3 c6e7 a3a4 a7a6 c3e2 e7c6 c2c4,-40
2Q5/1p4q1/p4k2/6p1/P3b3/6BP/5PPK/8 b - -,e4c6 a4a5 f6f7 c8c7 f7g6 c7b8 g7d7 g3e5 d7e6 b8h8,159
r2q1rk1/pb3ppp/1pnbp3/2p5/Q2PB3/2P2NB1/PP3PPP/R3K2R b KQ -,a7a6 d4c5 b6b5 e4h7 g8h7 a4c2 h7g8 c5d6 c6b8 h2h4,293
