rnbqk1nr/pppp1pbp/4p1p1/4P3/5P2/5N2/PPPP2PP/RNBQKB1R b KQkq -,g8e7 d2d4 d7d6 b1d2 e8h8 d2e4 b8d7 h2h4 f7f5 e4c3,101
r2qkb1r/pp2pppp/2n2n2/2pp4/3P2b1/2PBPP2/PP1N2PP/R1BQK1NR b KQkq -,c5c4 d3c4 g4d7 c4b5 a7a6 b5a4 b7b5 a4c2 e7e5 g1e2,112
r1bqkb1r/pp1npppp/2p2n2/3p4/4P3/2NB1N2/PPPP1PPP/R1BQ1RK1 b kq -,d5e4 c3e4 f6e4 d3e4 d7c5 d1e2 f7f5 e4d3 c5d3 c2d3,55
r1bqkb1r/pp1n2pp/2p1pn2/3pNp2/3P1B2/3BP3/PPPN1PPP/R2QK2R b KQkq -,f8b4 e5d7 c8d7 a2a3 b4e7 c2c4 e8h8 c4c5 d7e8 e1h1,115
rnbqkbnr/pp2pppp/3p4/8/3pP3/2PB4/PP3PPP/RNBQK1NR b KQkq -,d6d5 e4d5 g8f6 c3d4 f6d5 g1f3 g7g6 d1b3 f8g7 b1c3,78
r1bqk2r/1ppp1ppp/2n2n2/p1b1p3/2P5/2N1P1P1/PP1PNPBP/R1BQK2R b KQkq -,c5a7 e1h1 d7d6 d2d3 e8h8 h2h3 h7h6 b2b3 f8e8 g1h2,82
r1bq1rk1/1ppp1ppp/2n2n2/p1b1p3/2P5/2N1P1P1/PP1PNPBP/R1BQ1RK1 b - -,f8e8 d2d4 c5f8 b2b3 d7d6 c1b2 e5d4 e2d4 c6d4 d1d4,94
rnbqkbnr/1ppp2pp/p4p2/3Np3/4P3/5N2/PPPP1PPP/R1BQKB1R b KQkq -,g8e7 d2d4 e7d5 e4d5 e5e4 d1e2 f6f5 c1f4 g7g6 h2h4,71
r1b2rk1/p2R1ppp/2p5/bp2q3/4PBn1/6P1/PPQ1BP1P/R2N2K1 b - -,e5f4 g3f4 c8d7 h2h3 g4f6 d1e3 a5b6 g1h2 a8c8 a1d1,219
r2qkbnr/1b1p2pp/p3pp2/n2NN1B1/Pp2P3/1B6/1P3PPP/R2Q1RK1 b kq -,d7d6 d1h5 g7g6 e5g6 h7g6 h5h8 e6d5 h8g8 f6g5 g8g6,332
rnbqkb1r/ppp1p2p/3p1np1/5p2/3P1B2/2PBP3/PP3PPP/RN1QK1NR b KQkq -,a7a6 g1f3 f8g7 d1b3 e7e6 c3c4 b8c6 b1c3 d8e7 e1h1,26
rn1qkbnr/pp2pppp/8/3pP3/3p2b1/5N2/PPPN1PPP/R1BQKB1R b KQkq -,e7e6 h2h3 g4h5 f1d3 g8e7 d2b3 b8c6 g2g4 h5g6 b3d4,-96
8/4k3/6N1/3K4/4B3/8/8/8 b - -,e7f7 d5e5 f7g7 e5e6 g7h6 e6f6 h6h7 g6h4 h7h8 e4c2,15265
8/8/8/8/2k1B3/8/3KN3/8 b - -,c4c5 d2d3 c5d6 e2g3 d6e5 g3h5 e5e6 d3d4 e6f7 d4e5,4968
rnbqk1nr/pp3ppp/4p3/2bp4/8/1N4P1/PPP1PPBP/RNBQK2R b KQkq -,c5b4 c2c3 b4e7 c3c4 g8f6 c4d5 f6d5 b1c3 b8c6 c3d5,74
rn1qkb1r/ppp2ppp/4pnN1/3p4/2PP4/2N5/PP2PPPP/R1BQKB1R b KQkq -,f8b4 g6h8 b8c6 c1g5 h7h6 g5d2 e8e7 h8f7 e7f7 c4d5,825
