4k3/1p3p1p/4p3/r3n3/P5p1/4P3/1P3PPP/3R1BK1 b - -,b7b6 f1b5 e8e7 g1f1 h7h5 b2b4 a5a8 h2h4 f7f5 d1c1,272
8/6K1/7p/7P/5k2/8/8/8 b - -,b7b6 f1b5 e8e7 g1f1 h7h5 b2b4 a5a8 h2h4 f7f5 d1c1,Mate
8/4k3/6P1/3Q1p2/3br3/1P5P/3K4/8 b - -,e4h4 d5f7 e7d6 f7f8 d6e6 f8e8 e6f6 e8d8 f6g6 d8h4,988
4k3/8/3K4/3B4/8/8/5N2/8 b - -,e8f8 f2g4 f8g7 d5e4 g7f7 d6d7 f7f8 d7e6 f8e8 e4g6,314
r1bqkb1r/ppp1pppp/5n2/3p4/2PQ4/2N2N2/PP2PPPP/R1B1KB1R b KQkq -,e7e6 c4d5 e6d5 e2e4 d5e4 d4d8 e8d8 f3g5 c8e6 g5e6,686
4k3/1p3p1p/4p3/4n3/PR4p1/4P3/1P3PPP/2r2BK1 b - -,b7b6 b4b6 c1a1 b2b3 e5d7 b6b5 f7f5 f2f3 h7h5 g1f2,291
8/8/1pkn1R1p/p2p4/P1pP1Nr1/2P5/1P4P1/6K1 b - -,g4g5 f6h6 g5g7 g1f2 g7b7 f4g6 b6b5 g6e5 c6c7 h6h7,372
r4b1r/pp1npkp1/2p5/3p1n1p/3P3P/3P1N2/PP1BRPP1/RN4K1 b - -,a7a5 b1a3 e7e6 a1e1 f8b4 a3b1 d7f8 d2c3 b4d6 b1d2,46
8/8/1pkn1R1p/p2p4/P1pP1N1r/2P3P1/1P6/6K1 b - -,h6h5 g3h4 c6d7 f4d5 b6b5 a4b5 d6b5 d5b6 d7e7 f6h6,1010
r1bq1rk1/2pnbppp/p2p1n2/2P1p3/1p1PP3/1B3N1P/PP3PP1/RNBQR1K1 b - -,h7h6 c5c6 d7b6 d4e5 d6e5 d1d8 f8d8 f3e5 c8e6 b3e6,140
8/8/1pkn1R1p/p2p4/P1pP1Nr1/2P3P1/1P4K1/8 b - -,b6b5 g2f3 h6h5 a4b5 c6d7 f4h5 g4g8 g3g4 a5a4 h5f4,439
8/8/1pkn1R2/p2p3N/P1pP2r1/2P3P1/1P4K1/8 b - -,c6c7 g2f3 g4g8 g3g4 b6b5 a4b5 g8b8 g4g5 b8b5 g5g6,509
rnbq1rk1/ppp1ppb1/5np1/3p3p/3P1B1P/4PP2/PPPNB1P1/R2QK1NR b KQ -,c7c5 c2c3 c5d4 e3d4 b8c6 g1h3 f6h7 f4g3 e7e5 d4e5,-125
8/8/8/4K3/7Q/1k6/8/8 b - -,a7a5 a2a4 c7c5 c2c3 f8e8 d4c5 e7e5 f4g5 b8a6 d2b3,Mate
4k3/1p3p1p/4p3/4n3/PR6/4PP2/1P5P/1r3BK1 b - -,b7b5 b4b5 e5f3 g1g2 f3h4 g2f2 b1a1 a4a5 e8d8 a5a6,355
4k3/1p3p1p/4p3/8/PR6/4Pn2/1P4KP/1r3B2 b - -,e8e7 a4a5 e7d6 b4b7 f3h2 f1d3 b1a1 g2h2 a1a5 h2g3,410
4k3/1p4p1/2b2p2/4nP2/p1P3P1/B3K3/4B3/8 b - -,c6f3 e2f1 f3g4 e3e4 g4d1 e4d4 d1c2 f1h3 e5c6 d4c3,-318
r4bkr/pp1n2p1/2p1N3/3p1n1p/3P3P/3P4/PP1BRPP1/RN4K1 b - -,a7a6 g2g3 f8d6 d2c3 a8e8 b1d2 d7f8 e6f4 g8f7 e2e8,54
4r1k1/2nrNp1p/p3p1pP/Pp1q4/3P4/R7/1P2QPP1/2BR2K1 b - -,g8f8 e7d5 d7d5 a3c3 e8e7 c1f4 e7d7 f4e5 b5b4 c3c6,739
r1bqkb1r/pp2pppp/1nnpP3/2p5/3P4/1BP5/PP3PPP/RNBQK1NR b KQkq -,c5c4 e6f7 e8f7 b3c2 e7e5 d4e5 c6e5 a2a4 b6d7 g1f3,127
6k1/2nrrp1p/p3p1pP/Pp1q4/3P4/2R5/1P2QPP1/2BR2K1 b - -,f7f5 c1g5 e7f7 g5f4 d5e4 e2e4 f5e4 f4e5 c7d5 c3c8,221
r1bq1rk1/pp1pbppp/2n1p3/2p1P3/6n1/3P1NP1/PPP2PBP/RNBQR1K1 b - -,f7f5 c2c3 d7d5 e5d6 e7d6 b1a3 f5f4 a3c4 d6c7 g3f4,68
rnbq1rk1/pp1pppbp/5np1/2p5/2PP4/4PN2/PP1BBPPP/RN1QK2R b KQ -,d7d5 c4d5 f6d5 b1c3 c5d4 f3d4 d5b4 e1h1 b8c6 d4c6,-30
rnbq1rk1/pp2ppbp/3p1np1/2p5/2PP4/2B1PN2/PP2BPPP/RN1QK2R b KQ -,f6e4 e1h1 d8b6 d1c2 e4c3 b1c3 c5d4 c3d5 b6d8 f3d4,-18
8/8/6k1/7p/5P2/6PK/8/8 b - -,g6h6 h3h4 h6g6 f4f5 g6h6 f5f6 h6g6 f6f7 g6f7 h4h5,15265
r3kb1r/ppqbnppp/4p3/n2pP3/2pP3P/P1P2NPB/1P1N1P2/R1BQ1RK1 b kq -,e7c8 f3e1 c8b6 a1b1 e8a8 d1h5 d7a4 d2f3 h7h6 f3h2,31
r1n1kb1r/ppqb1ppp/4p3/n2pP2P/2pP4/P1P2NPB/1P1N1P2/R1BQ1RK1 b kq -,f8e7 h5h6 c8b6 h6g7 h8g8 f3h4 e7h4 g3h4 g8g7 g1h2,81
r1n1kb1r/ppqb1pp1/4p2p/n2pP2P/2pP3N/P1P3PB/1P1N1P2/R1BQ1RK1 b kq -,c8b6 f2f4 f8e7 d2f3 a5b3 a1b1 b3c1 b1c1 e8a8 f4f5,121
8/3nrp1p/5k2/3B1P2/7R/4P3/5K1P/8 b - -,e7e5 e3e4 f6g5 h4h3 d7b6 d5f7 e5e4 h3h5 g5f6 f2f3,3
8/2nrrk1p/p3pppP/Pp1q4/3P4/2R1B3/1P2QPP1/2R3K1 b - -,d5b7 e2g4 e7e8 e3f4 c7d5 c3c6 b7a8 g4f3 d5e7 f4e5,150
rnbq1rk1/ppp1ppbp/3p2p1/7n/3P1B2/2P1PNP1/PP1N1P1P/R2QKB1R b KQ -,d8e8 f4g5 h7h6 g5h4 f7f5 h2h3 g8h8 d1c2 e7e5 g3g4,-76
r2q1r1k/ppp3b1/3pn2P/3np3/1PP1P3/3B2Q1/P5P1/1RB1R1K1 b - -,f8g8 h6g7 g8g7 g3h3 g7h7 h3h7 h8h7 e4d5 h7g7 d5e6,315
r1b1kb1r/ppppn1pp/2n5/4B3/8/4Q3/PqP1PPPP/RN2KBNR b KQkq -,c6e5 g1f3 e5g4 e3d4 b2c1 d4d1 c1d1 e1d1 g4f2 d1e1,-1238
rr4k1/3nppbp/3p1np1/q1pP4/4P3/2N2NP1/PPQB1PKP/R3R3 b - -,a5a6 a2a4 b8b4 a4a5 f6g4 a1a3 b4b7 c3a4 a6b5 b2b3,91
8/6k1/8/3b4/8/1Bp5/p7/K7 b - -,d5e4 a1a2 g7f6 a2a3 f6e5 a3b4 e5d4 b3d1 e4g6 d1b3,-18
8/8/5k2/3b4/8/2p5/B7/K7 b - -,d5e4 a2b3 f6e5 a1a2 e5d4 a2a3 d4c5 b3a4 e4f5 a3b3,-16
8/8/5k2/8/4b3/1Bp5/8/K7 b - -,f6f5 a1a2 f5f4 a2a3 f4e3 a3b4 e3d2 b4c5 e4c2 b3e6,-16
1rbq1rk1/p1p2pp1/2pb1n1p/3p4/4P2B/2NB4/PPP2PPP/R2QR1K1 b - -,d6e5 e4d5 d8d6 h4f6 e5f6 c3e4 d6e7 e4f6 e7f6 b2b3,46
8/8/8/4k3/4b3/1Bp5/K7/8 b - -,e5d6 b3d1 d6d5 a2b3 d5d4 d1c2 e4d5 b3b4 d5c4 c2a4,-17
Q7/8/1K6/8/8/1p4p1/1pppppp1/k1qrbbrn b - -,e4f5 a2a3 e5d4 a3b4 d4d3 b4c5 f5c8 c5d5 c8g4 d5c5,Mate
8/3nrp1R/8/3B1k2/8/4P3/5K1P/8 b - -,d7f6 h7f7 e7f7 d5f7 f6g4 f2e2 f5f6 f7h5 g4h2 h5f3,4
4k3/1p3p1p/4p3/8/PR6/3BP3/1P1n2KP/1r6 b - -,b7b5 d3b1 b5a4 b1h7 f7f5 b4a4 e8e7 h2h4 e7f6 b2b4,807
r1bqk2r/ppp3pp/2n2n2/3p4/1b3B2/2NQ1N2/PPP1PPPP/R3KB1R b KQkq -,c8g4 a2a3 b4a5 b2b4 a5b6 e2e3 e8h8 f1e2 d5d4 c3a4,82
1r4r1/1pp5/p2p2np/5Nb1/PPP1R3/3N3k/8/5R1K b - -,c8g4 a2a3 b4a5 b2b4 a5b6 e2e3 e8h8 f1e2 d5d4 c3a4,Mate
8/8/8/2k5/1n2K3/8/5Q2/8 b - -,c8g4 a2a3 b4a5 b2b4 a5b6 e2e3 e8h8 f1e2 d5d4 c3a4,Mate
