FEN Position,Line of Moves,Evaluation Score
rnbqk2r/ppppppbp/5np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq -,c3e4 f6e4 e2e3 d7d5 f1d3 c7c5 g1e2 c5d4 c4d5 d8d5,-491
r1bqk1nr/pp1pppbp/2n3p1/2p5/2P1P3/5N1P/PP1P1PP1/RNBQKB1R w KQkq -,f1e2 e7e6 d2d3 g8e7 b1c3 d7d5 c4d5 e6d5 e1h1 e8h8,-71
rnbqk2r/ppppppbp/5np1/8/2PPP3/2N5/PP3PPP/R1BQKBNR b KQkq -,e7e5 d4e5 f6g8 g1f3 h7h6 c1f4 b8c6 f4g3 g8e7 d1d2,350
r1bq1rk1/pp1nppbp/3p1np1/2p5/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,d4d5 f6e8 a2a4 b7b6 e2e4 d7e5 f3e5 d6e5 b2b3 e8d6,88
r1bqk1nr/pp1pppbp/2n3p1/2p5/2P1P3/3P1N1P/PP3PP1/RNBQKB1R b KQkq -,e7e6 f1e2 g8e7 b1c3 b7b6 c1f4 d7d6 e1h1 f7f5 c3b5,-61
r1bqk1nr/ppp2pp1/1bnp3p/4p3/1PB1P3/2PP1N2/P4PPP/RNBQK2R w KQkq -,a2a4 a7a6 e1h1 g8e7 d1b3 e8h8 c1e3 e7g6 b1d2 b6e3,66
r3Q3/2k2p1p/p1n2p2/P1b5/2p5/2P3P1/5P1P/6K1 w - -,e8a8 c6b8 g1g2 h7h6 a8d5 c5d6 d5c4 c7d8 c4f7 b8d7,779
6k1/q5pp/4p3/2rp1p2/1p1B1P2/1P1QP3/P5PP/6K1 w - -,d3b1 a7c7 d4c5 c7c5 g1f2 c5c3 b1f1 d5d4 e3d4 c3d4,-21
rnbqkbnr/ppp1pppp/8/3p4/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq -,c8h3 f1h3 e7e5 d2d3 h7h5 c2c3 c7c6 d1a4 h5h4 g3g4,974
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -,b2b3 g8f6 b1c3 f8c5 g1f3 e8h8 f1e2 d7d5 c3d5 f6e4,-78
rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq -,d1h5 f6h5 c1e3 e8h8 f1e2 h5f6 e1a1 f8e8 g1f3 f6g4,-1271
rnbqk1nr/ppp2ppp/4p3/3p4/1b1PP3/2N5/PPP2PPP/R1BQKBNR w KQkq -,h2h4 d5e4 g1e2 g8f6 a2a3 b4e7 g2g3 b7b6 f1g2,-102
2Q5/1p4q1/p7/4k1p1/P3b3/7P/5PP1/6K1 w - -,c8c3 e5e6 c3g7 e4d5 g7g5 e6d6 a4a5 d6c5 g5e5 c5c6,4466
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/5N1P/PPPP1PP1/RNBQKB1R w KQkq -,f1d3 f6e4 d3e4 d7d5 e4d5 d8d5 b1c3 d5d6 e1h1 c8e6,-91
rnbqkb1r/pp3ppp/3ppn2/6N1/2BpP3/8/PPP2PPP/RNBQK2R w KQkq -,c4b5 b8c6 b5c6 b7c6 d1d4 c8a6 b1c3 f8e7 c1d2 e6e5,-185
rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP2BPPP/R1BQK1NR b KQkq -,b8c6 g1f3 e8h8 d4d5 c6b8 c1g5 e7e6 d5e6 c8e6 d1d2,122
r1bqkbnr/pp3ppp/2n1p3/2pp4/3PP3/2P2N2/PP3PPP/RNBQKB1R w KQkq -,e4d5 d8d5 f1d3 c8d7 c1e3 c5d4 c3d4 g8f6 b1c3 d5h5,25
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -,d2d4 e5d4 f3d4 f8b4 c2c3 b4c5 d4c6 b7c6 f1d3 d8h4,57
1r2k2r/p1pp1ppp/1p6/2bQPP2/8/2Pp1P1q/PP1P3P/RNB3RK b k -,c5g1 h1g1 h3f5 b1a3 e8h8 a3c4 f8e8 c4e3 f5g5 g1h1,-164
rnbqk2r/pp2ppbp/3p1np1/2P5/2P1P3/2N5/PP2BPPP/R1BQK1NR b KQkq -,h7h6 c5d6 b8c6 g1f3 e8h8 h2h3 d8d6 c1e3 d6d1 a1d1,238
8/1b1Q1ppk/p3p2p/1p1q4/3Ppb2/1P2B1P1/P6P/2R3K1 w - -,g1f1 d5d7 g3f4 d7d8 c1c3 d8h4 a2a3 h4h2 e3c1 e4e3,-971
rnbqkbnr/pppppp1p/6p1/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -,d2d4 f8g7 b1c3 d7d6 c1e3 g8f6 g1f3 e8h8 d1d2 c7c6,83
rnbqk1nr/ppp2ppp/4p3/3pP3/1b1P4/2N5/PPP2PPP/R1BQKBNR b KQkq -,c7c6 d1g4 e8f8 g1f3 g8e7 f1d3 c6c5 d4c5 b4c3 b2c3,153
rnbqkbnr/pppp1ppp/4p3/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -,b1c3 g8f6 e2e4 d7d5 e4e5 f6d7 f2f4 c7c5 g1f3 b8c6,50
r1bqk2r/ppppbppp/2nn4/1B2N3/8/8/PPPP1PPP/RNBQR1K1 w kq -,d1h5 g7g6 h5h6 d6f5 h6f4 c6e5 f4e5 e8h8 b5f1 e7f6,-120
8/p7/8/8/2K5/5k2/2P5/8 w - -,d1h5 g7g6 h5h6 d6f5 h6f4 c6e5 f4e5 e8h8 b5f1 e7f6,Mate
8/p7/8/8/3K4/5k2/2P5/8 b - -,d1h5 g7g6 h5h6 d6f5 h6f4 c6e5 f4e5 e8h8 b5f1 e7f6,Mate
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq -,g7g5 f3g5 e7e5 d2d4 f8e7 g5f3 e5e4 f3d2 g8f6 c2c4,198
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -,f1a6 b8a6 d2d4 d7d5 b1c3 f8b4 g1e2 g8e7 e1h1 e8h8,-494
r1bqkbnr/1ppp1ppp/p1n5/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R b KQkq -,f7f5 d2d4 e5d4 e4e5 f8c5 c2c3 d4c3 b1c3 g8e7 e1h1,113
r1bqkbnr/pp1p1ppp/2n5/1Bp1p3/4P3/5N2/PPPP1PPP/RNBQ1RK1 b kq -,d8f6 b1c3 a7a6 c3d5 f6d8 b5c4 d7d6 c2c3 f8e7 d2d4,161
8/1bRQ1ppk/p3p2p/1p1q4/3Pp3/1P2b1P1/P6P/6K1 w - -,g1g2 d5f5 d7f7 f5f3 g2h3 f3f7 c7f7 b7d5 h3g2 e3d4,-905
r1bqk1nr/pp1p1pbp/2n1p1p1/2p5/2P1P3/3P1N1P/PP3PP1/RNBQKB1R w KQkq -,a2a3 g8e7 f1e2 b7b6 b1c3 d7d6 e1h1 e8h8 c1d2 c8b7,-87
rnbqkbnr/p4ppp/2p1p3/1p6/P1pPP3/2N2N2/1P3PPP/R1BQKB1R b KQkq -,d8a5 c1f4 b5b4 c3a2 g8f6 f3d2 a5d8 f1c4 d8d4 a2c1,59
r1bqk1nr/pp1p1pbp/2n1p1p1/2p5/2P1P3/2NP1N1P/PP3PP1/R1BQKB1R b KQkq -,d7d6 c1e3 c6d4 d1d2 g8e7 f1e2 e8h8 e2d1 e7c6 e1h1,-58
rnbqk1nr/pp3ppp/4p3/2ppP3/3P4/P1P5/2P2PPP/R1BQKBNR b KQkq -,d8b6 d1g4 g7g6 h2h4 c8d7 g1f3 g8e7 g4f4 h7h6 a3a4,136
rBbqk2r/pp3ppp/5n2/8/1bpP4/8/PP2B1PP/RN1Q1KNR b kq -,f6d5 f1f2 a8b8 e2c4 e8h8 c4d5 d8d5 b1c3 d5d6 d1d3,-333
8/p7/8/8/1K6/4k3/2P5/8 w - -,c8d7 b8e5 e8h8 b1c3 f8e8 d1c2 b4c3 b2c3 f6d5 c2d2,Mate
rnb1kbnr/ppp1pppp/8/3q2N1/4p3/3P4/PPP2PPP/RNBQKB1R b KQkq -,d5d8 b1c3 e7e5 d3e4 d8d1 c3d1 h7h6 g5f3 b8c6 h2h3,-17
rnb1k1nr/pppp1ppp/8/4P3/4P2q/8/PPPP2PP/RNBQKBR1 w Qkq -,e1e2 h4e4 e2f2 e4d4 f2e1 d4g1 d2d4 g8e7 b1a3 e8h8,-838
rnbqk1nr/pp2ppbp/3p2p1/2p3B1/2PP4/5N2/PP2PPPP/RN1QKB1R w KQkq -,g5c1 c5d4 f3d4 b8c6 d4c6 b7c6 g2g3 d8a5 b1d2 a8b8,-110
8/p7/8/8/1KPk4/8/8/8 w - -,g5c1 c5d4 f3d4 b8c6 d4c6 b7c6 g2g3 d8a5 b1d2 a8b8,Mate
r1bqk1nr/pp1p1pbp/2n1p1p1/2p5/2P1P3/P2P1N1P/1P3PP1/RNBQKB1R b KQkq -,g8e7 f1e2 e8h8 e1h1 b7b6 b1c3 f7f5 d1d2 c6d4 e2d1,-95
r1bqkbnr/pppp1ppp/2n5/8/2B1P3/5N2/PB3PPP/RN1QK2R b KQkq -,h7h5 e1h1 d7d6 d1b3 g8h6 b2c3 a7a5 f1d1 a5a4 b3b2,136
rnb1k1nr/ppq2ppp/4p3/2ppP3/3P4/P1P5/2P2PPP/R1BQKBNR w KQkq -,d1g4 g8e7 g4g7 h8g8 g7h7 c5d4 g1e2 d4c3 f2f4 b8c6,67
rnbqk1nr/ppp1ppbp/3p2p1/6B1/2PP4/5N2/PP2PPPP/RN1QKB1R b KQkq -,c8f5 e2e3 c7c5 b1c3 h7h6 g5f4 b8c6 d4d5 g7c3 b2c3,40
rn1q1r1k/pp3p1p/2p5/3p3P/5Q2/2NP2R1/PPP3P1/4R1K1 w - -,c8f5 e2e3 c7c5 b1c3 h7h6 g5f4 b8c6 d4d5 g7c3 b2c3,Mate
r1bqkbnr/1pp2ppp/p1p5/4p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq -,b2b3 c6c5 f3e5 d8d4 e5c4 d4e4 c4e3 c8d7 b1c3 e4g6,-62
rn1q2rk/pp3p1p/2p4Q/3p3P/8/2NP2R1/PPP3P1/4R1K1 w - -,b2b3 c6c5 f3e5 d8d4 e5c4 d4e4 c4e3 c8d7 b1c3 e4g6,Mate
rnbqk1nr/p4ppp/2p1p3/1p6/PbpPP3/2N2N2/1P3PPP/R1BQKB1R w KQkq -,e4e5 g8e7 f1e2 b8d7 e1h1 a8b8 a4b5 c6b5 a1a7 e8h8,-95
r1bqkbnr/pp2pppp/2np4/2p5/8/5NP1/PPPPPPBP/RNBQK2R w KQkq -,d2d4 c5d4 f3d4 c8d7 c2c4 g7g6 b2b3 f8g7 c1b2 g8f6,62
r1b1kbnr/1pp2ppp/p1p5/4N3/3qP3/8/PPPP1PPP/RNBQK2R w KQkq -,d1h5 g7g6 h5g5 d4e4 g5e3 e4g2 e5f3 g8e7 h1g1 g2h3,-386
rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b KQkq -,e7e5 c1b2 f8b4 b2e5 g8f6 c2c4 d7d5 c4d5 e8h8 a2a3,-32
r1bqk2r/1pp1bppp/p1np1n2/4p3/B3P3/2P2N2/PP1P1PPP/RNBQ1RK1 w kq -,d2d4 e8h8 f1e1 b7b5 a4c2 e5d4 c3d4 c6b4 d4d5 c7c5,64
r1bqk1nr/pppp1ppp/2n5/8/1bB1P3/5N2/PB3PPP/RN1QK2R w KQkq -,b2c3 b4c3 b1c3 g8e7 e1h1 e8h8 f3h4 a8b8 c4b3 c6a5,-213
rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -,d2d4 d7d5 b1c3 d5e4 c3e4 c8f5 e4g3 f5g6 h2h4 h7h6,51
rnb1k1nr/ppq2ppp/4p3/2ppP3/3P3P/P1P5/2P2PP1/R1BQKBNR b KQkq -,h7h6 a1b1 b8c6 d1g4 g7g6 h4h5 g6g5 f2f4 c5d4 g1f3,82
r1bqkb1r/pppp1ppp/2n2n2/4p1N1/2B1P3/8/PPPP1PPP/RNBQK2R b KQkq -,d7d6 g5f7 d8e7 f7h8 c8g4 f2f3 g4e6 c4e6 e7e6 d2d3,646
rnbqkbnr/ppp2ppp/3p4/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq -,a7a5 d4e5 b8c6 f1b5 c8d7 b5c6 d7c6 b1c3 d6e5 d1d8,190
2rq1rk1/pp1bppbp/2np1np1/8/2P1P3/2N1B3/PPN1BPPP/2RQ1RK1 b - -,d8a5 e3d2 f6e8 g1h1 a5d8 b2b3 e8c7 f2f3 f7f5 e4f5,103
rnb1kbnr/ppp1pppp/8/3q2N1/8/3B4/PPP2PPP/RNBQK2R b KQkq -,g8f6 e1h1 c8g4 b1c3 d5d7 f2f3 g4f5 g5e4 b8c6 c1e3,-85
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -,c2c4 f6e4 d1e2 d7d5 f3e5 f8d6 c4d5 d6e5 e2e4 e8h8,-66
r5k1/ppp2p1p/6pB/4n2n/3bP2q/2NB1p1P/PPP3PK/R2Q1R2 w - -,d1f3 e5f3 f1f3 d4e5 h2g1 g6g5 f3f5 f7f6 c3e2 h5f4,Mate
r1bqkb1r/ppp2ppp/2n1p3/3n4/3P4/5N2/PPP1BPPP/RNBQ1RK1 b kq -,d5e7 f1e1 g7g6 c2c3 f8g7 b1d2 e8h8 h2h3 b7b6 d2e4,125
rBbqk2r/pp3ppp/8/3n4/1bpP4/8/PP2B1PP/RN1Q1KNR w kq -,g1f3 d5e3 f1f2 e3d1 h1d1 a8b8 e2c4 e8h8 b1c3 c8g4,-821
r1bqkbnr/pp3ppp/2n1p3/3pP3/3p4/2P2N2/PP3PPP/RNBQKB1R w KQkq -,c1d2 d4c3 b1c3 g8e7 f1d3 e7g6 d1e2 c8d7 e1h1 a7a6,-109
r1bqk2r/1pppbppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 w kq -,d2d3 b7b5 a4b3 d7d6 a2a4 c6a5 a4b5 a6b5 c1d2 c7c5,51
r1bqkb1r/pp3ppp/2n2n2/4p3/8/2NP1N2/PPP2PPP/R1BQKB1R b KQkq -,d8b6 f1e2 f8e7 e1h1 e8h8 a2a3 f8d8 c1e3 b6c7 f1e1,65
r1bqkb1r/ppp2ppp/2p5/4P3/4n3/3B4/PPPP1PPP/RNBQK2R b KQkq -,e4g5 e1h1 g5e6 b1c3 d8d4 f1e1 f8c5 d1f3 h7h5 d3f1,209
r1bqk1nr/pppp1ppp/2n5/2b1p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq -,f3e5 c6e5 d2d4 c5d6 d4e5 d6e5 f1d3 d7d6 h2h3 c8d7,84
1q6/4pp1k/6pP/2QPbb2/8/2N5/P7/K5R1 b - -,f1d3 g8f6 e1h1 e8h8 c3a4 c5e7 a4c3 f8e8 f1e1 e7c5,Mate
r1bqk2r/1pppbppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 b kq -,e7d6 d2d4 b7b5 a4b3 c8b7 b3d5 d8e7 c2c4 b5c4 d4e5,229
r1b1kb1r/ppp2ppp/2p5/4P3/3qn3/3B4/PPPP1PPP/RNBQK2R w KQkq -,d3e4 d4e4 e1f1 c8e6 d2d3 e4e5 b1c3 f8e7 h2h4 e8a8,-98
rBbqk2r/pp3ppp/8/3n4/1bpP4/8/PP2BKPP/RN1Q2NR b kq -,a8b8 e2c4 e8h8 c4d5 d8d5 g1f3 c8g4 b1c3 d5d6 d1d3,-325
4kr2/p2b3r/1pB1pQ2/5p2/2pP4/2P5/PP3P2/R5K1 w - -,c8f5 e2c4 e8h8 c4d5 d8d5 b8f4 g7g5 a2a3 b4a5 f4g3,Mate
rnbqkbnr/ppp2ppp/4p3/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq -,g1h3 g8f6 c1g5 f8b4 d1d2 h7h6 g5f6 d8f6 e1a1 e8h8,-128
r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq -,e1f1 g8f6 d2d3 d7d6 c2c3 e8h8 h2h3 a7a6 b1d2 b7b5,-113
r1b1kb1r/ppp2ppp/2p5/4P3/3qn3/3B4/PPPP1PPP/RNBQ1RK1 b kq -,h7h5 d3e4 d4e4 d2d3 e4g6 g1h1 f8e7 d1e2 b7b6 h2h3,127
r1bqkbnr/ppp2ppp/2n1p3/8/3Pp3/2N1B3/PPP2PPP/R2QKBNR w KQkq -,d1d2 f7f5 e1a1 g8f6 g1e2 f8b4 a2a3 b4a5 f2f3 e8h8,-106
1NBK4/8/8/8/8/8/8/3k4 w - -,d1d2 f7f5 e1a1 g8f6 g1e2 f8b4 a2a3 b4a5 f2f3 e8h8,Mate
r1bqkb1r/ppp2ppp/2n5/3np1N1/2B5/8/PPPP1PPP/RNBQK2R w KQkq -,a2a3 f7f6 g5f3 c8f5 b1c3 d5b6 c4a2 d8d7 d2d3 e8a8,-133
r1bqkbnr/pppn1ppp/4p3/8/3PN3/8/PPP2PPP/R1BQKBNR w KQkq -,g1f3 g8f6 e4f6 d7f6 c2c3 a7a6 f3e5 f8d6 c1f4 e8h8,69
rnbqk1nr/ppppppbp/6p1/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq -,b8a6 e2e4 d7d6 b1c3 g8f6 h2h3 e8h8 f1d3 e7e5 c1e3,84
r1bqkbnr/ppp2ppp/2n1p3/8/3PN3/4B3/PPP2PPP/R2QKBNR b KQkq -,f7f5 e4c3 g8f6 g1f3 f8d6 f1c4 c6a5 c4b5 c8d7 e1h1,72
r1b1kbnr/pp3ppp/1qn1p3/3pP3/3P4/5N2/PP1B1PPP/RN1QKB1R b KQkq -,c6d4 f3d4 b6d4 f1b5 c8d7 b5d7 e8d7 e1h1 g8e7 b1c3,-87
rnbqk1nr/ppppppbp/6p1/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -,b1c3 c7c5 d4d5 f7f5 c1d2 g8f6 g1h3 d7d6 g2g3 b8d7,71
r3kb1r/ppp2ppp/2p1b3/4P3/3qn3/3B4/PPPP1PPP/RNBQ1RK1 w kq -,d1h5 f8e7 d3e4 d4e4 d2d3 e4d4 h5e2 c6c5 b1c3 e8a8,83
r1bqkb1r/ppp2ppp/2n2n2/3Pp1N1/2B5/8/PPPP1PPP/RNBQK2R b KQkq -,f8e7 d5c6 e8h8 e1h1 h7h6 c6b7 c8b7 g5f3 e5e4 f3e1,706
rnbqkb1r/pppp1ppp/5n2/8/2BpP3/5N2/PPP2PPP/RNBQK2R b KQkq -,h7h6 e1h1 b8c6 e4e5 d7d5 c4b5 f6d7 f1e1 d7c5 f3d4,72
r1bqkbnr/ppp2ppp/2n1p3/8/3PN3/5N2/PPP2PPP/R1BQKB1R b KQkq -,a7a5 a2a3 g8f6 f1d3 f6e4 d3e4 f8d6 e1h1 e8h8 c2c4,159
rnbqk1nr/ppppppbp/6p1/8/2PPP3/8/PP3PPP/RNBQKBNR b KQkq -,e8f8 g1e2 d7d6 b1c3 f8e8 c1e3 e7e5 f2f3 e5d4 e2d4,173
8/q3pp1k/6pP/2QPbb2/8/2N5/P7/K5R1 w - -,e8f8 g1e2 d7d6 b1c3 f8e8 c1e3 e7e5 f2f3 e5d4 e2d4,Mate
r1bqkb1r/ppp2ppp/2n1pN2/8/3P4/5N2/PPP2PPP/R1BQKB1R b KQkq -,e8e7 f6h5 h7h6 c2c3 g7g6 h5g3 f8g7 f1b5 h8e8 c1e3,721
r1bqk2r/ppp2pp1/2np1n1p/2b1p3/2B1P3/2PP1N2/PP1N1PPP/R1BQK2R w KQkq -,e1h1 a7a6 f1e1 c5a7 c4b3 c6a5 b3c2 c7c5 d2f1 a5c6,33
r1b1kb1r/ppp2ppp/2n1pq2/8/3P4/5N2/PPP2PPP/R1BQKB1R w KQkq -,c2c3 h7h6 f1d3 f8d6 d1e2 c8d7 e1h1 e8h8 f1e1 c6e7,106
rn3rk1/pbpp1ppp/1p2p3/6q1/2PP4/2n3P1/PPQ1PPBP/R3K2R w KQ -,e1f1 b7g2 f1g2 c3a2 a1a2 b8c6 c2c3 a7a5 h1d1 g5h5,-678
rnbqkbnr/pppp2pp/4p3/5p2/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -,b1c3 g8f6 a2a3 g7g6 g1f3 f8g7 b2b4 e8h8 e2e3 b7b6,62
rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq -,c8h3 g1h3 e7e6 c4d5 e6d5 c1f4 f8d6 e2e3 g8f6 b1c3,522
4kr2/p2b3r/1pB1Q3/5p2/2pP4/2P5/PP3P2/R5K1 b - -,c8h3 g1h3 e7e6 c4d5 e6d5 c1f4 f8d6 e2e3 g8f6 b1c3,Mate
r1b1kb1r/ppp2ppp/2n1pq2/6B1/3P4/5N2/PPP2PPP/R2QKB1R b KQkq -,f8e7 g5f6 e7f6 c2c3 c8d7 f1c4 c6e7 e1h1 e8h8 c4d3,767
2r2rk1/pp1b1ppp/1q2p3/3pP3/1B3Pn1/3B1N2/P3Q1PP/RN2KR2 b Q -,c8c1 e1d2 c1f1 e2f1 b6b4 d2e2 d7b5 b1d2 b5d3 e2d3,-744
rnbqkbnr/pppp2pp/4p3/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq -,f8e7 e2e4 f5e4 c3e4 g8f6 f1d3 e8h8 e4f6 e7f6 g1f3,78
6k1/1p1b3p/2pp2p1/p7/2Pb2Pq/1P1PpK2/P1N3RP/1RQ5 b - -,f8e7 e2e4 f5e4 c3e4 g8f6 f1d3 e8h8 e4f6 e7f6 g1f3,Mate
rn3rk1/pBpp1ppp/1p2p3/6q1/2PP4/2n3P1/PPQ1PP1P/R3K2R b KQ -,g5g6 c2c3 b8c6 b7a8 f8a8 a1d1 c6e7 e1h1 h7h5 c3d3,333
2r3k1/q5pp/4p3/1Qrp1p2/1p1B1P2/1P2P3/P1R3PP/6K1 b - -,c5b5 c2c8 g8f7 d4a7 g7g5 c8c7 f7g6 a7d4 h7h6 h2h3,823
3r4/1R1P1k1p/1p1q2p1/1Pp5/2P5/6P1/4Q1KP/8 w - -,c5b5 c2c8 g8f7 d4a7 g7g5 c8c7 f7g6 a7d4 h7h6 h2h3,Mate
rnbqkb1r/pppp1ppp/8/4P3/2P2Bn1/8/PP2PPPP/RN1QKBNR b KQkq -,c7c6 g1f3 f8b4 b1c3 f7f6 e5f6 g4f6 f4d6 b4d6 d1d6,275
r1b1kb1r/ppp2ppp/2n1p3/5qB1/3P4/5N2/PPP2PPP/R2QKB1R w KQkq -,c2c3 f8e7 f1d3 f5d5 h2h4 f7f6 g5e3 c8d7 a2a3 d5h5,151
2r3k1/q5pp/4p3/1Q1p1p2/1p1B1P2/1P2P3/P1r3PP/6K1 w - -,b5e8 c8e8 d4a7 e8a8 a2a4 a8a7 h2h3 c2b2 g1h2 b2b3,Mate
r1bqkb1r/pppp1p1p/2n5/4n1p1/2P5/2B5/PP2PPPP/RN1QKBNR w KQkq -,h2h4 g5g4 e2e3 d7d6 g1e2 c8f5 e2f4 d8d7 b1d2 e8a8,66
r1b1kb1r/ppp2ppp/2n1p3/5qB1/3P4/3B1N2/PPP2PPP/R2QK2R b KQkq -,f5d3 d1d3 f8d6 g5d2 f7f6 e1h1 e8h8 a1e1 a7a5 a2a3,784
r1bqkb1r/pppp1p1p/2n5/4n1p1/2P5/2B1P3/PP3PPP/RN1QKBNR b KQkq -,f8h6 b2b4 d7d6 b4b5 c6e7 g1f3 e7g6 f3e5 g6e5 f1e2,98
r1bqkb1r/ppp2ppp/2n5/4p3/4p3/3B1N2/PPPP1PPP/R1BQK2R w KQkq -,f3g5 e4d3 g5f7 e8f7 e1h1 f7g8 f1e1 f8c5 e1e3 c5e3,-1010
r1b1kb1r/ppp2ppp/2n1p3/6B1/3P2q1/3B1N2/PPP2PPP/R2QK2R w KQkq -,h2h3 g4g2 h1h2 g2h2 f3h2 f8d6 h2f3 c8d7 c2c4 h7h6,692
r1b1kb1r/ppp2ppp/2n1p3/6B1/3P2q1/3B1N1P/PPP2PP1/R2QK2R b KQkq -,g4g5 f3g5 c6b4 d3e4 f8e7 g5f7 e8f7 d1f3 e7f6 e1h1,838
r3r1k1/pp3pbp/1qp3p1/2B5/2BP2b1/Q1n2N2/P4PPP/3R1K1R b - -,g4e6 a3c3 b6c5 d4c5 g7c3 c4e6 e8e6 g2g3 a8e8 d1b1,-344
r1bqkb1r/ppp2ppp/2n5/3np1N1/2B5/5Q2/PPPP1PPP/RNB1K2R b KQkq -,d8g5 c4d5 c6d4 f3f7 e8d8 e1h1 c8g4 d2d3 d4e2 g1h1,-259
2r2r1k/1pN1Qpbp/p4pp1/qb6/8/1B6/PP3PPP/2RR2K1 w - -,b3e6 b5e2 e6c8 e2d1 c1d1 a5a2 g2g3 a2b2 d1d8 f8g8,618
r1b1kb1r/ppp2ppp/2n1p3/6B1/3P4/3B1N1P/PPP2Pq1/R2QK2R w KQkq -,e1d2 c6d4 f3d4 g2g5 d2e1 c8d7 c2c3 f8c5 d1g4 g5f6,-694
r1bq1b1r/ppp2kpp/2n5/3np3/2B5/5Q2/PPPP1PPP/RNB1K2R b KQ -,f7g6 c4d5 d8f6 f3g3 f6g5 g3g5 g6g5 d2d3 g5f6 d5c6,458
r1b1k2r/ppppnppp/2n2q2/2b5/3NP3/2P1B3/PP3PPP/RN1QKB1R w KQkq -,f1c4 c6e5 c4e2 f6g6 e1h1 d7d6 f2f3 e8h8 b1d2 f7f5,44
2k1rb1r/ppp3p1/2n2q2/7p/4BP2/2P1BQ2/PP3P1P/2KR3R b - -,c8b8 h1g1 f6e6 e4d5 e6d7 g1g5 f8d6 d1g1 e8e7 g5h5,480
r1b1kb1r/ppp2ppp/2n1p3/6B1/3P4/3B1N1P/PPP2PqR/R2QK3 b Qkq -,h7h6 h2g2 h6g5 f3g5 f8e7 d1f3 e7g5 g2g5 c8d7 c2c3,791
rnbqk1nr/pppp2pp/4p3/5p2/1bPP4/2N5/PP1BPPPP/R2QKBNR b KQkq -,a7a5 e2e3 g8f6 f1d3 e8h8 g1e2 d7d5 c4d5 f6d5 c3d5,95
r5k1/ppp2p1p/6pB/8/3bP1nq/2NB2RP/PPP3P1/R2Q3K b - -,g4f6 c3e2 h4h6 e2d4 h6g7 d4f5 g6f5 g3g7 g8g7 e4f5,1092
rn1qkb1r/pp3pp1/2p1pn1p/3p3b/2PP1B2/2N1PN1P/PP3PP1/R2QKB1R w KQkq -,g2g4 h5g6 f3e5 g6e4 f2f3 e4h7 d1b3 d8b6 c4c5 b6b3,98
r1bqkbnr/2pp1ppp/p1n5/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQK2R b KQkq -,a8b8 e1h1 d7d6 c2c3 f8e7 d2d4 g8f6 h2h3 e8h8 f1e1,100
r1bqkb1r/pppp1ppp/2n2n2/4p3/2P1P3/5N2/PP1P1PPP/RNBQKB1R w KQkq -,d1e2 f8c5 h2h3 e8h8 d2d3 d7d6 c1e3 a7a6 a2a3 h7h6,-90
r1b1k2r/ppp2pp1/2p5/2b5/3qP1p1/2N5/PPPPBPP1/R1BQ1RK1 w kq -,e2g4 d4e5 g4h5 h8h5 d1h5 e5h5 d2d4 c8g4 c1e3 g4f3,Mate
8/1p4q1/p2k4/6p1/P3b3/2Q4P/5PP1/6K1 w - -,c3g7 g5g4 g7g4 e4c6 g4g5 b7b6 g5d8 d6c5 d8c8 b6b5,5438
